name,age_from,age_to,time_from,time_to,improvement_seconds,improvement_percentage,rank_from,rank_to,foreign
Avery May,15,16,78.24,76.0,2.239999999999995,2.8629856850715685,225,147,
Annie Avery,15,16,77.59,78.73,-1.1400000000000006,-1.4692615027709763,173,350,
Emma Fellman,15,16,76.23,73.5,2.730000000000004,3.581267217630859,99,55,
Kiley Zoeller,15,16,79.19,76.59,2.5999999999999943,3.2832428336911157,303,180,
Isabella Pribonic,15,16,77.95,77.28,0.6700000000000017,0.859525336754332,199,226,
Riley Leach,15,16,75.5,75.99,-0.4899999999999949,-0.6490066225165495,71,146,
Alyssa Street,15,16,76.82,75.66,1.1599999999999966,1.5100234313980692,134,130,
Ella Freeman,15,16,78.73,78.42,0.3100000000000023,0.39375079385240985,261,323,
Fletch Crumbaugh,15,16,79.57,78.64,0.9299999999999926,1.1687822043483633,342,339,
Sarah Anne Shaffer,15,16,75.68,74.93,0.75,0.991014799154334,77,100,
Charlotte Brawer,15,16,78.21000000000001,77.14,1.0700000000000074,1.3681114946937825,223,219,
Erika Ilkiu,15,16,75.31,72.74,2.5700000000000074,3.4125614128269914,62,30,
Paige Thome,15,16,77.61,79.64,-2.030000000000001,-2.615642314134778,176,425,
Francesca Fields,15,16,78.52,79.73,-1.210000000000008,-1.5410086602139685,248,436,
Paige Corbin,15,16,78.09,74.75,3.3400000000000034,4.277116148034323,211,94,
Abby Hood,15,16,75.36,75.18,0.1799999999999926,0.23885350318470355,65,108,
Mary Elizabeth Cespedes,15,16,73.65,69.83,3.8200000000000074,5.186693822131714,22,6,
Caroline Larsen,15,16,72.75,73.06,-0.3100000000000023,-0.42611683848797566,13,40,
Giselle Yanes,15,16,78.58,77.62,0.9599999999999937,1.2216849071010356,253,256,
Brianna Ridpath,15,16,80.73,77.05,3.680000000000007,4.558404558404567,436,208,
Aliana Marakovic,15,16,72.02,72.15,-0.13000000000000966,-0.1805054151624683,8,17,
Maya Voss,15,16,76.72,76.83,-0.10999999999999943,-0.14337851929092732,130,194,
Emma Sayers,15,16,78.92,74.51,4.409999999999997,5.587937151545865,279,88,
Adalene Robillard,15,16,72.35,69.26,3.089999999999989,4.270905321354512,10,2,
Surrena Luna,15,16,76.57,78.31,-1.740000000000009,-2.272430455792098,118,316,
Marley Barnard,15,16,74.8,72.89,1.9099999999999966,2.553475935828873,43,37,
Katie Lawrence,15,16,80.41,77.9,2.509999999999991,3.121502300708856,415,279,
Emma Lantry,15,16,76.69,77.13,-0.4399999999999977,-0.5737384274351255,129,217,
Anah Jurs,15,16,79.02,79.49,-0.46999999999999886,-0.5947861300936458,285,412,
Olivia Wimberger,15,16,80.83,77.7,3.1299999999999955,3.87232463194358,448,262,
Sophia Love,15,16,77.42,77.91,-0.4899999999999949,-0.6329113924050567,167,281,
Landry Liston,15,16,81.19,79.02,2.1700000000000017,2.672742948638997,490,371,
Emma Redman,15,16,76.42,73.85,2.5700000000000074,3.3629939806333518,111,64,
Nicole Byrnes Cortinas,15,16,76.08,73.09,2.989999999999995,3.930073606729752,92,42,
Kayleigh Jollands,15,16,78.26,77.88,0.38000000000000966,0.48556095067724203,229,277,
Tayla Smith,15,16,79.42,78.07,1.3500000000000085,1.6998237219843975,323,292,
Ashlyn Canale,15,16,80.77,76.83,3.9399999999999977,4.878048780487802,441,194,
Brinkley Hallgren,15,16,80.11,78.97,1.1400000000000006,1.423043315441269,391,369,
Allie Kim,15,16,78.81,77.12,1.6899999999999977,2.144397919045803,273,216,
Lillie Sczech,15,16,76.21000000000001,73.17,3.0400000000000063,3.988977824432497,97,46,
Audrey Deras,15,16,78.13,76.71000000000001,1.4199999999999875,1.8174836810443973,214,186,
Bella Brito,15,16,72.31,72.81,-0.5,-0.6914672935970128,9,33,
Claire Francis,15,16,79.58,79.1,0.480000000000004,0.6031666247801005,344,374,
