name,age_from,age_to,time_from,time_to,improvement_seconds,improvement_percentage,rank_from,rank_to,foreign
Emily Brown,17,18,138.62,133.52,5.099999999999994,3.6791227817053773,54,12,
Kaitlyn Estes,17,18,147.54,145.75,1.789999999999992,1.2132303104242863,319,167,
Mychal Morabito,17,18,137.7,141.64,-3.9399999999999977,-2.8612926652142323,35,78,
Sophia Pinkham,17,18,148.34,148.13,0.21000000000000796,0.14156667116085206,353,225,
Haylee Hite,17,18,146.12,144.22,1.9000000000000057,1.3003011223651832,253,134,
Emma Welch,17,18,145.37,145.56,-0.18999999999999773,-0.13070096993877534,224,163,
Kate Reichner,17,18,147.06,150.9,-3.8400000000000034,-2.611179110567118,299,295,
Elsie Bredbenner,17,18,148.28,148.57,-0.28999999999999204,-0.19557593741569468,350,237,
Maria Grishaeva,17,18,143.12,141.34,1.7800000000000011,1.2437115707098945,162,71,
Leah Shackley,17,18,128.87,126.66,2.210000000000008,1.714906494917365,4,1,
Abby Uhl,17,18,143.62,143.14,0.4800000000000182,0.3342152903495461,176,110,
Aubrey Simmons,17,18,141.15,145.19,-4.039999999999992,-2.8622033297909963,105,155,
Melanie Quinto,17,18,143.55,140.47,3.0800000000000125,2.145593869731809,173,60,
Kindsey Joyce,17,18,142.32,143.03,-0.710000000000008,-0.49887577290613266,132,106,
Amelia Amadio,17,18,145.73,147.16,-1.4300000000000068,-0.9812667261373821,237,202,
Addison Pavek,17,18,149.15,150.1,-0.9499999999999886,-0.636942675159228,389,270,
Ava Easley,17,18,145.8,152.01,-6.2099999999999795,-4.259259259259244,241,321,
Lauren Opitz,17,18,149.76,145.51,4.25,2.837873931623932,417,162,
Ashley Kara,17,18,143.74,144.65,-0.9099999999999966,-0.6330875191317632,178,143,
Alaira Hadford,17,18,145.52,144.9,0.6200000000000045,0.42605827377680355,229,150,
Audrey Falkner Worgull,17,18,140.89,139.42000000000002,1.4699999999999704,1.0433671658740653,99,49,
Giuliana Ricciuti,17,18,148.67000000000002,144.67000000000002,4.0,2.6905226340216584,366,144,
Ella Sears,17,18,150.53,141.09,9.439999999999998,6.271175181027036,466,67,
Adrienne Rinker,17,18,150.6,144.25,6.349999999999994,4.216467463479412,469,138,
Maeve Eckerman,17,18,138.51,142.65,-4.140000000000015,-2.9889538661468595,51,100,
Emily Hamill,17,18,134.44,133.29,1.1500000000000057,0.8554001785183023,13,11,
Charlotte Wilson,17,18,136.81,132.58,4.22999999999999,3.0918792485929316,27,9,
Lyla Roper,17,18,144.34,144.23,0.11000000000001364,0.07620895108771902,198,136,
Hannah Green,17,18,145.44,147.13,-1.6899999999999977,-1.1619911991199103,225,201,
Sophia Pfannstiel,17,18,144.51,146.49,-1.9800000000000182,-1.370147394643982,200,190,
Addison Everage,17,18,146.82999999999998,143.54,3.289999999999992,2.2406865082067644,287,118,
Teagan McEnroe,17,18,143.96,143.6,0.36000000000001364,0.2500694637399372,184,120,
Keegan Near,17,18,147.57999999999998,150.36,-2.7800000000000296,-1.88372408185393,320,283,
Avery Luedke,17,18,138.62,136.25,2.3700000000000045,1.70970999855721,54,20,
Lauryn Kounovsky,17,18,147.35,146.36,0.9899999999999807,0.6718696979979509,308,185,
Faith Leitel,17,18,145.67000000000002,149.54,-3.869999999999976,-2.656689778265927,234,259,
Kate Hotem,17,18,136.43,136.92000000000002,-0.4900000000000091,-0.35915854284249,21,24,
Kennedy Lee,17,18,142.94,142.13,0.8100000000000023,0.5666713306282373,153,97,
Alli Straub,17,18,147.13,144.38,2.75,1.8690953578468024,303,140,
Ella Warren,17,18,139.67000000000002,142.79,-3.119999999999976,-2.2338369012672556,76,102,
Natalie Farquhar,17,18,141.41,145.94,-4.530000000000001,-3.203450958206634,109,174,
Myra Cansler,17,18,148.27,147.56,0.710000000000008,0.4788561408241775,347,213,
Anna Klotz,17,18,150.66,148.69,1.9699999999999989,1.3075799814151061,471,242,
Genevieve George,17,18,142.97,139.66,3.3100000000000023,2.315171014898232,156,51,
Tess Boyer,17,18,145.65,144.3,1.3499999999999943,0.9268795056642597,232,139,
Amelia Labno,17,18,141.14,146.17000000000002,-5.03000000000003,-3.56383732464222,104,180,
Sophie Perry,17,18,145.17000000000002,146.22,-1.049999999999983,-0.7232899359371653,216,184,
Poet Deboom,17,18,147.94,149.0,-1.0600000000000023,-0.716506691902124,332,245,
Zoe Fencil,17,18,150.19,151.28,-1.0900000000000034,-0.7257473866435871,441,309,
Lainey Blase,17,18,146.49,150.29,-3.799999999999983,-2.5940337224383803,273,280,
Ellie De Keukelaere,17,18,146.94,148.04,-1.0999999999999943,-0.7486048727371678,292,222,
Samantha Synsvoll,17,18,139.67000000000002,142.73,-3.059999999999974,-2.190878499319806,76,101,
Caitlin Brown,17,18,146.59,143.23,3.3600000000000136,2.2921072378743528,277,114,
Sophia Brueggeman,17,18,143.45,145.29,-1.8400000000000034,-1.282676890902756,170,157,
Addison Cerney,17,18,142.43,146.19,-3.759999999999991,-2.6398932809099143,141,182,
Mia Windham,17,18,148.94,150.0,-1.0600000000000023,-0.7116959849603883,377,267,
Erin Richards,17,18,142.41,143.11,-0.700000000000017,-0.491538515553695,139,109,
Julie Mishler,17,18,136.82,137.11,-0.29000000000002046,-0.21195731618185973,28,25,
Abigail Perry,17,18,141.86,150.89,-9.029999999999973,-6.365430706330165,122,294,
Olivia Pettit,17,18,144.81,152.75,-7.939999999999998,-5.4830467509149905,208,335,
Delaney Herr,17,18,139.38,139.24,0.13999999999998636,0.10044482709139502,70,45,
Jessie Wang,17,18,148.01,153.29,-5.280000000000001,-3.5673265319910827,338,345,
Chloe Mihaly,17,18,148.43,156.22,-7.789999999999992,-5.248265175503599,356,409,
Katie Schloth,17,18,149.76,150.25,-0.4900000000000091,-0.327190170940177,417,277,
Reeves Showfety,17,18,143.57,146.69,-3.1200000000000045,-2.173155951800519,174,195,
Meera Kondal,17,18,149.96,148.32999999999998,1.6300000000000239,1.0869565217391464,429,227,
Norah Kotnik,17,18,140.93,141.87,-0.9399999999999977,-0.6669978003264015,100,87,
Phoebe Mayo,17,18,136.49,139.55,-3.0600000000000023,-2.24192248516375,22,50,
Lillian Nesty,17,18,133.5,132.25,1.25,0.9363295880149813,10,8,
Abigail Gowern,17,18,147.82999999999998,147.31,0.5199999999999818,0.3517553947101278,329,205,
Olivia Safarikova,17,18,140.65,148.04,-7.389999999999986,-5.254177035193734,95,222,Yes
Ellana Brown,17,18,151.01,150.27,0.7399999999999807,0.4900337725978285,496,278,
Maecy Wells,17,18,143.84,147.95,-4.109999999999985,-2.8573414905450396,181,220,
Morgan Carles,17,18,146.79,144.86,1.9299999999999784,1.314803460726193,284,147,
Lilly Adams,17,18,149.52,151.09,-1.5699999999999932,-1.0500267522739386,408,303,
Jennifer Barajas,17,18,143.51,145.12,-1.6100000000000136,-1.1218730402062669,172,153,
Julia Reed,17,18,149.86,150.98,-1.1199999999999761,-0.747364206592804,424,297,
Sophia Owen,17,18,150.81,156.02,-5.210000000000008,-3.4546780717459105,484,402,
Ava Carosielli,17,18,146.25,153.82999999999998,-7.579999999999984,-5.182905982905972,261,358,
Laci Sterkenburg,17,18,145.45,145.36,0.08999999999997499,0.061876933654159506,226,159,
Chloe Kim,17,18,138.18,137.4,0.7800000000000011,0.5644811115935744,45,28,
Ellie Horning,17,18,144.91,143.76,1.1500000000000057,0.7935960251190434,209,127,
Coco Riding,17,18,148.65,146.12,2.530000000000001,1.7019845274133878,364,178,
Anna Asplund,17,18,143.29,150.12,-6.8300000000000125,-4.766557331286212,167,271,
Mia Slowik,17,18,141.77,141.41,0.36000000000001364,0.2539324257600435,120,72,
Lindsay Naber,17,18,146.39,147.2,-0.8100000000000023,-0.5533164833663518,267,204,
Zuri Ferguson,17,18,133.73,133.63,0.09999999999999432,0.07477753682793264,12,13,Yes
Virginia Walsh,17,18,142.76,147.19,-4.430000000000007,-3.103110114878122,149,203,
Adeline Cloutier,17,18,143.57999999999998,141.6,1.9799999999999898,1.37902214793146,175,77,
Oceane Vanlinthout,17,18,141.47,143.63,-2.1599999999999966,-1.5268254753657995,112,122,
Eden Addison,17,18,148.86,150.02,-1.1599999999999966,-0.7792556764745374,373,268,
libby Bakker,17,18,139.81,135.58,4.22999999999999,3.025534654173514,81,18,
Ingrid Janney,17,18,136.61,139.22,-2.609999999999985,-1.9105482761144754,23,44,
Nicole Christensen,17,18,143.09,141.69,1.4000000000000057,0.9784051995247786,161,81,Yes
Erika Pelaez,17,18,135.31,131.13,4.180000000000007,3.089202571872003,17,5,
Zoe Weker,17,18,149.09,153.31,-4.219999999999999,-2.830505064055268,385,346,
Taylor Steelman,17,18,138.1,140.57999999999998,-2.4799999999999898,-1.795800144822585,44,61,
Aly Yokoyama,17,18,142.67000000000002,144.24,-1.5699999999999932,-1.100441578467788,147,137,
Sam Schoenborn,17,18,142.16,141.57999999999998,0.5800000000000125,0.4079909960607854,129,76,
Kate Fedor,17,18,136.77,139.7,-2.9299999999999784,-2.1422826643269564,26,52,
Holly Brundage,17,18,142.92000000000002,142.06,0.8600000000000136,0.6017352364959513,152,96,
Adalynn Ascher,17,18,149.39,150.74,-1.3500000000000227,-0.9036749447754353,400,291,
Mary Kate Kupsky,17,18,140.14,138.9,1.2399999999999807,0.884829456258014,87,42,
Lili Neisser,17,18,144.15,149.92000000000002,-5.77000000000001,-4.002774887270212,191,264,
Zoe Schwartz,17,18,147.66,147.78,-0.12000000000000455,-0.0812677773262932,322,218,
Mya de Hart,17,18,150.7,150.84,-0.14000000000001478,-0.09289980092900782,474,292,
Allison Bischoff,17,18,140.6,143.57999999999998,-2.9799999999999898,-2.119487908961586,93,119,
Isahbel Krasht,17,18,146.32999999999998,150.31,-3.980000000000018,-2.719879723911719,263,281,
Lily Baumgartner,17,18,146.61,140.06,6.550000000000011,4.467635222699687,279,54,
Sarnai Chimidkhorloo,17,18,148.6,148.66,-0.060000000000002274,-0.04037685060565429,361,240,
Merritt Walker,17,18,142.37,144.45,-2.079999999999984,-1.4609819484441835,135,141,
Sofia Kohler,17,18,150.05,151.14,-1.089999999999975,-0.7264245251582638,433,305,
Sadie Hartig,17,18,141.49,146.49,-5.0,-3.5338186444271678,115,190,
Tiffany Folcomer,17,18,144.55,143.14,1.410000000000025,0.9754410238671912,201,110,
Riley Edge,17,18,149.25,153.43,-4.180000000000007,-2.800670016750423,396,350,
Claudia Yovanovich,17,18,145.34,141.75,3.5900000000000034,2.4700701802669625,223,84,
Sophie McCammon,17,18,142.63,143.7,-1.0699999999999932,-0.7501928065624295,146,125,
Bella Brodoski,17,18,151.16,146.61,4.549999999999983,3.0100555702566703,500,192,
Ryley Clark,17,18,138.64,136.39,2.25,1.6229082515868436,56,21,
Kk LeBlanc,17,18,137.41,136.2,1.210000000000008,0.8805763772651248,33,19,
Brianna Cong,17,18,141.95,149.57,-7.6200000000000045,-5.3680873547023635,123,261,
Alivia Wainwright,17,18,145.14,141.17000000000002,3.9699999999999704,2.7352900647650342,215,69,
Adelia Biello,17,18,147.15,146.14,1.0100000000000193,0.6863744478423509,306,179,
Lily Rossmann,17,18,143.48,146.95,-3.469999999999999,-2.418455533872316,171,199,
Siena Ancona,17,18,150.24,145.84,4.400000000000006,2.9286474973375967,442,168,
Savannah Branon,17,18,144.46,146.11,-1.6500000000000057,-1.1421846878028559,199,177,
Arina Vorobyeva,17,18,148.31,147.5,0.8100000000000023,0.546153327489719,351,211,
Sarah Larsen,17,18,143.86,143.62,0.2400000000000091,0.1668288613930273,182,121,
Brianna Deierlein,17,18,138.87,142.92000000000002,-4.050000000000011,-2.91639662994168,58,104,
Natalia Gajecki,17,18,140.25,141.11,-0.8600000000000136,-0.6131907308377994,89,68,
Sarah Kim,17,18,148.96,146.66,2.3000000000000114,1.544038668098826,380,194,
Karly Boles,17,18,138.06,139.84,-1.7800000000000011,-1.2892945096334933,43,53,
Clarke Neace,17,18,136.63,137.19,-0.5600000000000023,-0.40986606162629163,25,27,
Ella Maxfield,17,18,150.28,156.4,-6.1200000000000045,-4.072398190045252,448,414,
Katherine Beauchene,17,18,144.72,151.68,-6.960000000000008,-4.809286898839144,205,315,
Megan Treglia,17,18,146.14,146.79,-0.6500000000000057,-0.44477897906117814,256,198,
Lacy Delzell,17,18,147.48,145.89,1.5900000000000034,1.0781122864117192,316,171,
Molly Yacoviello,17,18,149.14,152.65,-3.5100000000000193,-2.353493361941813,388,333,
Abby Adams,17,18,137.96,138.07,-0.10999999999998522,-0.07973325601622587,39,32,
Haley Roberson,17,18,150.3,152.7,-2.3999999999999773,-1.5968063872255336,450,334,
Mazie Paradis,17,18,139.5,138.6,0.9000000000000057,0.6451612903225847,74,39,
Emmy Barrett,17,18,150.25,145.72,4.530000000000001,3.014975041597338,445,166,
Hannah Krueger,17,18,146.25,147.03,-0.7800000000000011,-0.5333333333333341,261,200,
Katie Torrey,17,18,146.15,142.01,4.140000000000015,2.8327061238453743,257,95,
Abby Emrich,17,18,146.09,143.66,2.430000000000007,1.663358203846948,252,124,
Madi Camden,17,18,140.62,141.49,-0.8700000000000045,-0.6186886644858516,94,73,
Cambell Quijano,17,18,148.78,151.07,-2.289999999999992,-1.5391853743782713,371,300,
Madeline House,17,18,144.55,144.22,0.3300000000000125,0.22829470771360255,201,134,
Applejean Gwinn,17,18,139.68,141.81,-2.1299999999999955,-1.5249140893470756,78,86,Yes
Sidney Brann,17,18,141.82999999999998,143.64,-1.8100000000000023,-1.2761757033067775,121,123,
Gabi Dyer,17,18,139.11,140.81,-1.6999999999999886,-1.2220544892531007,63,63,
Raiden Harris,17,18,146.24,141.73,4.510000000000019,3.0839715536105166,260,83,
Teagan O'Dell,17,18,127.97,128.57,-0.5999999999999943,-0.46885988903648845,2,3,
Andrea Dworak,17,18,135.94,136.79,-0.8499999999999943,-0.6252758569957292,19,23,
Isabella Budnik,17,18,138.03,138.39,-0.3599999999999852,-0.2608128667680832,42,35,
Sabra Brueggen,17,18,147.14,147.41,-0.27000000000001023,-0.18349870871279753,305,207,
Marie Mason,17,18,149.88,151.07999999999998,-1.1999999999999886,-0.8006405124099204,426,302,
Gio Musiello,17,18,145.82999999999998,144.62,1.2099999999999795,0.8297332510457242,243,142,
Kylie Montiel,17,18,150.47,152.55,-2.0800000000000125,-1.3823353492390593,460,331,
Tessa Feld,17,18,147.99,158.39,-10.399999999999977,-7.0275018582336495,335,461,
Catherine Rippel,17,18,148.66,148.05,0.6099999999999852,0.41033230189693615,365,224,
Tova Blikre,17,18,148.67000000000002,145.71,2.960000000000008,1.9909867491760325,366,165,
Angelina Komashko,17,18,149.56,143.98,5.5800000000000125,3.7309441027012653,411,128,
Mary-Stuart Hawkins,17,18,145.09,145.93,-0.8400000000000034,-0.5789509959335608,213,173,
Addison Kenney,17,18,148.7,146.21,2.4899999999999807,1.6745124411566785,369,183,
Cj Woare,17,18,147.92000000000002,145.28,2.640000000000015,1.7847485127095826,330,156,
Georgia Wimberly,17,18,137.97,135.4,2.569999999999993,1.8627237805319947,40,17,
Erica Jaffe,17,18,137.07999999999998,138.42000000000002,-1.3400000000000318,-0.9775313685439393,31,36,
Katie Buehler,17,18,138.5,137.59,0.9099999999999966,0.6570397111913333,50,29,
Hattie Wasmuth,17,18,139.3,137.8,1.5,1.0768126346015792,67,31,
Sophia Brame-Goldthwaite,17,18,146.81,146.62,0.18999999999999773,0.12941897690892837,286,193,
Elle Santucci,17,18,148.16,153.68,-5.52000000000001,-3.725701943844499,344,354,
Kennedi Dobson,17,18,132.56,132.76,-0.19999999999998863,-0.15087507543752912,8,10,
Summer McIntosh,17,18,126.81,126.82,-0.009999999999990905,-0.007885813421647271,1,2,Yes
