name,age_from,age_to,time_from,time_to,improvement_seconds,improvement_percentage,rank_from,rank_to,foreign
Sydney Marinello,16,17,130.34,130.43,-0.09000000000000341,-0.06905017646156468,270,349,
Merritt Zieminick,16,17,132.24,129.89,2.3500000000000227,1.7770719903206462,434,317,
Natalie Sanders,16,17,131.5,129.82,1.6800000000000068,1.2775665399239595,366,313,
Hannah Le,16,17,129.72,129.77,-0.05000000000001137,-0.03854455750848857,234,309,
Natalie Holmes,16,17,129.11,131.82,-2.7099999999999795,-2.0989853613197886,199,454,
Isabel Peng,16,17,132.91,129.99,2.9199999999999875,2.196975396885101,478,321,Yes
Penny Lazar,16,17,127.19,130.02,-2.8300000000000125,-2.2250176900699836,118,322,
Lainey Blase,16,17,133.09,129.72,3.3700000000000045,2.532121121045912,495,299,
Isabella Klinefelter,16,17,125.78,124.29,1.4899999999999949,1.1846080457942398,78,54,
Riley Wagers,16,17,128.49,129.52,-1.0300000000000011,-0.8016188030196911,170,286,
Alyssa Dimitriadis,16,17,131.78,129.7,2.0800000000000125,1.5783882227955779,393,298,
Belen Morales,16,17,130.1,127.3,2.799999999999997,2.1521906225979994,252,152,Yes
Rebecca Diaconescu,16,17,125.54,120.95,4.590000000000003,3.656205193563807,66,14,
Aliana Marakovic,16,17,123.65,125.21,-1.559999999999988,-1.2616255560048428,25,76,
Adalene Robillard,16,17,129.73,127.55,2.1799999999999926,1.680413165805899,235,167,
Lillian Nesty,16,17,119.37,119.64,-0.269999999999996,-0.22618748429253246,4,11,
Olivia Safarikova,16,17,127.06,127.5,-0.4399999999999977,-0.34629308987879565,114,163,Yes
Cora Spetz,16,17,133.08,128.16,4.920000000000016,3.6970243462579018,494,193,
Taylor Bennett,16,17,132.43,132.25,0.18000000000000682,0.13592086385260652,453,483,
Sophie Phelps,16,17,126.02,129.85,-3.8299999999999983,-3.0392001269639723,87,314,
Zuri Ferguson,16,17,128.48,128.9,-0.4200000000000159,-0.3268991282690037,169,237,Yes
Emma Redman,16,17,129.64,127.08,2.559999999999988,1.97469916692378,225,141,
Marissa Hengesbach,16,17,131.69,132.34,-0.6500000000000057,-0.4935834155972403,383,489,
Arianna Wertheim,16,17,126.27,122.57,3.700000000000003,2.9302288746337237,94,25,
