name,age_from,age_to,time_from,time_to,improvement_seconds,improvement_percentage,rank_from,rank_to,foreign
Ariel Beltran,16,17,314.91,313.31,1.6000000000000227,0.5080816741291234,209,194,
Kate Reichner,16,17,321.45,316.58,4.8700000000000045,1.5150101104370834,352,255,
Riley Leach,16,17,293.07,290.95,2.1200000000000045,0.7233766676903145,14,12,
Alyssa Street,16,17,295.33,293.93,1.3999999999999773,0.474045982460291,20,20,
Ella Freeman,16,17,294.35,295.90999999999997,-1.5599999999999454,-0.5299813147613199,18,26,
Nora Sherman,16,17,308.05,317.29,-9.240000000000009,-2.9995130660607074,104,267,
Samantha Wong,16,17,325.0,316.06,8.939999999999998,2.75076923076923,427,246,
Natalie Holmes,16,17,305.53,306.48,-0.9500000000000455,-0.3109350963898948,74,103,
Paige Thome,16,17,308.69,312.41,-3.7200000000000273,-1.2050924876089368,109,181,
Paige Corbin,16,17,326.98,326.37,0.6100000000000136,0.1865557526454259,474,452,
Penny Lazar,16,17,315.01,319.84,-4.829999999999984,-1.5332846576299115,212,319,
Lainey Blase,16,17,315.43,306.99,8.439999999999998,2.6757125194179365,219,108,
Mary Elizabeth Cespedes,16,17,320.48,318.18,2.3000000000000114,0.7176734897653555,330,288,
Gabriella Gonzalez,16,17,312.0,312.74,-0.7400000000000091,-0.2371794871794901,153,187,
Anna Kuhel,16,17,318.21,315.23,2.9799999999999613,0.9364884824486852,278,233,
Mia Wilson,16,17,320.54,318.31,2.230000000000018,0.6957010045548194,331,294,
Tanith Mueller,16,17,314.07,305.46,8.610000000000014,2.7414270703983235,192,89,
Mikaela Khan,16,17,314.48,313.45,1.0300000000000296,0.3275248028491572,203,198,
Emma Sayers,16,17,303.58,296.71,6.8700000000000045,2.262994927202057,54,32,
Adalene Robillard,16,17,297.48,296.45,1.0300000000000296,0.34624176415222185,32,29,
Phoebe Mayo,16,17,297.27,301.98,-4.710000000000036,-1.584418205671624,27,66,
Marley Barnard,16,17,310.66,311.72,-1.0600000000000023,-0.3412090388205763,132,174,
Sophie Phelps,16,17,309.59,307.96,1.6299999999999955,0.5265027940178932,121,118,
Lili Trinh,16,17,319.18,319.91,-0.7300000000000182,-0.22871107212231911,301,322,
Emma Redman,16,17,299.08,299.40999999999997,-0.3299999999999841,-0.11033837100440823,35,50,
Nicole Byrnes Cortinas,16,17,314.99,320.08,-5.089999999999975,-1.6159243150576128,211,325,
Sianna Savarda,16,17,302.31,301.2,1.1100000000000136,0.3671727696735184,46,63,
Chloe Vitatoe,16,17,319.82,317.81,2.009999999999991,0.6284785191670287,314,281,
Lena Amare,16,17,308.0,310.54,-2.5400000000000205,-0.8246753246753313,103,158,
Ellie Lydon,16,17,313.17,306.86,6.310000000000002,2.0148800970718783,173,107,
Amanda Barnard,16,17,300.89,310.11,-9.220000000000027,-3.0642427465186706,40,148,
Maddie Berg,16,17,317.19,318.78,-1.589999999999975,-0.5012768372268909,257,303,
GiannaMarie Conti,16,17,316.27,328.03,-11.759999999999991,-3.718341923040437,240,490,
Adelia Biello,16,17,315.15,315.88,-0.7300000000000182,-0.23163572901793375,215,244,
Alex Milisavljevic,16,17,306.95,309.46,-2.509999999999991,-0.8177227561492071,90,136,
Amy Nguyen,16,17,311.92,324.17,-12.25,-3.9272890484739675,152,407,
MaryAgnes Smith,16,17,324.19,326.13,-1.9399999999999977,-0.5984145100095616,420,447,
Claire Francis,16,17,321.39,308.49,12.899999999999977,4.0138149911322625,350,125,
Charlie Scogna,16,17,309.08,313.85,-4.770000000000039,-1.5432897631681244,113,208,
Lauren Putnam,16,17,305.38,313.94,-8.560000000000002,-2.80306503372847,72,211,
Haley Roberson,16,17,314.23,311.71,2.5200000000000387,0.8019603475161629,195,173,
Katie Torrey,16,17,319.83,322.01,-2.180000000000007,-0.6816121064315439,315,365,
Aleca Howard,16,17,303.61,298.26,5.350000000000023,1.7621290471328421,55,37,
Hayden Penny,16,17,296.86,310.51,-13.649999999999977,-4.598127063262136,23,157,
Caroline Cancelmo,16,17,307.45,310.86,-3.410000000000025,-1.1091234347048382,95,162,
Grace Burton,16,17,322.01,313.14,8.870000000000005,2.7545728393528166,368,190,
Becky Rentz,16,17,313.95,315.19,-1.240000000000009,-0.3949673514890935,189,232,
Eunice Lee,16,17,291.5,292.93,-1.4300000000000068,-0.49056603773585145,10,16,
Tessa Feld,16,17,321.97,314.89,7.080000000000041,2.1989626362704726,366,225,
Blair Wehman,16,17,328.09,327.06,1.0299999999999727,0.3139382486512764,498,470,
Mary-Stuart Hawkins,16,17,309.94,298.34000000000003,11.599999999999966,3.74265986965218,123,38,
Sydney Meyer,16,17,326.49,324.24,2.25,0.6891482128089681,465,411,
