name,age_from,age_to,time_from,time_to,improvement_seconds,improvement_percentage,rank_from,rank_to,foreign
Max Likins,16,17,60.16,60.64,-0.480000000000004,-0.7978723404255386,146,290,
Danny Pierce,16,17,62.13,61.29,0.8400000000000034,1.3520038628681852,351,376,
Jack Raimy,16,17,58.77,58.86,-0.0899999999999963,-0.15313935681469507,56,122,
Aedan Conners,16,17,61.46,60.19,1.2700000000000031,2.066384640416536,269,229,
Aaron Gordon,16,17,56.92,56.09,0.8299999999999983,1.4581869290231875,7,11,
Drew Davis,16,17,58.71,57.86,0.8500000000000014,1.4477942428887776,53,54,
Zach Proulx,16,17,60.59,59.79,0.8000000000000043,1.3203498927215782,185,197,
Daniel Budiman,16,17,62.22,60.01,2.210000000000001,3.551912568306012,363,216,
Evan Witte,16,17,60.62,61.53,-0.9100000000000037,-1.5011547344110916,188,415,
Strahinja Maslo,16,17,61.24,59.69,1.5500000000000043,2.5310254735467086,243,189,Yes
Nate Thomas,16,17,57.9,57.24,0.6599999999999966,1.1398963730569889,20,27,
Cole Witmer,16,17,57.9,55.72,2.1799999999999997,3.7651122625215887,20,6,
Brody LePine,16,17,59.82,59.59,0.22999999999999687,0.38448679371447153,115,175,
Dean Ko,16,17,61.55,60.99,0.5599999999999952,0.9098294069861823,280,334,
Wyatt Herger,16,17,62.83,60.24,2.5899999999999963,4.122234601305103,460,239,
Brendon Lewis,16,17,62.45,61.27,1.1799999999999997,1.8895116092874296,393,373,
Derek Feldman,16,17,63.01,60.85,2.1599999999999966,3.428027297254399,482,315,
Josh Grimenstein,16,17,60.87,61.59,-0.720000000000006,-1.1828486939379104,209,423,
Luke Bucaro,16,17,60.51,59.5,1.009999999999998,1.6691455957692911,177,170,
Ethan Moore,16,17,63.05,60.21,2.8399999999999963,4.504361617763674,487,233,
Nathan Szobota,16,17,59.03,57.78,1.25,2.117567338641369,68,49,
Brennen Oneil,16,17,59.52,59.11,0.4100000000000037,0.6888440860215115,99,134,
Gabe Jones,16,17,61.35,59.61,1.740000000000002,2.8361858190709075,258,178,
Brady Johnson,16,17,59.1,55.41,3.690000000000005,6.243654822335033,70,3,
Aidan Siers,16,17,60.1,59.61,0.490000000000002,0.8153078202995042,140,178,
Tony Laurito,16,17,60.81,58.75,2.0600000000000023,3.387600723565207,206,108,
Blake Amlicke,16,17,56.61,54.84,1.769999999999996,3.1266560678325312,4,2,
Josh Crook,16,17,62.55,59.97,2.5799999999999983,4.124700239808151,413,210,
James Pattillo,16,17,62.43,60.75,1.6799999999999997,2.6910139356078804,391,299,
Sam Seybold,16,17,59.35,58.83,0.5200000000000031,0.8761583824768376,87,117,
Frankie Prekop,16,17,58.54,59.21,-0.6700000000000017,-1.1445165698667608,44,142,
Ryan Huang,16,17,63.05,61.9,1.1499999999999986,1.8239492466296567,487,460,
Eli Rolfsen,16,17,60.04,60.79,-0.75,-1.2491672218520986,136,304,
Cameron Petitt,16,17,58.84,58.69,0.15000000000000568,0.2549286199864134,57,102,
Jiarui Xue,16,17,60.35,59.86,0.490000000000002,0.8119304059652062,160,202,
Landon Harman,16,17,60.54,58.49,2.049999999999997,3.3861909481334607,180,94,
Terry Lee,16,17,59.5,59.26,0.240000000000002,0.4033613445378185,96,147,
Wes Mank,16,17,59.28,57.82,1.4600000000000009,2.46288798920378,82,51,
Ray Liu,16,17,57.72,57.94,-0.21999999999999886,-0.3811503811503792,15,58,
Peyton Harrison,16,17,61.25,60.87,0.38000000000000256,0.6204081632653102,245,318,
Marcus Smith,16,17,60.11,62.01,-1.8999999999999986,-3.160871735152219,141,475,
Jack Fulham,16,17,59.12,58.74,0.37999999999999545,0.6427604871447826,71,106,
Brady Murdick,16,17,61.88,61.23,0.6500000000000057,1.050420168067236,328,364,
Aiden Gerst,16,17,59.34,57.51,1.8300000000000054,3.083923154701728,85,40,
Danny Molloy,16,17,62.5,59.75,2.75,4.3999999999999995,407,193,
Jake Schwendinger,16,17,60.46,59.73,0.730000000000004,1.2074098577572014,172,191,
Enzo Solitario,16,17,59.18,56.85,2.3299999999999983,3.9371409259885066,76,19,
Seth Collet,16,17,60.8,58.81,1.9899999999999949,3.273026315789465,204,115,
Jonah Nathanson,16,17,59.52,59.26,0.2600000000000051,0.43682795698925586,99,147,
Sean Su,16,17,62.09,61.66,0.4300000000000068,0.6925430826220113,348,430,
Nathan Noel,16,17,59.95,59.2,0.75,1.2510425354462051,128,141,
John Simmons,16,17,59.21,57.39,1.8200000000000003,3.0738051004897824,79,34,
Owen Byrd,16,17,61.24,60.8,0.44000000000000483,0.7184846505552006,243,307,
Clark Coyle,16,17,59.99,58.83,1.1600000000000037,1.9336556092682176,133,117,
Parker Chan,16,17,61.54,61.7,-0.1600000000000037,-0.25999350016250194,279,434,
Aaron Mendoza,16,17,58.34,59.07,-0.7299999999999969,-1.2512855673637244,39,130,
Adam Lee,16,17,61.49,60.4,1.0900000000000034,1.7726459586924759,275,256,
Hayden Meyers,16,17,59.6,56.14,3.460000000000001,5.80536912751678,103,12,
John Rusnock,16,17,59.63,57.62,2.010000000000005,3.370786516853941,104,44,
Logan Solomon,16,17,61.82,61.56,0.259999999999998,0.42057586541571984,320,420,
Winston Sundeen,16,17,57.78,58.22,-0.4399999999999977,-0.761509172724122,16,79,
