name,age_from,age_to,time_from,time_to,improvement_seconds,improvement_percentage,rank_from,rank_to,foreign
Tyler Vong,15,16,69.05,68.19,0.8599999999999994,1.2454742939898618,119,191,
Jack Bolte,15,16,72.25,71.07,1.1800000000000068,1.6332179930795943,385,499,
Christian Henry,15,16,72.46000000000001,67.58,4.88000000000001,6.734750207010777,410,149,
Makar Goncharov,15,16,70.43,68.89,1.5400000000000063,2.186568223768289,213,261,Yes
Jaeger Ellerman,15,16,70.19,65.35,4.840000000000003,6.895569169397355,198,37,
Michael Morea,15,16,69.58,67.66,1.9200000000000017,2.759413624604774,154,153,
Jayden Bruzgul,15,16,73.03,69.95,3.0799999999999983,4.217444885663424,465,356,
Ryan Kim,15,16,70.91,69.71000000000001,1.1999999999999886,1.6922859963333643,254,335,
Isaac Lewis,15,16,71.26,68.88,2.3800000000000097,3.339882121807479,288,258,
Andrew Nathe,15,16,71.26,67.69,3.5700000000000074,5.009823182711209,288,156,
Cooper Lehman,15,16,73.16,70.73,2.4299999999999926,3.3214871514488693,472,459,
Evan Witte,15,16,68.96000000000001,66.92,2.0400000000000063,2.9582366589327234,113,113,
Connor Lauritzen,15,16,69.83,68.75,1.0799999999999983,1.546613203494198,174,249,
George Lam,15,16,71.32,70.77,0.5499999999999972,0.7711721817162047,296,466,
Strahinja Maslo,15,16,67.75,67.2,0.5499999999999972,0.8118081180811766,56,127,Yes
Nate Thomas,15,16,68.42,68.75,-0.3299999999999983,-0.48231511254019044,82,249,
Connor Ho,15,16,72.1,69.08,3.019999999999996,4.188626907073504,368,282,
Ian Fournier,15,16,68.8,69.06,-0.2600000000000051,-0.3779069767441935,103,281,
David Abarbanel,15,16,69.74,66.08,3.6599999999999966,5.248064238600512,170,61,
Brandon Liu,15,16,71.56,69.35,2.210000000000008,3.088317495807725,312,306,
Joseph Pollock,15,16,72.02,68.14,3.8799999999999955,5.387392391002494,358,185,
Peter Peyser,15,16,69.42,68.99,0.4300000000000068,0.619418035148382,142,275,
Derek Feldman,15,16,69.94,69.61,0.3299999999999983,0.4718329997140382,184,327,
Lucas Gabriel,15,16,69.84,68.8,1.0400000000000063,1.4891179839633537,175,254,
Evan Preissler,15,16,68.88,68.96000000000001,-0.0800000000000125,-0.11614401858306114,107,268,
Preston Kessler,15,16,71.6,69.23,2.3699999999999903,3.3100558659217745,317,295,
John Frank,15,16,73.12,70.09,3.030000000000001,4.14387308533917,468,371,
Eldad Zamir,15,16,65.73,65.46,0.27000000000001023,0.41077133728892473,12,42,
Jack Mainville,15,16,69.18,65.29,3.8900000000000006,5.6230124313385375,127,35,
Brady Johnson,15,16,71.65,68.1,3.5500000000000114,4.954640614096317,319,183,
Nick Marrero,15,16,69.81,67.43,2.3799999999999955,3.4092536885832905,173,137,
Jack Bigham,15,16,70.58,69.12,1.4599999999999937,2.06857466704448,229,288,
Maika Ognoskie,15,16,73.28,67.97,5.310000000000002,7.246179039301313,485,176,
Tony Laurito,15,16,70.32,68.56,1.759999999999991,2.5028441410693842,208,228,
Will Jung,15,16,70.7,68.03,2.6700000000000017,3.776520509193779,240,179,
Christian Dantey,15,16,67.99,65.77,2.219999999999999,3.2651860567730533,64,52,
Owen Coblin,15,16,69.56,67.25,2.3100000000000023,3.32087406555492,152,130,
Cody Ano,15,16,69.68,68.27,1.4100000000000108,2.0235361653272252,164,197,
Jude Banks,15,16,68.95,65.72,3.230000000000004,4.6845540246555535,112,50,
Xavier Ruiz,15,16,64.49,62.43,2.059999999999995,3.194293688944015,5,3,Yes
Elson Lee,15,16,69.85,68.96000000000001,0.8899999999999864,1.274158911954168,177,268,Yes
Aaron Stevens,15,16,67.42,65.96,1.460000000000008,2.1655295164639687,45,55,
Mitchell Chao,15,16,70.65,70.24,0.4100000000000108,0.58032554847843,234,390,
Elias Corn,15,16,71.13,68.91,2.219999999999999,3.1210459721636425,277,264,
Jim Mahoney,15,16,70.69,67.64,3.049999999999997,4.314613099448292,237,152,
Alex Primavera,15,16,68.43,64.39,4.040000000000006,5.903843343562774,84,17,
Vito Cappiello,15,16,69.4,68.53,0.8700000000000045,1.2536023054755108,139,226,
Jorell Melendez Figueroa,15,16,67.32,68.26,-0.9400000000000119,-1.396316102198473,41,196,
Cory Chen,15,16,73.35,69.97,3.3799999999999955,4.608043626448528,496,357,
Carson Agnew,15,16,70.83,66.63,4.200000000000003,5.929690808979251,246,94,
Shawn Kim,15,16,71.83,68.91,2.9200000000000017,4.065153835444803,335,264,
Collin Huston,15,16,68.01,65.61,2.4000000000000057,3.5288928098809076,65,47,
Mathew Cheang,15,16,69.47,70.23,-0.7600000000000051,-1.0939974089535125,144,388,
Mircea Butnariu,15,16,73.2,70.44,2.760000000000005,3.770491803278695,479,416,
Harrison Li,15,16,72.25,70.45,1.7999999999999972,2.491349480968854,385,420,
Hayden Lynam,15,16,68.31,67.8,0.5100000000000051,0.7465963987703192,77,166,
TJ Frost,15,16,72.07,69.93,2.1399999999999864,2.9693353683918224,363,354,
Jiarui Xue,15,16,69.28999999999999,69.28999999999999,0.0,0.0,133,299,
Callum Bolitho,15,16,70.41,69.87,0.539999999999992,0.7669365146996052,212,351,
Derek Yao,15,16,70.02,67.98,2.039999999999992,2.913453299057401,189,177,
Carter Gray,15,16,67.34,66.96,0.38000000000000966,0.5643005643005786,43,117,
Oliver Santana,15,16,69.93,70.42,-0.4899999999999949,-0.7007007007006933,183,413,
Keith Magallanes,15,16,69.56,66.99,2.5700000000000074,3.6946520989074285,152,121,
Logan Hill,15,16,72.95,70.37,2.5799999999999983,3.5366689513365293,458,405,
Jack Keyser,15,16,71.19,70.01,1.1799999999999926,1.6575361708104968,282,362,
Preston Buckingham,15,16,69.25,68.19,1.0600000000000023,1.5306859205776207,130,191,
Tiernan Moore,15,16,71.08,67.24,3.8400000000000034,5.40236353404615,271,129,
Nick Arevalos,15,16,71.03,70.4,0.6299999999999955,0.8869491764043298,263,411,
Tre Cottrell,15,16,69.59,66.33,3.260000000000005,4.684581117976728,156,77,
Charlie Greenwood,15,16,67.16,66.75,0.4099999999999966,0.6104824300178627,36,104,
Maddax Thompson,15,16,67.48,65.52,1.960000000000008,2.9045643153527085,48,44,
Thomas Lenston,15,16,70.08,68.81,1.269999999999996,1.8122146118721407,192,255,
Evan Gitlevich,15,16,69.4,68.56,0.8400000000000034,1.2103746397694573,139,228,
Hugh Boris,15,16,70.55,66.75,3.799999999999997,5.386250885896524,225,104,
Daniel Guo,15,16,71.93,70.26,1.6700000000000017,2.321701654386211,340,392,
Wyatt Porch,15,16,67.22,68.32,-1.0999999999999943,-1.6364177328176053,37,202,
Shepard Kerscher,15,16,71.98,69.47,2.510000000000005,3.487079744373444,352,316,
Trent Hollandsworth,15,16,69.13,66.16,2.969999999999999,4.296253435556197,123,68,
Jack Hackler,15,16,68.49,65.0,3.489999999999995,5.095634399182355,85,27,
Anthony Murashkin,15,16,70.53999999999999,69.0,1.539999999999992,2.18315849163594,223,276,
Mason Crews,15,16,72.87,70.84,2.030000000000001,2.785782901056678,449,474,
John Rusnock,15,16,70.61,69.03999999999999,1.5700000000000074,2.2234810933295672,230,280,
Aidan Jackson,15,16,68.66,69.41,-0.75,-1.0923390620448588,97,311,
Giulian Martin,15,16,64.12,62.81,1.3100000000000023,2.0430442919525924,2,7,
Jack Yu,15,16,71.4,68.5,2.9000000000000057,4.061624649859952,299,222,
Peter Wendol,15,16,69.0,67.19,1.8100000000000023,2.6231884057971047,115,126,
De'andre Paiz,15,16,70.98,69.97,1.0100000000000051,1.4229360383206608,259,357,
Tyler McGeehan,15,16,67.9,67.9,0.0,0.0,61,172,
Darrel Shin,15,16,70.61,68.28999999999999,2.3200000000000074,3.28565359014305,230,199,
Luke Watkins,15,16,72.43,68.15,4.280000000000001,5.909153665608175,406,186,
Dallas Jones,15,16,68.08,66.44,1.6400000000000006,2.408930669800236,68,86,
Ruihan Zhu,15,16,68.05,67.83,0.21999999999999886,0.32329169728140905,67,167,
Connor Bennett,15,16,72.55,67.18,5.36999999999999,7.401791867677451,419,125,
Chase Dai,15,16,68.38,67.86,0.519999999999996,0.7604562737642528,80,169,
Jayden Wang,15,16,70.45,70.48,-0.030000000000001137,-0.04258339247693561,214,423,
