name,age_from,age_to,time_from,time_to,improvement_seconds,improvement_percentage,rank_from,rank_to,foreign
Anthony Simmons,17,18,57.96,56.14,1.8200000000000003,3.1400966183574885,317,96,
Ian Cazella,17,18,57.72,57.78,-0.060000000000002274,-0.10395010395010788,271,254,Yes
Dylan Alt,17,18,56.57,55.58,0.990000000000002,1.750044193035181,127,60,
Lucas Crother-Collado,17,18,57.83,57.97,-0.14000000000000057,-0.24208888120352856,286,270,
Andrew Coombs,17,18,55.13,55.28,-0.14999999999999858,-0.2720841647016118,31,45,
Jacob Zimmerman,17,18,58.55,59.66,-1.1099999999999994,-1.8958155422715621,429,477,
Aaron Davidson,17,18,56.09,55.61,0.480000000000004,0.8557675164913603,81,65,
Benjamin Haddad,17,18,58.19,57.81,0.37999999999999545,0.6530331672108531,362,257,
Cameron Byrd,17,18,56.92,55.68,1.240000000000002,2.1784961349262155,171,68,
John Kroll,17,18,56.59,58.06,-1.4699999999999989,-2.5976320904753467,130,283,
Wyatt Combs,17,18,58.69,58.59,0.09999999999999432,0.17038677798601862,462,340,
Marcus Tran,17,18,58.54,57.79,0.75,1.2811752647762216,426,255,
Trey Mastandrea,17,18,58.28,58.13,0.14999999999999858,0.25737817433081434,377,292,
Thomas Matheson,17,18,58.18,56.69,1.490000000000002,2.561017531797872,361,146,
Aaron Gordon,17,18,55.15,55.72,-0.5700000000000003,-1.0335448776065281,33,71,
Phil Lin,17,18,58.13,57.99,0.14000000000000057,0.2408394976776201,356,272,
Carson Olson,17,18,57.08,56.43,0.6499999999999986,1.1387526278906772,183,122,
Matthew Nakayama,17,18,56.76,57.06,-0.30000000000000426,-0.5285412262156524,153,183,
Noah Reeves,17,18,57.31,56.05,1.2600000000000051,2.1985691851334934,207,88,
Kaden Fatta,17,18,58.59,58.16,0.4300000000000068,0.7339136371394552,438,295,
Luke Parsons,17,18,57.41,57.59,-0.18000000000000682,-0.3135342274865125,219,227,
Kam Forsmann,17,18,57.44,57.59,-0.15000000000000568,-0.2611420612813469,228,227,
Joel Nace,17,18,55.57,57.27,-1.7000000000000028,-3.0592046068022367,54,198,
Isaih Francis,17,18,58.01,59.49,-1.480000000000004,-2.5512842613342595,331,452,
Eduardo Sanchez,17,18,58.5,57.92,0.5799999999999983,0.9914529914529886,415,267,
Nathan Butler,17,18,56.93,56.74,0.18999999999999773,0.3337431933953939,173,150,
Connor McHugh,17,18,57.65,58.03,-0.38000000000000256,-0.6591500433651389,256,276,
Ricky Beebe,17,18,56.45,57.71,-1.259999999999998,-2.232063773250661,113,244,
Jacob Johnson,17,18,53.15,52.81,0.3399999999999963,0.6396989651928434,2,2,
Evan Witte,17,18,55.29,54.5,0.7899999999999991,1.4288298064749487,41,19,
Aj Robinson,17,18,58.35,57.39,0.9600000000000009,1.6452442159383045,392,205,
David Gutin,17,18,58.35,57.41,0.9400000000000048,1.6109682947729302,392,207,
Isaac Urban,17,18,58.34,58.6,-0.259999999999998,-0.44566335275968116,389,342,
Francisco Goya,17,18,58.47,57.44,1.0300000000000011,1.7615871387036106,413,211,Yes
Campbell McKean,17,18,53.54,55.6,-2.0600000000000023,-3.8475905864774043,5,64,
Leo Gustavsson,17,18,57.68,57.6,0.0799999999999983,0.13869625520110662,262,230,
Josh Martin,17,18,56.39,55.8,0.5900000000000034,1.046284802269912,104,75,
Paul Martinez,17,18,58.41,58.05,0.35999999999999943,0.6163328197226493,403,280,
Gregory Yukhvid,17,18,56.28,55.49,0.7899999999999991,1.4036958066808798,95,55,
Nate Thomas,17,18,58.48,57.68,0.7999999999999972,1.3679890560875465,414,242,
Evan Ingraham,17,18,56.72,57.16,-0.4399999999999977,-0.7757404795486561,147,190,
Lewis Esterly,17,18,56.14,58.01,-1.8699999999999974,-3.330958318489486,83,275,
Micah Churchill,17,18,56.79,57.52,-0.730000000000004,-1.285437577038218,157,217,
Cooper Burt,17,18,57.7,57.03,0.6700000000000017,1.1611785095320655,265,180,
Daniel King,17,18,57.89,58.52,-0.6300000000000026,-1.0882708585247929,307,327,
Luke Davis,17,18,57.6,58.93,-1.3299999999999983,-2.3090277777777746,249,378,
Henry Ko,17,18,56.63,56.75,-0.11999999999999744,-0.2119018188239404,138,152,
Walter Kueffer,17,18,56.79,55.89,0.8999999999999986,1.5847860538827234,157,81,
Grant Murphy,17,18,58.12,58.57,-0.45000000000000284,-0.7742601514108789,354,335,
Mason Wendler,17,18,56.11,56.38,-0.2700000000000031,-0.48119764747817345,82,118,
Cade Doherty,17,18,58.07,57.01,1.0600000000000023,1.8253831582572797,346,178,
Dylan Ferguson,17,18,56.87,57.26,-0.39000000000000057,-0.6857745735888879,166,197,
Max Buff,17,18,55.49,54.27,1.2199999999999989,2.198594341322759,50,14,
Henry Heit,17,18,57.32,56.65,0.6700000000000017,1.1688764829030036,208,140,
