name,age_from,age_to,time_from,time_to,improvement_seconds,improvement_percentage,rank_from,rank_to,foreign
Ethan Fang,15,16,288.79,302.25,-13.45999999999998,-4.660826205893549,136,470,
Tenzin Wangpo,15,16,289.97,292.65999999999997,-2.689999999999941,-0.9276821740179815,163,225,
Leon Mikulski,15,16,293.26,289.52,3.740000000000009,1.27531882970743,224,160,
Jihoon Jung,15,16,288.49,289.15999999999997,-0.6699999999999591,-0.23224375194979344,135,151,
Andrew Coombs,15,16,283.19,285.87,-2.680000000000007,-0.9463611003213415,66,91,
Terry Lee,15,16,301.82,296.05,5.769999999999982,1.9117354714730572,439,296,
Harrison Short,15,16,293.57,287.52,6.050000000000011,2.0608372790135268,230,122,
Seth Graber,15,16,293.84000000000003,286.1,7.740000000000009,2.6340865777293794,233,95,
Asher Allebach,15,16,303.83,287.96,15.870000000000005,5.223315669947012,498,132,
Hunter Hua,15,16,295.15,291.65,3.5,1.1858377096391668,263,206,
Luke Eskola,15,16,297.13,294.07,3.0600000000000023,1.0298522532224959,311,256,
Alex Parent,15,16,281.29,274.7,6.590000000000032,2.342777916029731,59,15,
Mark O'Mara,15,16,297.32,293.48,3.839999999999975,1.2915377371182482,313,243,
Logan Calhoun,15,16,289.6,294.03,-4.42999999999995,-1.5296961325966676,151,255,
Sean Green,15,16,262.71,264.27,-1.5600000000000023,-0.5938106657531127,2,2,
Cota Clise,15,16,284.67,279.48,5.189999999999998,1.8231636631889547,84,33,
Gideon Swan,15,16,287.95,298.53,-10.579999999999984,-3.674249001562766,126,357,
Braedon Ando,15,16,303.16,287.55,15.610000000000014,5.14909618683204,477,124,
Zack Arnold,15,16,296.78,297.84000000000003,-1.0600000000000591,-0.35716692499496566,305,341,
Rex Biebel,15,16,298.58,302.23,-3.650000000000034,-1.2224529439346354,351,469,
Tyler Barritt,15,16,292.79,285.6,7.189999999999998,2.4556849619180974,216,88,
J.J. Arbuckle,15,16,299.21,290.13,9.079999999999984,3.034657932555725,369,178,
Patrick O'Hagan,15,16,279.7,278.94,0.7599999999999909,0.2717196996782234,39,30,
Dylan Moen,15,16,297.02,299.77,-2.75,-0.9258635782102216,308,391,
Christopher Gregg,15,16,296.57,288.38,8.189999999999998,2.7615739960211747,301,134,
Cabot Murawski,15,16,298.26,296.28,1.9800000000000182,0.6638503319251721,335,303,
Norvin Clontz,15,16,264.19,270.35,-6.160000000000025,-2.331655248116895,4,6,
Mac Clark,15,16,285.95,286.86,-0.910000000000025,-0.31823745410037596,96,105,
Kenneth Barnicle,15,16,275.21,275.3,-0.09000000000003183,-0.03270230006178258,15,18,
Nicholas Aldrich,15,16,294.97,302.44,-7.46999999999997,-2.5324609282299795,257,473,
Cooper Dillman,15,16,288.18,282.56,5.6200000000000045,1.9501700326185039,129,61,
Zach Parent,15,16,285.76,286.54,-0.7800000000000296,-0.27295632698769234,94,100,
Ian Stutts,15,16,278.74,283.37,-4.6299999999999955,-1.661046136184256,26,66,
AJ Adams,15,16,292.46,289.58,2.8799999999999955,0.9847500512890637,208,161,
David Kushnirsky,15,16,293.1,292.23,0.8700000000000045,0.29682702149437207,222,215,
Will Chen,15,16,296.08,286.78,9.300000000000011,3.141042961361798,284,104,
Owen Tharrington,15,16,293.32,302.92,-9.600000000000023,-3.27287603982,225,486,
Nathan Wu,15,16,275.17,289.63,-14.45999999999998,-5.254933313951367,14,165,
Brody Van Frayen,15,16,296.1,294.58,1.5200000000000387,0.513340087808186,285,268,
Simeon Prosinski,15,16,296.3,289.73,6.569999999999993,2.2173472831589582,289,170,
Henry Heit,15,16,296.44,298.05,-1.6100000000000136,-0.5431115908784286,293,347,
Zakary Guenther,15,16,284.64,297.1,-12.460000000000036,-4.3774592467678595,82,328,
Dillon Spooner,15,16,300.21,293.15,7.060000000000002,2.3516871523267056,393,239,
Logan Poswinski,15,16,289.09000000000003,285.6,3.490000000000009,1.207236500743716,142,88,
Ethan Wang,15,16,301.89,300.06,1.829999999999984,0.6061810593262394,441,403,
Frank Nguyen,15,16,290.8,291.59000000000003,-0.7900000000000205,-0.27166437414030964,175,204,
Riley Smith,15,16,302.15,299.86,2.2899999999999636,0.7579017044514194,450,395,
Nathan Szobota,15,16,276.86,274.49,2.3700000000000045,0.8560283175612239,20,13,
Noah Cakir,15,16,279.35,269.34,10.010000000000048,3.58331841775552,34,4,
