name,age_from,age_to,time_from,time_to,improvement_seconds,improvement_percentage,rank_from,rank_to,foreign
Anthony Simmons,17,18,541.63,530.38,11.25,2.077063678156675,321,136,
Jackson Scheiber,17,18,504.44,500.86,3.579999999999984,0.7096978828007263,48,38,
Ty Dropic,17,18,534.64,536.55,-1.9099999999999682,-0.35724973814154726,248,175,
Nick Fabian,17,18,515.58,513.28,2.300000000000068,0.44609953838396915,108,78,
Charlie Hill,17,18,539.48,537.29,2.1900000000000546,0.4059464669682017,296,179,
Owen Nye,17,18,529.39,548.82,-19.430000000000064,-3.6702619996599983,204,242,
Matthew Amodio,17,18,529.34,512.14,17.200000000000045,3.249329353534599,202,70,
Aaron Davidson,17,18,504.15,497.69,6.4599999999999795,1.2813646732123336,47,29,
Connor Freeze,17,18,545.55,534.41,11.139999999999986,2.0419759875355123,354,159,
Jonny Hines,17,18,489.76,486.85,2.909999999999968,0.5941685723619667,11,7,
Clay Baumann,17,18,503.4,497.11,6.289999999999964,1.249503377036147,42,28,
Alex Aleinikovas,17,18,524.82,565.59,-40.76999999999998,-7.768377729507256,167,304,Yes
Owen Currie,17,18,537.25,544.08,-6.830000000000041,-1.271288971614712,270,220,
Thomas Matheson,17,18,508.97,494.83,14.140000000000043,2.778159812955585,71,21,
Aaron Gordon,17,18,528.18,547.47,-19.290000000000077,-3.6521640349880875,193,234,
Liam Seifert,17,18,520.87,537.87,-17.0,-3.2637702305757674,139,185,
Phil Lin,17,18,514.94,529.29,-14.349999999999909,-2.7867324348467606,102,131,
Logan Osterwise,17,18,542.5,541.55,0.9500000000000455,0.1751152073732803,332,202,
Benjamin Robins,17,18,517.74,520.67,-2.92999999999995,-0.5659211187082223,118,102,
Kaden Fatta,17,18,551.72,543.32,8.399999999999977,1.522511418835637,420,217,
Drew Davis,17,18,527.26,544.16,-16.899999999999977,-3.2052497818912826,187,221,
Lincoln Council,17,18,502.14,507.99,-5.850000000000023,-1.165013741187721,33,56,
Casey Kupka,17,18,541.41,526.77,14.639999999999986,2.704050534714909,320,123,
Eduardo Sanchez,17,18,513.96,539.29,-25.329999999999927,-4.928399097205994,98,189,
Colson Lloyd,17,18,557.61,556.1,1.509999999999991,0.2707985868259161,466,263,
Aj Robinson,17,18,502.16,504.52,-2.359999999999957,-0.4699697307630948,34,47,
Carter Ramsey,17,18,556.8,573.5,-16.700000000000045,-2.9992816091954104,457,330,
Vincent Kim,17,18,527.56,533.81,-6.25,-1.1846993706876945,189,155,
Mac Clark,17,18,490.77,496.98,-6.210000000000036,-1.265358518246844,13,26,
Norvin Clontz,17,18,499.19,515.53,-16.339999999999975,-3.2733027504557333,25,86,
Theo Ho,17,18,529.02,563.55,-34.52999999999997,-6.5271634342746925,199,298,
Santiago Souberbielle,17,18,554.05,532.76,21.289999999999964,3.8426134825376703,441,146,
Cash Strickland,17,18,524.88,545.37,-20.49000000000001,-3.9037494284407885,168,226,
Jay Castro,17,18,544.12,541.64,2.480000000000018,0.4557818128354073,343,204,
Adan Fukui,17,18,547.0,542.02,4.980000000000018,0.9104204753199303,367,209,
Michael Gehley,17,18,554.1,568.18,-14.079999999999927,-2.541057570835576,442,315,
