Rank	Swim Time	Name	Foreign	Age	Event	LSC	Team	Meet	Time Standard
1	1:58.34	Claire Tuggle		18	200 FR LCM	VA	Cavalier Aquatics/Piedmont Family YMCA	2022 Phillips 66 Summer Nationals	2023 Summer Nationals (LCM)
2	1:58.42	Kayla Wilson		18	200 FR LCM	VA	Tide Swimming	2022 Jr Pan Pacific Swimming Championships	2023 Summer Nationals (LCM)
3	1:58.80	Justina Kozan	Yes	18	200 FR LCM	CA	Unattached	2022 Speedo Junior National Ch	2023 Summer Nationals (LCM)
4	1:59.72	Natalie Mannion		18	200 FR LCM	NE	Commonwealth Swimming	2022 Phillips 66 Summer Nationals	2023 Summer Nationals (LCM)
5	2:01.03	Elizabeth Tilt		18	200 FR LCM	GA	Chattahoochee Gold Swim Club	2022 NC Futures Championships Cary	2023 Summer Nationals (LCM)
6	2:01.06	Abby Carlson		18	200 FR LCM	WI	Wisconsin Aquatics	2022 Phillips 66 Summer Nationals	2023 Summer Nationals (LCM)
7	2:01.07	Kristina Paegle		18	200 FR LCM	IN	Indiana Swim Club	2022 Speedo Junior National Ch	2023 Summer Nationals (LCM)
8	2:01.37	Katie Crom		18	200 FR LCM	CA	Unattached	2022 CA MVN Fran Crippen SMOC	2022 Summer Nationals (LCM)
9	2:01.70	Blair Stoneburg		18	200 FR LCM	FL	Unattached	2022 Phillips 66 Summer Nationals	2022 Winter US Open (LCM)
9	2:01.70	Gigi Johnson		18	200 FR LCM	GA	SwimAtlanta	2022 Speedo Junior National Ch	2022 Winter US Open (LCM)
11	2:01.80	Kirsti McEnroe		18	200 FR LCM	SC	Y-Spartaquatics Swim Club	2022 Speedo Junior National Ch	2022 Winter US Open (LCM)
12	2:02.00	Reilly Tiltmann		18	200 FR LCM	VA	Unattached	2022 NC SGSA Eastern Invitational	2022 Winter US Open (LCM)
13	2:02.21	Catherine Meisner		18	200 FR LCM	NJ	Greater Somerset County YMCA Storm	2022 AM LC Eastern Zone SR Championship	2022 Winter US Open (LCM)
14	2:02.22	Sara Stotler		18	200 FR LCM	SE	University Of Tennessee	2022 Phillips 66 International Team Trials	2022 Winter US Open (LCM)
15	2:02.47	Julia Burroughs		18	200 FR LCM	SE	Tennessee Aquatics	2022 Phillips 66 Summer Nationals	2022 Winter US Open (LCM)
16	2:02.53	Micayla Cronk		18	200 FR LCM	FL	University of Florida	2022 Phillips 66 International Team Trials	2022 Winter US Open (LCM)
17	2:02.61	Brooklyn Douthwright	Yes	18	200 FR LCM	SE	University Of Tennessee	2022 SE Tennessee LC Invitational	2022 Winter US Open (LCM)
18	2:03.12	Carly Novelline		18	200 FR LCM	IL	NASA Wildcat Aquatics	2022 MN Futures Championships Minnesota	2022 Winter US Open (LCM)
19	2:03.22	Jordan Agliano		18	200 FR LCM	FL	Highlander Aquatic Club	2022 Phillips 66 Summer Nationals	2022 Winter US Open (LCM)
20	2:03.35	Ella Jo Piersma		18	200 FR LCM	OHO	Mason Manta Rays	2022 Speedo Junior National Ch	2022 Winter US Open (LCM)
21	2:03.39	Casey Cullen		18	200 FR LCM	MA	Plymouth Whitemarsh Aquatics	2022 LE Futures Championships Geneva	2022 Winter US Open (LCM)
22	2:03.68	Ella Bathurst		18	200 FR LCM	VA	Unattached	2022 VA LC Senior Champs	2022 Winter US Open (LCM)
23	2:03.73	Amy Riordan		18	200 FR LCM	GA	Aiken-Augusta Swim League	2022 NC SwimMAC Martha McKee Meet	2022 Summer Juniors (LCM)
24	2:03.85	Grace Frericks		18	200 FR LCM	KY	Kentucky Aquatics	2022 NC ESSZ Summer Sectionals	2022 Summer Juniors (LCM)
25	2:03.86	Ella Welch		18	200 FR LCM	KY	Cardinal Aquatics	2022 Phillips 66 Summer Nationals	2023 Summer Juniors (LCM)
26	2:03.87	Charlotte Hook		18	200 FR LCM	NC	TAC Titans	2022 NC ESSZ Summer Sectionals	2022 Summer Juniors (LCM)
27	2:04.19	Mary Codevilla		18	200 FR LCM	CO	Elevation Athletics	2022 OR Speedo Sectionals - Mt Hood	2023 Summer Juniors (LCM)
28	2:04.33	Stephanie Sifferman		18	200 FR LCM	PC	Santa Clara Swim Club	2022 Futures - Santa Clara	2022 Winter Juniors (SCY)
29	2:04.48	Sophie Duncan		18	200 FR LCM	PV	Unattached	2022 IN NCSA Summer Swimming Championship	2022 Winter Juniors (SCY)
30	2:04.65	Ella Martinez		18	200 FR LCM	FG	Saint Andrew's Aquatics	2022 FL SZ South Sectionals Championships	2022 Winter Juniors (SCY)
31	2:04.73	Brooke Arnold		18	200 FR LCM	FL	Planet Swim Aquatics	2022 Futures - Cary	2022 Winter Juniors (SCY)
32	2:04.81	Kylee Sears		18	200 FR LCM	SN	Spare Time Aquatics Sacramento	2022 SN Summer CA-NV Sectional-CC	2022 Winter Juniors (SCY)
33	2:04.84	Zoe Dixon		18	200 FR LCM	VA	NOVA of Virginia Aquatics, Inc	2022 VA LC Senior Champs	2022 Winter Juniors (SCY)
34	2:04.90	Ching Gan	Yes	18	200 FR LCM	IN	Indiana University	2022 TYR Pro Swim Series - San	2022 Winter Juniors (SCY)
35	2:04.92	Kate McCarville		18	200 FR LCM	SE	Unattached	2021 Tennessee Invitational Ti	2022 Winter Juniors (SCY)
36	2:04.94	Bri Roberson		18	200 FR LCM	GA	Athens Bulldog Swim Club	2022 GA Speedo Atlanta Classic	2022 Winter Juniors (SCY)
37	2:05.18	Elyse Heiser		18	200 FR LCM	IN	Indiana University	2022 TYR Pro Swim Series - San	2022 Futures (LCM)
38	2:05.23	Julia Meisner		18	200 FR LCM	NJ	Greater Somerset County YMCA Storm	2022 AM LC Eastern Zone SR Championship	2023 Futures (LCM)
39	2:05.25	Lockett Bowley		18	200 FR LCM	FL	Blue Dolfins	2022 TYR Pro Swim Series - San	2022 Futures (LCM)
40	2:05.28	Nina Mollin		18	200 FR LCM	IL	Academy Bullets Swim Club	2022 IL LCM Senior Championships	2023 Futures (LCM)
40	2:05.28	Sydney DeBaecke		18	200 FR LCM	MA	Suburban Seahawks Club	2022 IN NCSA Summer Swimming Championships2	2023 Futures (LCM)
40	2:05.28	Grace Drabot		18	200 FR LCM	WI	Ozaukee Aquatics	2022 WI 13 & O LC State Meet	2023 Futures (LCM)
43	2:05.29	Amber Myers		18	200 FR LCM	SN	Sierra Marlins Swim Team	2022 Futures - Santa Clara	2023 Futures (LCM)
44	2:05.33	Caroline Benda		18	200 FR LCM	KY	Kentucky Aquatics	2022 NC ESSZ Summer Sectionals	2022 Futures (LCM)
45	2:05.41	Malia Amuan		18	200 FR LCM	NE	Phoenix Swimming	2022 Speedo Junior National Ch	2023 Futures (LCM)
46	2:05.45	Meaghan Harnish		18	200 FR LCM	MA	York YMCA	2022 MD NBAC Mid-Summer Classic	2022 Futures (LCM)
47	2:05.47	Abby Wanezek		18	200 FR LCM	WI	Elmbrook Swim Club	2022 Speedo Junior National Ch	2023 Futures (LCM)
48	2:05.48	Stella Copeland		18	200 FR LCM	CA	Mission Viejo Nadadores	2022 CA So Cal Invite	2023 Futures (LCM)
49	2:05.52	Emma Norton		18	200 FR LCM	GA	Marietta Marlins, Inc	2022 GA LC Senior State Championship	2023 Futures (LCM)
50	2:05.56	Lucy Malys		18	200 FR LCM	MI	OLY Swimming	2022 IN NCSA Summer Swimming Championships	2023 Futures (LCM)
51	2:05.61r	Hayley Clark		18	200 FR LCM	NC	North Carolina Aquatic Club	2022 NC ESSZ Summer Sectionals	2023 Futures (LCM)
51	2:05.61	Emma Hastings		18	200 FR LCM	NC	East Carolina Aquatics	2022 NC ESSZ Summer Sectionals	2022 Futures (LCM)
53	2:05.67	Elizabeth Sowards		18	200 FR LCM	NC	North Carolina Aquatic Club	2022 NC ESSZ Summer Sectionals	2022 Futures (LCM)
54	2:05.70	Sophia Karras		18	200 FR LCM	MR	Long Island Aquatic Club	2022 MR TYR Senior LC Championships	2022 Futures (LCM)
54	2:05.70	Heidi Smithwick		18	200 FR LCM	FG	Jupiter Dragons Swim Team	2022 FG Senior Championships	2023 Futures (LCM)
56	2:05.73	Audrey Portello		18	200 FR LCM	SN	DART Swimming	2022 Futures - Santa Clara	2023 Futures (LCM)
57	2:05.74	Anna Moehn		18	200 FR LCM	OZ	CSP Tideriders	2022 IN NCSA Summer Swimming Championship	2023 Futures (LCM)
58	2:05.76	Liv Dorshorst		18	200 FR LCM	IL	Barrington Swim Club	2022 TT Speedo Junior National Ch	2023 Futures (LCM)
59	2:05.77	Ella Myers		18	200 FR LCM	PV	Nation's Capital Swim Club	2022 PV NCAP Elite Qualifier	2022 Futures (LCM)
60	2:05.80	Sydney Even		18	200 FR LCM	AZ	Tucson Ford Dealers Aquatics	2022 OR Speedo Sectionals - Mt Hood	2022 Futures (LCM)
61	2:05.90	Nicole Frank-Rodriguez	Yes	18	200 FR LCM	FG	Azura Florida Aquatics	1st Junior Pan American Games	2022 Futures (LCM)
62	2:05.91	Phoebe Wright		18	200 FR LCM	OHO	Unattached	2022 OH Tim Meyers LC Senior Champs	2022 Futures (LCM)
63	2:05.92	Heidi Stalkfleet		18	200 FR LCM	IA	Iowa Flyers Swim Club	2022 IA Long Course Championships	2023 Futures (LCM)
64	2:05.95	Breckin Gormley	Yes	18	200 FR LCM	VA	Unattached	Mel Zajac Jr. International 20	2022 Futures (LCM)
65	2:05.98	Megan McGrath		18	200 FR LCM	FL	Bolles School Sharks	2022 FL SZ South Sectionals Championships	2022 Futures (LCM)
66	2:06.03	Madeline Meredith		18	200 FR LCM	KY	Lakeside Swim Team	2022 NC ESSZ Summer Sectionals	2023 Futures (LCM)
67	2:06.04r	Stella Todd		18	200 FR LCM	NT	COR Swimming	2022 IN NCSA Summer Swimming Championships	2023 Futures (LCM)
67	2:06.04	Annie Andres		18	200 FR LCM	IL	FMC Aquatic	2022 MN USAS Speedo Meet	2022 Futures (LCM)
69	2:06.07	Maura Schoppa		18	200 FR LCM	NC	Swim GSA	2022 NC SGSA Eastern Invitational	2023 Futures (LCM)
70	2:06.20	Sumner Chmielewski		18	200 FR LCM	FL	Sarasota Tsunami Swim Team	2022 FG Southern Zone South Sectional	2022 Futures (LCM)
71	2:06.26	Sydney Mullin		18	200 FR LCM	MA	Jersey Wahoos	2022 MA Swimming Meet	2022 Futures (LCM)
72	2:06.36	Caitlyn Hughes		18	200 FR LCM	NJ	Greater Somerset County YMCA Storm	2022 NC AP LC YMCA Nationals	2023 Futures (LCM)
73	2:06.39	Gena Jorgenson		18	200 FR LCM	SD	Aberdeen Swim Club	2022 SD Long Course Championship	2023 Futures (LCM)
74	2:06.42	Alyssa Schwengel		18	200 FR LCM	AZ	Jim Click Team Elite, Inc	2022 CA Los Angeles Invitational	2023 Futures (LCM)
75	2:06.43r	Ashley Kolessar		18	200 FR LCM	MA	Suburban Seahawks Club	2022 IN NCSA Summer Swimming Championships	2023 Futures (LCM)
76	2:06.57	Morgan Razewski		18	200 FR LCM	NC	SwimMAC Carolina	2022 Phillips 66 International Team Trials	2022 Futures (LCM)
77	2:06.58	Scarlet Martin		18	200 FR LCM	IA	Iowa Flyers Swim Club	2022 IA Long Course Championships	2023 Futures (LCM)
78	2:06.60r	Delaney Harrison		18	200 FR LCM	GA	Chattahoochee Gold Swim Club	2022 NC Futures Championships Cary	2023 Futures (LCM)
79	2:06.63	Sarah Sensenbrenner		18	200 FR LCM	FL	Sarasota Sharks	2022 NC Futures Championships Cary	2023 Futures (LCM)
79	2:06.63	Emily Bucaro		18	200 FR LCM	IL	Barrington Swim Club	2022 MN USAS Speedo Meet	2022 Futures (LCM)
81	2:06.65	Sabrina Bennani		18	200 FR LCM	CA	La Mirada Armada	2022 Futures - Santa Clara	2023 Futures (LCM)
82	2:06.71	Anya Mostek		18	200 FR LCM	MA	Phoenixville YMCA	2022 MA KA Memorial Day Classic	2022 Futures (LCM)
83	2:06.75	Mary Kate Farrell		18	200 FR LCM	SC	Team Greenville	2022 SC LSC Senior State Champs	2023 Futures (LCM)
84	2:06.79	Sophia Ribeiro	Yes	18	200 FR LCM	CA	Irvine Novaquatics	2022 Speedo Junior National Ch	2023 Futures (LCM)
85	2:06.82	Elena Gingras		18	200 FR LCM	OR	Lake Oswego Swim Club	2022 OR Speedo Sectionals - Mt Hood	2022 Futures (LCM)
86	2:06.84	Nina Statler		18	200 FR LCM	PC	Walnut Creek Aquabears	2022 SN Summer CA-NV Sectional-CC	2023 Futures (LCM)
86	2:06.84	Madeline Smith		18	200 FR LCM	NC	East Carolina Aquatics	2022 NC ESSZ Summer Sectionals	2022 Futures (LCM)
88	2:06.87	Kyleigh Tankard		18	200 FR LCM	VA	Coast Guard Blue Dolphins	2022 VA LC Senior Champs	2022 Futures (LCM)
89	2:06.88	Bethany Rahn		18	200 FR LCM	FL	Sarasota Sharks	2022 NC Futures Championships Cary	2023 Futures (LCM)
90	2:07.13	Allison Brown		18	200 FR LCM	GA	Chattahoochee Gold Swim Club	2022 Futures - Cary	2023 Futures (LCM)
91	2:07.15	Megan Reich		18	200 FR LCM	NE	Phoenix Swimming	2022 NE BGSC LCM Seniors	2022 Futures (LCM)
91	2:07.15	Tatum Wall		18	200 FR LCM	PV	Nation's Capital Swim Club	2022 PV LC Open Championships	2023 Futures (LCM)
93	2:07.16	Riley Huddleston		18	200 FR LCM	OHO	New Albany Aquatic Club	2022 LE Speedo Summer Sectionals	2022 Futures (LCM)
94	2:07.21	Cory Shanks		18	200 FR LCM	SC	Gamecock Aquatics	2022 NC ESSZ Summer Sectionals	2022 Futures (LCM)
95	2:07.28	Sabrina Johnston		18	200 FR LCM	MR	BGC-N. Westchester Marlins	2022 TYR Pro Swim Series - Mis	2023 Futures (LCM)
96	2:07.32	Kate Li		18	200 FR LCM	CA	Brea Aquatics	2022 CA Los Angeles Invitational	2022 Futures (LCM)
