Rank	Swim Time	Name	Foreign	Age	Event	LSC	Team	Meet	Time Standard
1	55.83	Maximus Williamson		15	100 BK LCM	NT	North Texas Nadadores	2022 Jr Pan Pacific Swimming Championships	2023 Summer Nationals (LCM)
2	56.87	Carter Lancaster		15	100 BK LCM	FL	Bolles School Sharks	Time Trials - Intl Team Trials	2022 Winter US Open (LCM)
3	56.94	Kenneth Barnicle		15	100 BK LCM	NJ	Greater Somerset County YMCA Storm	2022 Speedo Junior National Ch	2022 Winter US Open (LCM)
4	57.50	Derek Hitchens		15	100 BK LCM	CA	Irvine Novaquatics	2022 CA SCS/MVN Summer JO's	2022 Winter US Open (LCM)
5	57.93	Granger Bartee		15	100 BK LCM	NC	SwimMAC Carolina	2022 NC ESSZ Summer Sectionals	2022 Winter US Open (LCM)
6	57.97r	Aaron Gordon		15	100 BK LCM	ST	Waterloo Swimming	2022 Speedo Junior National Ch	2022 Winter US Open (LCM)
7	58.07	Ethan Ekk	Yes	15	100 BK LCM	FL	Area Tallahassee Aquatic Club	2022 NC Futures Championships Cary	2023 Summer Juniors (LCM)
8	58.12r	Christian Smith		15	100 BK LCM	NC	Marlins Of Raleigh	2022 Speedo Junior National Ch	2023 Summer Juniors (LCM)
9	58.46r	Sean Green		15	100 BK LCM	MR	Long Island Aquatic Club	2022 MR TYR Senior LC Championships	2023 Summer Juniors (LCM)
10	58.57	Manoli Mountantonakis		15	100 BK LCM	MR	Long Island Aquatic Club	2022 Speedo Junior National Ch	2023 Summer Juniors (LCM)
11	58.60	Andrew Chou		15	100 BK LCM	SE	Atomic City Aquatic Club	2022 Futures - Cary	2023 Summer Juniors (LCM)
11	58.60	Isaih Francis		15	100 BK LCM	MR	Condors Swim Club	2022 FL ISCA Summer Senior Blast	2023 Summer Juniors (LCM)
13	58.63	Thomas Heilman		15	100 BK LCM	VA	Cavalier Aquatics/Piedmont Family YMCA	2022 Phillips 66 Summer Nationals	2023 Summer Juniors (LCM)
14	58.67	Nate Thomas		15	100 BK LCM	OZ	River City Aquatics	2022 MV Region VIII Speedo Summer Meet	2022 Summer Juniors (LCM)
14	58.67	Simon Bermudez		15	100 BK LCM	PV	Nation's Capital Swim Club	2021 Toyota US Open Championship	2022 Summer Juniors (LCM)
16	58.70	Ryan Griffith		15	100 BK LCM	VA	Coast Guard Blue Dolphins	2022 IN NCSA Summer Swimming Championships2	2023 Summer Juniors (LCM)
16	58.70	Sam Lorenz		15	100 BK LCM	WI	Schroeder YMCA Swim Team	2022 WI SSTY Distance-Sprint Meet	2022 Summer Juniors (LCM)
18	58.75	Tony Laurito		15	100 BK LCM	GU	Aquastar	2022 ST TXLA Speedo Southern Sectionals	2023 Summer Juniors (LCM)
19	58.82r	Ethan Kosin		15	100 BK LCM	MN	South Metro Storm	2022 MN MNSI Senior State	2022 Winter Juniors (SCY)
20	58.92	Richard Poplawski		15	100 BK LCM	NJ	Scarlet Aquatics	2022 NI EZ Speedo Sectional (LCM) Buffalo	2022 Futures (LCM)
21	58.95r	Hayden Hakes		15	100 BK LCM	IA	Iowa Flyers Swim Club	2022 Futures - Minneapolis	2023 Futures (LCM)
22	58.99	Cole Witmer		15	100 BK LCM	NC	NSEA Swim	2022 NC LC SR CHAMPS	2023 Futures (LCM)
23	59.01r	Duncan Henderson		15	100 BK LCM	NM	Beast Aquatics	2022 OR Speedo Sectionals - Mt Hood	2023 Futures (LCM)
24	59.04r	Nathan Szobota		15	100 BK LCM	VA	NOVA of Virginia Aquatics, Inc	2022 Speedo Junior National Ch	2023 Futures (LCM)
25	59.05	Kaii Winkler	Yes	15	100 BK LCM	FG	Eagle Aquatics	2022 FG Piranhas Senior Invitational	2022 Futures (LCM)
26	59.14	Eric Lambert		15	100 BK LCM	VA	NOVA of Virginia Aquatics, Inc	2022 VA EZ LC Speedo Super Sectional	2022 Futures (LCM)
27	59.19	Aaron Mendoza		15	100 BK LCM	MR	Team Suffolk	2022 IN NCSA Summer Swimming Championship	2023 Futures (LCM)
28	59.20	Landon Kyser		15	100 BK LCM	FG	Heritage Aquatic Team	2022 FL SZ South Sectionals Championships	2022 Futures (LCM)
