Rank	Swim Time	Name	Foreign	Age	Event	LSC	Team	Meet	Time Standard
1	2:06.89	Summer McIntosh	Yes	16	200 IM LCM	FL	Sarasota Sharks	Bell Canadian Swimming Trials 2023	2024 Olympic Trials
2	2:13.57	Haley McDonald		16	200 IM LCM	KY	Lakeside Swim Team	2023 Phillips 66 National Championships	2024 Olympic Trials
3	2:13.63	Alex Shackell		16	200 IM LCM	IN	Carmel Swim Club	2023 IN CZ East Spring Speedo Sectional	2024 Olympic Trials
4	2:13.90	Teagan O'Dell		16	200 IM LCM	CA	Mission Viejo Nadadores	2023 Speedo Junior National Championships	2024 Olympic Trials
5	2:14.72	Elle Scott		16	200 IM LCM	VA	NOVA of Virginia Aquatics, Inc	2023 Speedo Junior National Championships	2024 Olympic Trials
6	2:15.16	Lilla Bognar		16	200 IM LCM	SC	Team Greenville	2023 IN NCSA Summer Swimming Championships	2024 Olympic Trials
7	2:15.75	Emily Brown		16	200 IM LCM	OHO	Dublin Community Swim Team	2023 Phillips 66 National Championships	2024 Olympic Trials
8	2:16.40	Claire Weinstein		16	200 IM LCM	CA	Sandpipers Of Nevada	2023 CA Speedo Grand Challenge	2023 Summer Nationals (LCM)
9	2:16.55	Sienna Angove	Yes	16	200 IM LCM	FL	Sarasota Sharks	2023 Futures - Ocala	2024 Summer Nationals (LCM)
10	2:16.57	Eunice Lee		16	200 IM LCM	PC	Santa Clara Swim Club	2023 Speedo Junior National Championships	2024 Summer Nationals (LCM)
11	2:17.64	Sophie Segerson		16	200 IM LCM	PN	Bellevue Club Swim Team	2023 Speedo Junior National Championships	2024 Summer Nationals (LCM)
12	2:17.72	Nicole Zettel		16	200 IM LCM	NC	TAC Titans	2023 NC ESSZ Senior Sectionals	2024 Summer Nationals (LCM)
13	2:18.03	Alexa McDevitt		16	200 IM LCM	PN	Bellevue Club Swim Team	2023 Phillips 66 National Championships - Time Trials	2023 Winter US Open (LCM)
14	2:18.68	Grace Rabb		16	200 IM LCM	MN	Aquajets Swim Team	2023 Speedo Junior National Championships	2023 Winter US Open (LCM)
15	2:18.80	Ana Hazlehurst		16	200 IM LCM	MD	North Baltimore Aquatic Club	2023 NI STAR Speedo Sectional Championships EZ North Long Course	2023 Winter US Open (LCM)
