Rank	Swim Time	Name	Foreign	Age	Event	LSC	Team	Meet	Time Standard
1	48.97	Henry McFadden		17	100 FR LCM	MA	Jersey Wahoos	2023 Phillips 66 National Championships	2024 Olympic Trials
2	49.23	Daniel Diehl		17	100 FR LCM	MD	YMCA of Cumberland	2023 Phillips 66 National Championships	2024 Olympic Trials
3	50.20	Johnny Crush		17	100 FR LCM	KY	Lakeside Swim Team	2023 IN NCSA Summer Swimming Championships	2024 Summer Nationals (LCM)
4	50.61r	Jeremy Kelly		17	100 FR LCM	ST	Nitro Swimming	2023 Speedo Junior National Championships	2023 Winter US Open (LCM)
5	50.63	Noah Dyer		17	100 FR LCM	PV	Machine Aquatics	2023 IN NCSA Summer Swimming Championships	2023 Winter US Open (LCM)
6	50.72	Lucca Battaglini		17	100 FR LCM	NC	East Carolina Aquatics	2023 Phillips 66 National Championships	2023 Winter US Open (LCM)
7	50.78	Ian Pickles		17	100 FR LCM	AZ	Swim Neptune	2023 AZ SUN Sun Devil Open	2023 Winter US Open (LCM)
8	50.80	Marvin Johnson	Yes	17	100 FR LCM	SE	McCallie / GPS Aquatics	2023 BAH Bahamas National Swimming Championships	2023 Winter US Open (LCM)
9	50.89	Evan Croley		17	100 FR LCM	ST	Streamline Aquatics	2023 Speedo Junior National Championships	2023 Winter US Open (LCM)
10	50.91	Jerry Fox		17	100 FR LCM	NC	TAC Titans	2023 NC TAC Spring Fling Quad	2023 Winter US Open (LCM)
11	50.97	Quin Seider		17	100 FR LCM	CA	Ojai Heat Waves	2023 Speedo Junior National Championships	2023 Winter US Open (LCM)
12	50.98	Devin Dilger		17	100 FR LCM	MI	Utica Shelby Swim Club	2023 Speedo Junior National Championships	2023 Winter US Open (LCM)
13	51.01	Cooper Lucas		17	100 FR LCM	NT	Lakeside Aquatic Club	2023 TYR Pro Swim Series Mission Viejo	2023 Summer Juniors (LCM)
14	51.02	Sean Setzer		17	100 FR LCM	NC	Waves Of Wilmington,Inc.	2023 Futures - Ocala	2024 Summer Juniors (LCM)
15	51.13	Kevin Obochi		17	100 FR LCM	IL	Patriot Aquatic Club	2023 Futures Championships - West Fargo, ND	2024 Summer Juniors (LCM)
16	51.14	Sammy Empey		17	100 FR LCM	OR	Lake Oswego Swim Club	2023 Speedo Junior National Championships	2024 Summer Juniors (LCM)
17	51.17	Jake Wang		17	100 FR LCM	MA	Suburban Seahawks Club	2023 IN NCSA Summer Swimming Championships	2024 Summer Juniors (LCM)
18	51.31	Mason Hopper		17	100 FR LCM	OR	Unattached	2023 Speedo Junior National Championships	2024 Summer Juniors (LCM)
18	51.31	August Vetsch		17	100 FR LCM	AZ	Swim Neptune	2023 SR Speedo LC Sectionals	2023 Summer Juniors (LCM)
20	51.38r	Jack Sullivan		17	100 FR LCM	WI	Schroeder YMCA Swim Team	2023 Speedo Junior National Championships	2024 Summer Juniors (LCM)
21	51.44	Spencer Nicholas		17	100 FR LCM	SE	Nashville Aquatic Club	2023 Speedo Junior National Championships	2024 Summer Juniors (LCM)
21	51.44	Jacob Wimberly		17	100 FR LCM	NT	Texas Ford Aquatics	2023 NT MAC Senior Meet	2023 Summer Juniors (LCM)
23	51.47r	Anthony Whittall	Yes	17	100 FR LCM	FL	Bolles School Sharks	2023 Speedo Junior National Championships	2024 Summer Juniors (LCM)
24	51.48	Ethan Harrington		17	100 FR LCM	PC	Palo Alto Stanford Aquatics	2023 PC SCSC George Haines International	2023 Summer Juniors (LCM)
25	51.49	Edward Huang		17	100 FR LCM	PC	California Dolphin Swim Team	2023 Speedo Junior National Championships	2024 Summer Juniors (LCM)
26	51.56r	Gian Santos	Yes	17	100 FR LCM	CA	Irvine Novaquatics	2023 Speedo Junior National Championships	2024 Summer Juniors (LCM)
27	51.57	Ian Everett		17	100 FR LCM	MV	Tsunami Swim Team of K.C.	2023 MN AQJT Summer Spectacular	2023 Summer Juniors (LCM)
27	51.57	Alex Miao	Yes	17	100 FR LCM	GU	Dads Club Swim Team	2023 IN NCSA Summer Swimming Championships	2024 Summer Juniors (LCM)
29	51.58	Ryan Hufford		17	100 FR LCM	VA	NOVA of Virginia Aquatics, Inc	2023 VA LC Senior Champs	2024 Summer Juniors (LCM)
30	51.60	Seneca Oddo		17	100 FR LCM	KY	Kentucky Aquatics	2023 IN NCSA Summer Swimming Championships	2024 Summer Juniors (LCM)
31	51.61	William Miller		17	100 FR LCM	IE	Cougar Aquatics	2023 Speedo Junior National Championships Time Trials	2024 Summer Juniors (LCM)
31	51.61r	Caleb Maldari		17	100 FR LCM	NC	SwimMAC Carolina	2023 IN CZ East Spring Speedo Sectional	2023 Summer Juniors (LCM)
31	51.61	Ilya Kharun	Yes	17	100 FR LCM	CA	Sandpipers Of Nevada	2023 TYR PSS Knoxville	2023 Summer Juniors (LCM)
34	51.63	Andrew Jin	Yes	17	100 FR LCM	PN	Bellevue Club Swim Team	2023 PN Senior Long Course Champs	2024 Summer Juniors (LCM)
35	51.65	Thomas Powers-Hammond		17	100 FR LCM	NE	Bluefish Swim Club	2023 NE BGSC New England Senior Championship	2024 Summer Juniors (LCM)
36	51.66	Garrett Gould		17	100 FR LCM	NJ	Greater Somerset County YMCA Storm	2023 NC YMCA Long Course Nationals	2024 Summer Juniors (LCM)
36	51.66	Warner Russ		17	100 FR LCM	MS	Mississippi Makos Swim Team	2023 Speedo Junior National Championships	2024 Summer Juniors (LCM)
38	51.69r	Ramon Jiang		17	100 FR LCM	CA	Evolution Racing Club	2023 Speedo Junior National Championships	2024 Summer Juniors (LCM)
39	51.70	Eli Hobson		17	100 FR LCM	CO	Pikes Peak Athletics	2023 CO CSI Senior LC State Championships	2024 Summer Juniors (LCM)
40	51.74	Shane Eckler		17	100 FR LCM	MA	Ridley Area YMCA Stingrays	2023 NC YMCA Long Course Nationals	2024 Summer Juniors (LCM)
41	51.80	Eddie Jin		17	100 FR LCM	GU	Blue Tide Aquatics	2023 Speedo Junior National Championships	2024 Summer Juniors (LCM)
41	51.80	Christopher Zhang		17	100 FR LCM	NC	Life Time North Carolina	2023 Futures - Ocala	2024 Summer Juniors (LCM)
43	51.81	Kaii Winkler	Yes	17	100 FR LCM	FG	Eagle Aquatics	2023 FG 15th Annual Long Course Summer Kickoff	2024 Summer Juniors (LCM)
43	51.81	Noah Sech		17	100 FR LCM	CA	Unattached	2023 CA SCS/RMDA Road to Paris - LCM TF and Finals	2023 Summer Juniors (LCM)
45	51.82	Will Gavin		17	100 FR LCM	GA	Life Time Georgia	2023 GA Speedo Atlanta Classic	2023 Summer Juniors (LCM)
46	51.83	Kyle Peck		17	100 FR LCM	VA	Stingrays Swim Team	2023 Speedo Junior National Championships	2024 Summer Juniors (LCM)
46	51.83	Logan Robinson		17	100 FR LCM	SE	Greater Pensacola Aquatic Club	2023 Speedo Junior National Championships	2024 Summer Juniors (LCM)
48	51.87	Peter Horan		17	100 FR LCM	CT	Regional YMCA of Western Connecticut Makos	2023 NC YMCA Long Course Nationals	2024 Summer Juniors (LCM)
49	51.89	River Paulk		17	100 FR LCM	NT	Lakeside Aquatic Club	2023 Speedo Junior National Championships	2024 Summer Juniors (LCM)
49	51.89	PJ Foy		17	100 FR LCM	AK	Glacier Swim Club	2023 Futures - Sacramento, CA	2024 Summer Juniors (LCM)
49	51.89r	Simon Bermudez		17	100 FR LCM	PV	Arlington Aquatic Club	2023 Speedo Junior National Championships	2024 Summer Juniors (LCM)
52	51.90	Raphael Sibuet	Yes	17	100 FR LCM	NE	Unattached	2023 Speedo Junior National Championships	2024 Summer Juniors (LCM)
52	51.90	Gavin Peck		17	100 FR LCM	FL	Academy Aquatic Club	2023 FL Summer Senior Championships	2024 Summer Juniors (LCM)
54	51.92	Lucas Zhang	Yes	17	100 FR LCM	NI	Victor Swim Club	2023 Speedo Canadian Swimming Championships	2024 Summer Juniors (LCM)
54	51.92r	Gregg Enoch		17	100 FR LCM	IN	Carmel Swim Club	2023 Speedo Junior National Championships	2024 Summer Juniors (LCM)
54	51.92	Seth Cannon		17	100 FR LCM	IN	Newburgh Sea Creatures	2023 Speedo Junior National Championships Time Trials	2024 Summer Juniors (LCM)
57	51.93	Josh Toothman		17	100 FR LCM	LE	Lake Erie Silver Dolphins	2023 WV 23023 Summer Senior Showdown	2024 Summer Juniors (LCM)
58	51.95	Noah Smith		17	100 FR LCM	GA	Stingrays	2023 IN NCSA Summer Swimming Championships	2024 Summer Juniors (LCM)
59	51.96	Conner Hogan		17	100 FR LCM	MN	St Cloud YMCA Swim Team	2023 Futures Championships - West Fargo, ND	2024 Summer Juniors (LCM)
60	51.97	Nathan Kim		17	100 FR LCM	CA	Rose Bowl Aquatics	2023 CA Speedo Grand Challenge	2023 Summer Juniors (LCM)
61	51.99	Andrew Hanson		17	100 FR LCM	MN	Mako Aquatics	2023 MN AQJT Summer Spectacular	2023 Summer Juniors (LCM)
62	52.01	Vidar Carlbaum	Yes	17	100 FR LCM	IL	Hinsdale Swim Club	2023 TYR Pro Swim Series Westmont	2023 Winter Juniors (SCY)
63	52.03	Brady Johnson		17	100 FR LCM	IL	FMC Aquatic	2023 Speedo Junior National Championships	2023 Winter Juniors (SCY)
64	52.09	Nolan Arnholt		17	100 FR LCM	NM	Charger Aquatics	2023 CC Arena Western Zone Senior Championships	2023 Winter Juniors (SCY)
65	52.10r	Jack Mills		17	100 FR LCM	VA	Lynchburg YMCA Swim Team	2023 NC YMCA Long Course Nationals	2023 Winter Juniors (SCY)
66	52.14	Seth Braun		17	100 FR LCM	AD	Northern TRIBS Swimming	2023 Futures Championships - Richmond, VA - CAP REACHED	2023 Winter Juniors (SCY)
67	52.18	Alex Meyers-Labenz		17	100 FR LCM	FL	Bolles School Sharks	2023 Speedo Junior National Championships Time Trials	2023 Winter Juniors (SCY)
68	52.21	Thomas Hadji		17	100 FR LCM	CA	Paseo Aquatics Swim Team	2023 CA SCS/RMDA Road to Paris - LCM TF and Finals	2023 Winter Juniors (SCY)
68	52.21	Daniel Li		17	100 FR LCM	CA	Rose Bowl Aquatics	2023 Speedo Junior National Championships	2023 Winter Juniors (SCY)
68	52.21r	Damian Czartoryjski		17	100 FR LCM	CT	Cheshire Y Sea Dog Swim Club	2023 CT LC Senior Championships	2023 Winter Juniors (SCY)
71	52.22	Hugo Arteaga		17	100 FR LCM	WI	Southeastern Aquatics	2023 Speedo Junior National Championships Time Trials	2023 Winter Juniors (SCY)
