Rank	Swim Time	Name	Foreign	Age	Event	LSC	Team	Meet	Time Standard
1	2:07.72	Katie Grimes		18	200 BK LCM	CA	Sandpipers Of Nevada	2024 Olympic Trials	2025 Summer Nationals (LCM)
2	2:08.19	Leah Shackley		18	200 BK LCM	NC	Wolfpack Elite	2024 Junior Pan Pacific Championships	2025 Summer Nationals (LCM)
3	2:10.13	Maggie Wanezek		18	200 BK LCM	WI	Elmbrook Swim Club	2024 Olympic Trials	2025 Summer Nationals (LCM)
4	2:10.18	Jojo Ramey		18	200 BK LCM	FL	University of Florida	2023 Junior World Champs	2024 Olympic Trials
5	2:11.39	Bella Sims		18	200 BK LCM	FL	University of Florida	2023 Toyota US Open Championships	2024 Olympic Trials
6	2:12.62	Lexi Stephens		18	200 BK LCM	VA	Poseidon Swimming Inc	2024 VA NOVA LC Kick Off	2024 Olympic Trials
7	2:13.31	Erika Pelaez		18	200 BK LCM	FG	Eagle Aquatics	2024 FG LCM Senior Championships	2025 Summer Nationals (LCM)
8	2:13.40	Tess Howley		18	200 BK LCM	VA	Unattached	Tennessee Invitational	2024 Olympic Trials
9	2:13.41	Emily Brown		18	200 BK LCM	OHO	Dublin Community Swim Team	2024 OH CZ Speedo Sectional East	2025 Summer Nationals (LCM)
10	2:13.61	Mabel Koff		18	200 BK LCM	MD	North Baltimore Aquatic Club	2024 NJ SCAR TYR LC Winter Invitational	2024 Summer Nationals (LCM)
11	2:13.73	Emily Thompson		18	200 BK LCM	NJ	Greater Somerset County YMCA Storm	2024 Olympic Trials	2025 Summer Nationals (LCM)
12	2:14.45	Aubrey Hull		18	200 BK LCM	NC	Mecklenburg Swim Association	2024 NC SwimMAC Martha McKee Charlotte Open	2024 Summer Nationals (LCM)
13	2:14.84	Finley Anderson		18	200 BK LCM	CO	Univ of Denver Hilltoppers	2024 WRS Speedo Sectionals -- Federal Way	2024 Summer Nationals (LCM)
14	2:14.91	Molly Donlan		18	200 BK LCM	NC	Duke University	2024 NC STAR Andrew Hartle Invite	2024 Summer Nationals (LCM)
15	2:15.05	Bailey Hartman		18	200 BK LCM	PC	Crow Canyon Sharks	2024 PC CA/NV Speedo Sectionals hosted by TCA	2024 Summer Nationals (LCM)
16	2:15.10	Maggie McGuire		18	200 BK LCM	SE	Auburn University	Georgia Invite LC TT	2024 Summer Nationals (LCM)
