Rank	Swim Time	Name	Foreign	Age	Event	LSC	Team	Meet	Time Standard
1	51.32	Ilya Kharun	Yes	18	100 FL LCM	AZ	Unattached	2023 Toyota US Open Championships	2024 Olympic Trials
2	51.51	Kaii Winkler	Yes	18	100 FL LCM	FG	Eagle Aquatics	2024 Olympic Trials	2025 Summer Nationals (LCM)
3	52.96	Filip Senc-Samardzic	Yes	18	100 FL LCM	AZ	Unattached	2024 TYR Pro Swim Series - San Antonio	2024 Olympic Trials
3	52.96	August Vetsch		18	100 FL LCM	AZ	Swim Neptune	2024 Junior Pan Pacific Championships	2025 Summer Nationals (LCM)
5	53.27	Diego Balbi	Yes	18	100 FL LCM	FG	Saint Andrew's Aquatics	2024 FL NCSA Swimming Championships	2024 Olympic Trials
6	53.32	Spencer Nicholas		18	100 FL LCM	SE	Nashville Aquatic Club	2024 Olympic Trials	2025 Summer Nationals (LCM)
7	53.44	PJ Foy		18	100 FL LCM	AK	Glacier Swim Club	2024 WRS Speedo Sectionals -- Federal Way	2024 Olympic Trials
8	53.64	Daniel Diehl		18	100 FL LCM	NC	Wolfpack Elite	2024 Olympic Trials	2025 Summer Nationals (LCM)
9	53.67	Logan Noguchi		18	100 FL LCM	CA	Rose Bowl Aquatics	2024 Futures Championships - Sacramento	2025 Summer Nationals (LCM)
10	53.68	Logan Robinson		18	100 FL LCM	SE	Greater Pensacola Aquatic Club	2024 Junior Pan Pacific Championships	2025 Summer Nationals (LCM)
11	53.71	Jacob Wimberly		18	100 FL LCM	NT	Texas Ford Aquatics	2023 Junior World Champs	2024 Summer Nationals (LCM)
12	53.83	JT Schmid		18	100 FL LCM	PV	Nation's Capital Swim Club	2024 Futures Championships - Richmond	2025 Summer Nationals (LCM)
13	53.87	Garrett Gould		18	100 FL LCM	NJ	Greater Somerset County YMCA Storm	2024 VA EZ LC Super Sectional Meet - Cap Reached	2024 Summer Nationals (LCM)
14	54.02	Caiden Bowers		18	100 FL LCM	MD	Eagle Swim Team Inc.	2024 IN NCSA Summer Swimming Championships	2025 Summer Nationals (LCM)
15	54.03	Devin Dilger		18	100 FL LCM	MI	OLY Swimming	2024 IN NCSA Summer Swimming Championships	2025 Summer Nationals (LCM)
16	54.04	Jacob Johnson		18	100 FL LCM	MA	Suburban Seahawks Club	2024 MA KA Middle Atlantic Swimming Senior Long Course Championships	2025 Summer Nationals (LCM)
17	54.05	Dylan Smiley		18	100 FL LCM	IN	Indiana University	Ohio State Fall Invitational	2024 Summer Nationals (LCM)
18	54.17	Thackston McMullan		18	100 FL LCM	OHO	Cincinnati Marlins	2024 FL ISCA International Senior Cup	2024 Summer Nationals (LCM)
19	54.33	Sonny Wang		18	100 FL LCM	NE	Unattached	2024 ST TXLA Longhorn Elite Invite	2024 Summer Nationals (LCM)
20	54.36	Ben Irwin		18	100 FL LCM	MD	Navy Swimming	ECAC LC Time Trial	2024 Summer Nationals (LCM)
21	54.46	Thomas Powers-Hammond		18	100 FL LCM	FG	Swim Fort Lauderdale	2024 Futures Championships - Huntsville	2024 Winter US Open (SCY)
22	54.50	Zarek Wilson	Yes	18	100 FL LCM	GA	Dynamo Swim Club	Tennessee Invitational	2024 Winter US Open (SCY)
23	54.53	Drew Hitchcock		18	100 FL LCM	SE	Baylor Swim Club	2024 NC SwimMAC Martha McKee Charlotte Open	2024 Winter US Open (SCY)
24	54.64	Mason Leach		18	100 FL LCM	OR	Hillsboro Swim Team	2024 WRS Speedo Sectionals -- Federal Way	2024 Winter US Open (SCY)
25	54.65	Martin Perecinsky	Yes	18	100 FL LCM	MR	Long Island Aquatic Club	2024 IN NCSA Summer Swimming Championships	2024 Winter US Open (SCY)
26	54.68	Thomas Mercer		18	100 FL LCM	KY	Lakeside Swim Team	2024 IN NCSA Summer Swimming Championships	2024 Winter US Open (SCY)
27	54.74	Matthew Judkins		18	100 FL LCM	OZ	Parkway Swim Club	2024 18 & Under Spring Cup - Elkhart	2024 Winter US Open (SCY)
28	54.76	Kevin Obochi		18	100 FL LCM	IL	Patriot Aquatic Club	2024 Futures Championships - Minneapolis	2024 Winter US Open (SCY)
28	54.76	Kyle Peck		18	100 FL LCM	VA	Stingrays Swim Team	2024 PV NCAP Elite Qualifier	2024 Winter US Open (SCY)
28	54.76	Jack Mills		18	100 FL LCM	VA	Lynchburg YMCA Swim Team	2024 VA Commonwealth Games	2024 Winter US Open (SCY)
31	54.79	Aidan Hill		18	100 FL LCM	NC	SwimMAC Carolina	2023 Toyota US Open Championships	2024 Winter US Open (SCY)
32	54.80	Jack Ailshire		18	100 FL LCM	MV	Empire KC Swim Club	2024 MV CSC SPEEDO SPRING SECTIONALS AT COLUMBIA	2024 Winter US Open (SCY)
33	54.82	Pierce O'Grady		18	100 FL LCM	CA	Unattached	2024 CA SCS/BREA Post CIF LCM	2024 Winter US Open (SCY)
34	54.89	Owen Chiles		18	100 FL LCM	IA	Iowa Flyers Swim Club	2024 Speedo Summer Championships	2024 Winter US Open (SCY)
34	54.89	Bryden Thielenhaus		18	100 FL LCM	PC	Thunder Coast Aquatics	2023 Zippy Invitational LCM Time Trials	2024 Winter US Open (SCY)
34	54.89	Michael Hochwalt		18	100 FL LCM	IE	Spokane Waves Aquatic Team	2024 WRS Speedo Sectionals -- Federal Way	2024 Winter US Open (SCY)
37	54.92	Aidan Paro		18	100 FL LCM	FL	Bolles School Sharks	Ohio State Fall Invitational	2024 Winter US Open (SCY)
38	54.94	Daniel Verdolaga		18	100 FL LCM	CA	Unattached	2024 CA MVN Swim Meet of Champions	2024 Winter US Open (SCY)
39	54.96	Richard Poplawski		18	100 FL LCM	NJ	Scarlet Aquatics	2024 Speedo Summer Championships	2024 Winter US Open (SCY)
40	54.98	Hunter Cehelnik		18	100 FL LCM	CA	Mission Viejo Nadadores	2024 TYR Pro Swim Series - Knoxville	2024 Winter US Open (SCY)
41	54.99	Luke Dwyer		18	100 FL LCM	MR	Condors Swim Club	2024 FL ISCA Summer Senior Blast	2024 Winter US Open (SCY)
41	54.99	Jeffrey Hou		18	100 FL LCM	IL	FMC Aquatic	2024 Futures Championships - Minneapolis	2024 Winter US Open (SCY)
43	55.03	Bradford Johnson		18	100 FL LCM	SE	Huntsville Swim Association	2024 FL NCSA Swimming Championships	2024 Winter US Open (SCY)
44	55.05	Ethan Harrington		18	100 FL LCM	PC	Palo Alto Stanford Aquatics	2023 Junior World Champs	2023 Winter US Open (LCM)
45	55.06	Samir Elkassem		18	100 FL LCM	PV	Rockville Montgomery Swim Club	2024 FL NCSA Swimming Championships	2024 Winter US Open (SCY)
45	55.06	Caleb Rohacs		18	100 FL LCM	CO	Pikes Peak Athletics	2024 Futures Championships - Austin	2024 Winter US Open (SCY)
47	55.08	Ben Bricca		18	100 FL LCM	PN	Seattle Metropolitan Aquatic Club	2024 Futures Championships - Minneapolis	2024 Winter US Open (SCY)
48	55.09	Andres Brooks		18	100 FL LCM	ST	Waterloo Swimming	2024 Futures Championships - Austin	2024 Winter US Open (SCY)
49	55.13	Lucca Battaglini		18	100 FL LCM	NC	East Carolina Aquatics	2024 FL ISCA International Senior Cup	2024 Winter US Open (SCY)
50	55.14	Jacob Gramer		18	100 FL LCM	IL	St Charles Swim Team	2024 Futures Championships - Minneapolis	2024 Winter US Open (SCY)
51	55.15	Blake Rowe		18	100 FL LCM	MI	Grand Traverse Bay YMCA Breakers	2024 Futures Championships - Minneapolis	2024 Winter US Open (SCY)
52	55.16	Matt Marsteiner		18	100 FL LCM	NC	New Wave Swim Team	2024 FL Last Splash Invitational	2024 Winter US Open (SCY)
52	55.16	Edward Huang		18	100 FL LCM	PC	California Dolphin Swim Team	2024 Speedo Summer Championships	2024 Winter US Open (SCY)
54	55.21	Eli Hobson		18	100 FL LCM	CO	Pikes Peak Athletics	2024 GA Atlanta Classic	2024 Winter US Open (SCY)
55	55.22	Nasim Elkassem		18	100 FL LCM	PV	Rockville Montgomery Swim Club	2024 FL NCSA Swimming Championships	2024 Winter US Open (SCY)
56	55.23	Tristen Davin		18	100 FL LCM	VA	Unattached	Tennessee Invitational	2024 Winter US Open (SCY)
57	55.26	Stuart Timmerman		18	100 FL LCM	IL	NASA Wildcat Aquatics	2024 Speedo Summer Championships	2024 Winter US Open (SCY)
58	55.27	Henry McFadden		18	100 FL LCM	MA	Jersey Wahoos	2024 Southern California Invite - hosted by NOVA	2024 Winter US Open (SCY)
58	55.27	Andy Commins		18	100 FL LCM	NC	North Carolina Aquatic Club	2024 IN NCSA Summer Swimming Championships	2024 Winter US Open (SCY)
60	55.34	Jacob Turner		18	100 FL LCM	NT	Metroplex Aquatics	2024 NT MTRO American Long Course	2024 Winter US Open (SCY)
61	55.36	Brodie Johnson		18	100 FL LCM	CO	Aquawolves Swimming	2024 Speedo Summer Championships	2024 Winter US Open (SCY)
62	55.37	Landon Kyser		18	100 FL LCM	FL	Bolles School Sharks	2024 Olympic Trials - Time Trials	2024 Winter US Open (SCY)
62	55.37	Luke Stibrich		18	100 FL LCM	GU	Blue Tide Aquatics	2024 Futures Championships - Austin	2024 Winter US Open (SCY)
64	55.38	Archer Jankoviak		18	100 FL LCM	IN	South Bend Swim Club	2024 Central Zone East Spring Speedo Sectionals - In Section	2024 Winter US Open (SCY)
65	55.39	Mason Hopper		18	100 FL LCM	OR	The Dolphins Portland Swimming	2024 WRS Speedo Sectionals -- Federal Way	2024 Winter US Open (SCY)
66	55.42	Krishna Clarke		18	100 FL LCM	NM	Charger Aquatics	2024 AZ PSC Summer Invitational	2024 Winter US Open (SCY)
67	55.50	Marre Gattnar		18	100 FL LCM	PC	North Bay Aquatics	2024 PC Novato CA/NV Speedo Sectionals	2024 Winter US Open (SCY)
68	55.51	Oliver Schimberg		18	100 FL LCM	CO	Aquawolves Swimming	2024 Speedo Summer Championships - Time Trials	2024 Winter US Open (SCY)
69	55.53	Eddie Jin		18	100 FL LCM	GU	Blue Tide Aquatics	2024 Futures Championships - Austin	2024 Winter US Open (SCY)
