Rank	Swim Time	Name	Foreign	Age	Event	LSC	Team	Meet	Time Standard
1	4:16.80	Gregg Enoch		17	400 IM LCM	IN	Carmel Swim Club	2024 Central Zone East Spring Speedo Sectionals - In Section	2024 Olympic Trials
2	4:16.84	Luke Ellis		17	400 IM LCM	CA	Sandpipers Of Nevada	2024 Junior Pan Pacific Championships	2025 Summer Nationals (LCM)
3	4:17.84	Sean Green		17	400 IM LCM	MR	Long Island Aquatic Club	2024 Olympic Trials	2025 Summer Nationals (LCM)
4	4:19.35	Ryan Erisman		17	400 IM LCM	FL	Laker Swim	2024 FL NCSA Swimming Championships	2024 Olympic Trials
5	4:21.29	Noah Cakir		17	400 IM LCM	MR	Team Suffolk	2024 Futures Championships - Austin	2025 Summer Nationals (LCM)
6	4:21.83	Norvin Clontz		17	400 IM LCM	NC	Mecklenburg Swim Association	2024 Olympic Trials - Time Trials	2025 Summer Nationals (LCM)
7	4:23.39	Luke Waldrep		17	400 IM LCM	SE	Baylor Swim Club	2024 GA DYNA LCM Time Trial	2024 Olympic Trials
8	4:23.50	TJ Frost		17	400 IM LCM	FL	Loggerhead Aquatics	2024 FL SZSS Summer Championships	2024 Olympic Trials
9	4:24.52	Richard Poplawski		17	400 IM LCM	NJ	Scarlet Aquatics	2024 Central Zone East Spring Speedo Sectionals - In Section	2024 Olympic Trials
10	4:24.65	Tyler Bardak		17	400 IM LCM	IL	Fox Valley Swim Team	2024 FL SZSS Summer Championships	2024 Olympic Trials
11	4:24.88	Devyn Caples		17	400 IM LCM	PC	Crow Canyon Sharks	2024 PC CA/NV Speedo Sectionals hosted by TCA	2024 Olympic Trials
12	4:25.16	Gabe Nunziata		17	400 IM LCM	VA	Old Dominion Aquatic Club	2024 Futures Championships - Richmond	2025 Summer Nationals (LCM)
13	4:25.52	Grant Murphy		17	400 IM LCM	MD	Annapolis Swim Club	2024 VA EZ LC Super Sectional Meet - Cap Reached	2024 Summer Nationals (LCM)
14	4:25.62	Mack Schumann		17	400 IM LCM	SE	Nashville Aquatic Club	2024 SE NAC Summer Sizzler	2024 Summer Nationals (LCM)
15	4:25.63	Jake McCoy		17	400 IM LCM	IE	Cougar Aquatics	2024 TYR Pro Swim Series - San Antonio	2024 Summer Nationals (LCM)
16	4:25.79	Aj Robinson		17	400 IM LCM	GU	Aggie Swim Club	2024 Speedo Summer Championships	2024 Winter US Open (SCY)
17	4:26.67	Max Carlsen		17	400 IM LCM	CA	Las Vegas Swim Club	2024 CC Arena Western Zone Senior Championship	2024 Winter US Open (SCY)
18	4:26.72	William Mulgrew		17	400 IM LCM	NE	Shawmut Aquatic Club	2024 Speedo Summer Championships	2024 Winter US Open (SCY)
19	4:26.79	Jacob Turner		17	400 IM LCM	NT	Metroplex Aquatics	2023 NT MTRO LC Time Trial Dec Extravaganza	2024 Summer Nationals (LCM)
20	4:27.25	Evan Mackesy		17	400 IM LCM	PV	Rockville Montgomery Swim Club	2024 TYR Pro Swim Series - Knoxville	2024 Winter US Open (SCY)
21	4:27.71	Strahinja Maslo	Yes	17	400 IM LCM	MR	Long Island Aquatic Club	2024 FL NCSA Swimming Championships	2024 Winter US Open (SCY)
22	4:27.79	Hudson DeGroote		17	400 IM LCM	NC	Marlins Of Raleigh	2023 OH Speedo Winter Jr East Long Course Time Trial	2024 Winter US Open (SCY)
23	4:28.01	Jiarui Xue		17	400 IM LCM	MN	Aquajets Swim Team	2024 IL CZ North Section Summer Championships	2024 Winter US Open (SCY)
24	4:28.38	Reid Magner		17	400 IM LCM	CO	Denver Swim Academy	2024 CC Arena Western Zone Senior Championship	2024 Winter US Open (SCY)
25	4:28.49	Ian Stutts		17	400 IM LCM	NC	Marlins Of Raleigh	2024 Olympic Trials - Time Trials	2024 Winter US Open (SCY)
