name,age_from,age_to,time_from,time_to,improvement_seconds,improvement_percentage,rank_from,rank_to,foreign
Ella Glass,16,17,63.68,64.02,-0.3399999999999963,-0.5339195979899439,33,55,
Caitlin Brown,16,17,68.27,67.39,0.8799999999999955,1.2889995605683249,332,300,
Molly Cullen,16,17,69.41,66.13,3.280000000000001,4.725543869759403,482,175,
Teagan McEnroe,16,17,68.77,68.76,0.009999999999990905,0.01454122437107882,404,468,
Reese Yauger,16,17,66.37,68.32,-1.9499999999999886,-2.938074431218907,144,408,
Reeves Showfety,16,17,67.65,66.1,1.5500000000000114,2.291204730229137,263,173,
Ariel Beltran,16,17,66.82,66.87,-0.05000000000001137,-0.074827895839586,176,243,
Addison Everage,16,17,66.22,66.34,-0.12000000000000455,-0.18121413470251366,135,198,
Elsie Bredbenner,16,17,69.05,67.1,1.9500000000000028,2.8240405503258548,427,267,
Natalie Holmes,16,17,67.12,67.19,-0.06999999999999318,-0.10429082240761796,204,285,
Abigail Heizer,16,17,66.1,65.58,0.519999999999996,0.7866868381240485,128,133,
Abby Uhl,16,17,67.38,67.08,0.29999999999999716,0.4452359750667812,228,261,
Isabelle Barger,16,17,65.53,64.15,1.3799999999999955,2.105905692049436,94,58,
Siara Celentano,16,17,68.66,68.09,0.5699999999999932,0.8301776871540828,387,376,
Teagan O'Dell,16,17,59.73,59.72,0.00999999999999801,0.016742005692278607,2,3,
Peyton Ross,16,17,67.57,66.32,1.25,1.8499334023975138,253,192,
Sophia Paduano,16,17,64.99,63.73,1.259999999999998,1.9387598092014129,71,46,
Kate Dunagan,16,17,69.46000000000001,67.66,1.8000000000000114,2.591419522027082,490,329,
Erika Pelaez,16,17,60.12,59.94,0.17999999999999972,0.29940119760478995,4,4,
Holly Hirsch,16,17,67.53,68.42,-0.8900000000000006,-1.3179327706204658,244,423,
Amelia Amadio,16,17,67.94,67.09,0.8499999999999943,1.2511039152193029,295,264,
Natalie Sierzanowski,16,17,69.05,68.18,0.8699999999999903,1.2599565532222887,427,387,
Natalie Lomonosov,16,17,68.67,66.27,2.4000000000000057,3.4949759720402005,390,185,
Lydia Sturgeon,16,17,68.28999999999999,68.68,-0.3900000000000148,-0.5710938644018375,336,456,
Addison Pavek,16,17,67.53,67.63,-0.09999999999999432,-0.1480823337775719,244,323,
Angelina Huang,16,17,65.48,64.6,0.8800000000000097,1.3439218081857203,92,75,
Molly Beetner,16,17,68.72,68.89,-0.1700000000000017,-0.24738067520372772,398,482,
Maela McKallip,16,17,67.18,65.42,1.7600000000000051,2.619827329562377,207,118,
Hannah Krueger,16,17,67.43,67.14,0.29000000000000625,0.4300756339908145,231,273,
Kiana Hugins,16,17,68.4,67.91,0.4900000000000091,0.7163742690058612,356,351,
Alexa Conner,16,17,62.66,62.89,-0.23000000000000398,-0.367060325566556,18,27,
Hattie Wasmuth,16,17,66.41,65.02,1.3900000000000006,2.0930582743562725,147,95,
Ivy Monk,16,17,68.34,67.83,0.5100000000000051,0.7462686567164254,344,344,
Siena Ancona,16,17,68.44,68.73,-0.29000000000000625,-0.42372881355933123,363,463,
Katherine Beauchene,16,17,67.73,68.98,-1.25,-1.845563265908755,270,492,
Annabelle Wentzel,16,17,66.42,66.37,0.04999999999999716,0.07527853056307912,151,202,
Kelsey Healy,16,17,65.53,65.02,0.5100000000000051,0.7782694948878454,94,95,
Aly Yokoyama,16,17,63.99,66.03,-2.039999999999999,-3.1879981247069837,37,164,
Calissa Kissinger,16,17,65.42,66.81,-1.3900000000000006,-2.1247324977071242,87,231,
Bonita Zuo,16,17,67.24,66.84,0.3999999999999915,0.5948839976204514,214,237,
Grace Kraeger,16,17,65.64,65.62,0.01999999999999602,0.030469226081651462,101,142,
Olivia Pettit,16,17,66.56,66.06,0.5,0.751201923076923,158,166,
Caroline Scharff,16,17,66.98,67.47,-0.4899999999999949,-0.731561660197066,189,308,
Natalia Gajecki,16,17,66.52,65.03,1.4899999999999949,2.239927841250744,155,97,
Stephanie Oiesen,16,17,65.77,64.45,1.3199999999999932,2.006994070244782,110,71,
Lexie Ward,16,17,66.16,66.42,-0.2600000000000051,-0.39298669891173693,131,205,
Aliana Marakovic,16,17,67.75,68.63,-0.8799999999999955,-1.2988929889298826,274,449,
Maddie Reynolds,16,17,64.2,65.25,-1.0499999999999972,-1.6355140186915844,45,110,
Jada Duncan,16,17,64.29,62.74,1.5500000000000043,2.410950381085712,49,25,
Julia Shafer,16,17,66.64,68.22,-1.5799999999999983,-2.370948379351738,165,395,
Jayla Covington,16,17,64.59,67.64,-3.049999999999997,-4.722093203282237,56,326,
Kennedy Lee,16,17,67.21,65.56,1.6499999999999915,2.454991816693932,208,129,
Annie Jia,16,17,68.24,66.85,1.3900000000000006,2.036928487690505,325,239,
Jasmine Phuong,16,17,69.03999999999999,68.62,0.4199999999999875,0.608342989571245,425,447,
Mya de Hart,16,17,67.43,68.27,-0.8399999999999892,-1.2457363191457647,231,401,
Sophia Amendola,16,17,68.4,67.8,0.6000000000000085,0.8771929824561528,356,343,
Ginny Robinson,16,17,69.37,69.0,0.37000000000000455,0.5333717745423159,475,495,
Tiana Brooks,16,17,68.86,68.15,0.7099999999999937,1.0310775486494246,412,379,
Zuri Ferguson,16,17,62.0,61.62,0.38000000000000256,0.6129032258064557,10,9,Yes
Samantha Chan,16,17,67.15,66.35,0.8000000000000114,1.191362620997783,206,199,
Virginia Walsh,16,17,67.84,67.14,0.7000000000000028,1.0318396226415136,281,273,
Sadie Hartig,16,17,66.5,65.61,0.8900000000000006,1.3383458646616548,154,139,
Elle Scott,16,17,65.1,65.97,-0.8700000000000045,-1.3364055299539241,77,160,
Erica Jaffe,16,17,63.92,64.0,-0.0799999999999983,-0.12515644555694352,35,53,
Mikki Maemura,16,17,68.71000000000001,66.94,1.7700000000000102,2.576044243923752,396,251,
Sarah Rodrigues,16,17,61.95,61.64,0.3100000000000023,0.5004035512510125,9,10,
Lyla Elaydi,16,17,67.55,68.03,-0.480000000000004,-0.7105847520355352,249,370,
Ella Jablonski,16,17,65.14,65.09,0.04999999999999716,0.07675775253300147,78,99,
Izzy Bloom,16,17,67.67,68.28999999999999,-0.6199999999999903,-0.9162110240874691,265,403,
Lilla Bognar,16,17,62.81,61.7,1.1099999999999994,1.7672345167966876,19,11,
Aziza Meyer,16,17,67.55,67.14,0.4099999999999966,0.6069578090303429,249,273,
Delaney Herr,16,17,62.58,62.9,-0.3200000000000003,-0.5113454777884312,17,28,
Katelyn McClintock,16,17,68.05,66.93,1.1199999999999903,1.6458486407053496,307,248,
Macy Lewis,16,17,67.37,65.6,1.7700000000000102,2.6272821730740836,227,137,
Rebecca Pickert,16,17,66.29,68.99,-2.6999999999999886,-4.073012520742176,139,493,
Adalynn Ascher,16,17,67.49,67.94,-0.45000000000000284,-0.6667654467328535,237,354,
Emily Way,16,17,67.34,67.63,-0.28999999999999204,-0.43065043065041886,224,323,
Isahbel Krasht,16,17,66.75,68.47,-1.7199999999999989,-2.5767790262172268,169,430,
Savannah Branon,16,17,67.53,66.3,1.230000000000004,1.821412705464244,244,188,
Gabrielle Ezrow,16,17,68.64,68.77,-0.12999999999999545,-0.18939393939393276,384,470,
Aubrey Hull,16,17,65.43,62.18,3.250000000000007,4.967140455448582,88,17,
Abby Clayton,16,17,69.22,68.37,0.8499999999999943,1.2279687951459035,450,414,
Emma Hauch,16,17,68.1,68.2,-0.10000000000000853,-0.14684287812042368,314,391,
Lillian Nesty,16,17,62.25,64.28,-2.030000000000001,-3.2610441767068297,12,66,
Erin Richards,16,17,67.9,67.63,0.27000000000001023,0.39764359351989725,290,323,
Emma Christie,16,17,68.71000000000001,68.01,0.7000000000000028,1.018774559743855,396,367,
Maria Cheng,16,17,67.49,66.67,0.8199999999999932,1.2149948140465154,237,225,
Olivia Matson,16,17,67.22,66.74,0.480000000000004,0.7140731925022373,210,229,
Abby Reich,16,17,65.98,65.12,0.8599999999999994,1.3034252803879953,122,101,
Kylie Montiel,16,17,67.84,68.07,-0.22999999999998977,-0.33903301886790943,281,374,
Mary Flikkema,16,17,67.47,68.01,-0.5400000000000063,-0.8003557136505206,235,367,
Chantee Nguyen,16,17,67.28,66.86,0.4200000000000017,0.6242568370986945,218,240,
Tate Dihel,16,17,69.2,68.18,1.019999999999996,1.4739884393063527,449,387,
Kate Bradley,16,17,65.68,65.92,-0.23999999999999488,-0.36540803897684965,104,156,
Gwyn Frick,16,17,64.28,63.16,1.1200000000000045,1.7423771001866903,48,33,
Sidney Stolle,16,17,66.29,65.3,0.9900000000000091,1.4934379242721512,139,112,
Marin Clem,16,17,67.59,64.15,3.4399999999999977,5.089510282586178,256,58,
Julie Mishler,16,17,62.83,61.21,1.6199999999999974,2.5783861212796393,20,6,
Alaira Hadford,16,17,69.28,68.28999999999999,0.9900000000000091,1.4289838337182579,461,403,
Lily Van Heel,16,17,63.16,63.16,0.0,0.0,24,33,
Ellie Horning,16,17,65.05,64.79,0.2599999999999909,0.3996925441967577,75,84,
Maggie O'Shaughnessy,16,17,67.6,68.62,-1.0200000000000102,-1.5088757396449857,258,447,
