name,age_from,age_to,time_from,time_to,improvement_seconds,improvement_percentage,rank_from,rank_to,foreign
Hazel Mouhidin,15,16,1053.89,1038.19,15.700000000000045,1.4897190408866243,16,19,
Ava de Leeuw,15,16,1185.61,1166.47,19.139999999999873,1.6143588532485282,387,338,
Phoebe McClaren,15,16,1069.89,1034.31,35.580000000000155,3.325575526456005,37,16,
Abby Miller,15,16,1051.97,1131.17,-79.20000000000005,-7.528731807941296,15,213,
Izzy Green,15,16,1172.39,1183.5,-11.1099999999999,-0.9476368785131142,351,383,
Cassidy Schneider,15,16,1068.34,1073.97,-5.630000000000109,-0.5269857910403157,33,59,
Michelle Grabowski,15,16,1094.45,1068.01,26.440000000000055,2.4158253003791907,89,50,
Emma Lindstrom,15,16,1204.0,1208.06,-4.059999999999945,-0.33720930232557683,455,442,
Emma Rampoldi,15,16,1211.24,1209.81,1.4300000000000637,0.1180608302235778,477,447,
Penny Lazar,15,16,1106.63,1047.21,59.42000000000007,5.369455012063659,123,27,
Sidney Brann,15,16,1039.36,1041.39,-2.0300000000002,-0.19531250000001926,6,24,
Michelle Vazquez,15,16,1149.56,1138.36,11.200000000000045,0.974285813702638,284,238,
Yara Hussein,15,16,1200.55,1220.94,-20.3900000000001,-1.6983882387239266,443,483,
Reagan Hoefer,15,16,1177.23,1120.09,57.1400000000001,4.853766893470273,367,175,
Teagan McEnroe,15,16,1158.32,1142.46,15.8599999999999,1.3692243939498498,314,251,
Addi Payne,15,16,1168.73,1154.31,14.420000000000073,1.2338179049053308,343,292,
Erin Roper,15,16,1179.99,1131.61,48.38000000000011,4.100034746057179,374,215,
Chelsea Andersen,15,16,1130.26,1104.44,25.819999999999936,2.2844301311202675,209,133,
Lily Groves,15,16,1186.57,1156.66,29.909999999999854,2.520710956791412,391,303,
Ilsa Lundeberg,15,16,1156.51,1146.26,10.25,0.8862871916369076,307,265,
Natalie Cheplick,15,16,1105.31,1130.39,-25.080000000000155,-2.2690466927830344,120,210,
Madi Camden,15,16,1104.01,1095.7,8.309999999999945,0.7527105732737879,117,107,
Grace Nickell,15,16,1072.17,1080.36,-8.189999999999827,-0.7638714009904983,42,78,
Kaitlyn Koenig,15,16,1103.41,1094.68,8.730000000000018,0.7911836941843936,115,106,
Mary Kate Kupsky,15,16,1092.21,1065.16,27.049999999999955,2.4766299521154314,84,46,
Ellie Davis,15,16,1086.88,1064.77,22.110000000000127,2.0342632121301456,69,45,
Isabelle Henderson,15,16,1061.1,1041.24,19.8599999999999,1.8716426350014044,25,23,
Martina Divis,15,16,1097.8,1090.98,6.819999999999936,0.6212424849699341,100,96,
Pema Anain,15,16,1132.14,1133.89,-1.75,-0.15457452258554594,217,223,
Claire Weinstein,15,16,982.78,969.85,12.92999999999995,1.3156555892468254,1,1,
Katelyn Morrow,15,16,1118.49,1095.81,22.680000000000064,2.027733819703356,171,109,
Cher Patrick,15,16,1075.46,1035.02,40.440000000000055,3.7602514272962315,49,18,
Claire Hanna,15,16,1176.16,1163.51,12.650000000000091,1.0755339409604212,362,327,
Reagan Graves,15,16,1138.6,1121.23,17.36999999999989,1.5255577024415854,242,180,
Joanna Anderson,15,16,1176.63,1133.94,42.690000000000055,3.6281583845388994,364,224,
Bella Caraballo,15,16,1121.3,1075.46,45.83999999999992,4.088112012842229,179,60,
Sasha Alles,15,16,1138.77,1136.17,2.599999999999909,0.228316516943712,245,229,
Bella Hasson,15,16,1211.92,1166.48,45.440000000000055,3.7494224041190884,479,339,
Erin Madigan,15,16,1112.67,1095.81,16.860000000000127,1.515274070479129,146,109,
Riley Van Schaften,15,16,1139.56,1112.13,27.429999999999836,2.4070693952051525,246,156,
Katelyn Heydorn,15,16,1202.49,1191.32,11.170000000000073,0.928905853686939,450,399,
Ella Call,15,16,1162.08,1116.7,45.37999999999988,3.9050667768139786,320,163,
Kirsten Tarran,15,16,1136.32,1118.68,17.639999999999873,1.5523796113770658,236,168,
Maddie McKinney,15,16,1108.73,1156.49,-47.75999999999999,-4.307631253776843,132,301,
Gretchen Lane,15,16,1198.17,1128.87,69.30000000000018,5.78382032599716,429,202,
Blair Wehman,15,16,1103.97,1097.59,6.380000000000109,0.5779142549163573,116,115,
Emma Best,15,16,1206.48,1187.75,18.730000000000018,1.552450102778332,457,393,
Claire Monahan,15,16,1081.54,1065.92,15.61999999999989,1.4442369214268442,59,47,
Lauren Smith,15,16,1105.22,1112.32,-7.099999999999909,-0.6424060368071433,119,157,
Tess Boyer,15,16,1129.23,1119.62,9.610000000000127,0.8510223780806504,207,172,
Caelan Ladd,15,16,1194.94,1195.54,-0.599999999999909,-0.050211726111763694,418,412,
Riley Edge,15,16,1151.55,1111.12,40.430000000000064,3.5109200642612186,293,153,
Allie Marvell,15,16,1215.1,1214.26,0.8399999999999181,0.06913011274791525,487,461,
Sianna Savarda,15,16,1090.24,1033.06,57.180000000000064,5.244716759612568,77,14,
Ella Franklin,15,16,1175.96,1150.84,25.12000000000012,2.136127079152362,360,280,
Alaira Hadford,15,16,1130.35,1099.34,31.00999999999999,2.7433980625469983,211,120,
Sarah Larsen,15,16,1041.56,1032.41,9.149999999999864,0.8784899573716217,8,12,
Eden Fritz,15,16,1211.17,1139.86,71.31000000000017,5.88769536894079,476,242,
Rosalea Buchanan,15,16,1210.68,1150.49,60.190000000000055,4.9715862160108415,474,279,
Elise Clift,15,16,1071.77,1033.99,37.77999999999997,3.52501003013706,41,15,
Tessa Weber,15,16,1188.91,1196.05,-7.139999999999873,-0.600550083690092,399,414,
Ella Cabbage,15,16,1197.72,1208.38,-10.660000000000082,-0.8900243796546841,426,443,
Esther Ghim,15,16,1100.1,1083.07,17.029999999999973,1.5480410871738908,106,80,
Autumn Milford,15,16,1109.59,1096.49,13.099999999999909,1.180616263664949,136,112,
Lilia Blanco,15,16,1128.86,1140.32,-11.460000000000036,-1.0151834594192404,206,244,
Sarah Cohen,15,16,1139.57,1126.32,13.25,1.1627192713040886,247,197,
Hannah Johnson,15,16,1086.95,1088.95,-2.0,-0.18400110400662403,70,89,
Julia Barto,15,16,1113.74,1112.85,0.8900000000001,0.07991093073788316,148,158,
Erika Doran,15,16,1199.96,1128.5,71.46000000000004,5.95519850661689,438,201,
Tiffany Folcomer,15,16,1133.29,1142.76,-9.470000000000027,-0.8356201854776825,226,253,
Amanda Barnard,15,16,1070.03,1046.69,23.339999999999918,2.181247254749859,38,26,
Victoria Kurtz,15,16,1133.84,1109.34,24.5,2.1607987017568617,229,148,
Gaby Sciaudone,15,16,1139.93,1153.4,-13.470000000000027,-1.181651504916971,249,289,
Avery Luedke,15,16,1067.37,1028.71,38.659999999999854,3.6219867524850664,31,10,
Nicole Shanks,15,16,1090.3,1056.39,33.909999999999854,3.110153168852596,78,39,
Sofia Fedorovych,15,16,1163.87,1147.67,16.199999999999818,1.3919080309656422,323,272,
Ena Lehmann,15,16,1154.79,1079.23,75.55999999999995,6.543181011266114,303,73,
Grace Melocchi,15,16,1164.93,1150.17,14.759999999999991,1.2670289201926288,328,278,
Nora Richards,15,16,1152.66,1166.16,-13.5,-1.1712039977096456,295,334,
Sydney Willson,15,16,1030.24,1031.12,-0.8799999999998818,-0.08541699021586055,4,11,
