name,age_from,age_to,time_from,time_to,improvement_seconds,improvement_percentage,rank_from,rank_to,foreign
Hazel Mouhidin,16,17,134.56,135.43,-0.8700000000000045,-0.6465517241379344,9,14,
Amelia Barron,16,17,145.74,149.48,-3.7399999999999807,-2.5662138054068753,169,304,
Logan Jaffe,16,17,141.13,145.36,-4.230000000000018,-2.997236590377679,65,196,
Maya Lambert,16,17,140.34,140.94,-0.5999999999999943,-0.42753313381786684,48,86,
Reese Yauger,16,17,140.6,137.26,3.3400000000000034,2.3755334281650096,54,25,
Zoe Chalfant,16,17,154.07,154.59,-0.5200000000000102,-0.3375089245148376,418,449,
Cher Patrick,16,17,154.07,149.59,4.47999999999999,2.9077691958200753,418,307,
Evelyn Claeys,16,17,151.13,153.76,-2.6299999999999955,-1.740223648514521,330,426,
Teagan O'Dell,16,17,140.44,146.01,-5.569999999999993,-3.9661065223582974,52,209,
Dawsyn Green,16,17,143.52,145.71,-2.1899999999999977,-1.52591973244147,109,204,
Sky Jones,16,17,152.27,149.67000000000002,2.5999999999999943,1.707493268536149,368,309,
Cecilia Howard,16,17,145.24,147.93,-2.6899999999999977,-1.8521068576149804,155,261,
Tess Boyer,16,17,152.23,146.19,6.039999999999992,3.9676804834789414,366,214,
Julia Murphy,16,17,150.53,147.22,3.3100000000000023,2.1988972297880838,313,240,
Peyton Ross,16,17,141.07,141.03,0.03999999999999204,0.028354717516121106,63,87,
Rory Keller,16,17,149.32999999999998,152.88,-3.5500000000000114,-2.3772852072590984,270,406,
Beatrice Stewart,16,17,138.07,137.27,0.799999999999983,0.5794162381400615,27,27,
Olivia Brown,16,17,145.79,141.31,4.47999999999999,3.0729130941765486,171,95,
Natalie Sierzanowski,16,17,151.13,149.82999999999998,1.3000000000000114,0.860186594322776,330,313,
Madison Parkin,16,17,150.22,149.43,0.789999999999992,0.525895353481555,308,303,
Rachel Conley,16,17,146.16,141.52,4.639999999999986,3.1746031746031655,178,102,
Alice South,16,17,156.17000000000002,156.42000000000002,-0.25,-0.16008196196452582,490,496,
Amelia Mason,16,17,137.87,151.62,-13.75,-9.97316312468267,23,362,
Addison Pavek,16,17,151.72,151.56,0.1599999999999966,0.10545742156604046,349,359,
Julia Bohl,16,17,154.15,153.51,0.6400000000000148,0.41518001946157296,422,420,
Emery Callan,16,17,147.73,142.6,5.1299999999999955,3.4725512759764405,213,119,
Madeleine Simmons,16,17,135.95,138.82999999999998,-2.8799999999999955,-2.118425891872009,14,53,
