name,age_from,age_to,time_from,time_to,improvement_seconds,improvement_percentage,rank_from,rank_to,foreign
Hazel Mouhidin,15,16,140.54,140.06,0.47999999999998977,0.34153977515297407,20,28,
Ariel Lin,15,16,145.97,144.23,1.740000000000009,1.192025758717551,105,108,Yes
Lily Eichberg,15,16,149.59,148.86,0.7299999999999898,0.48800053479509975,265,318,
Maya Lambert,15,16,146.79,143.57999999999998,3.210000000000008,2.1867974657674285,133,84,
Reese Yauger,15,16,146.7,149.31,-2.6100000000000136,-1.779141104294488,130,347,
Ariel Beltran,15,16,152.8,146.36,6.439999999999998,4.2146596858638725,484,189,
Natalie Holmes,15,16,146.39,144.66,1.7299999999999898,1.181774711387383,120,116,
Peyton OConnor,15,16,149.82999999999998,150.81,-0.9800000000000182,-0.6540746179002992,276,452,
Natalie Sens,15,16,146.66,145.03,1.6299999999999955,1.1114141551888692,126,138,
Teagan O'Dell,15,16,134.45,133.9,0.549999999999983,0.40907400520638376,2,4,
Dawsyn Green,15,16,152.31,149.53,2.780000000000001,1.825224870330248,449,371,
Kristina Fleck,15,16,151.38,151.0,0.37999999999999545,0.25102391333068796,384,467,
Cecilia Howard,15,16,143.6,145.67000000000002,-2.0700000000000216,-1.4415041782729956,56,157,
Tess Boyer,15,16,149.97,147.49,2.4799999999999898,1.6536640661465558,288,239,
Peyton Ross,15,16,145.57999999999998,143.12,2.4599999999999795,1.6897925539222283,97,75,
Erika Pelaez,15,16,142.86,144.87,-2.009999999999991,-1.4069718605627823,47,131,
Holly Hirsch,15,16,147.69,148.36,-0.6700000000000159,-0.45365292166024507,158,290,
Beatrice Stewart,15,16,148.14,149.74,-1.6000000000000227,-1.0800594032671953,185,389,
Amelia Mason,15,16,147.78,146.13,1.6500000000000057,1.1165245635404017,164,177,
Reese Briggs,15,16,152.36,149.67000000000002,2.6899999999999977,1.7655552638487775,453,383,
Madeleine Simmons,15,16,146.26,141.27,4.989999999999981,3.4117325311089712,114,42,
Molly Beetner,15,16,149.81,151.21,-1.4000000000000057,-0.9345170549362564,274,480,
Katherine Sanders,15,16,145.07999999999998,140.91,4.1699999999999875,2.8742762613730273,89,41,
Alexa Conner,15,16,144.35,144.11,0.23999999999998067,0.16626255628678954,73,104,
Hattie Wasmuth,15,16,148.57999999999998,144.94,3.6399999999999864,2.4498586620002603,206,134,
Ivy Monk,15,16,148.13,145.92000000000002,2.2099999999999795,1.4919327617633023,183,167,
Katherine Beauchene,15,16,152.42000000000002,150.79,1.6300000000000239,1.069413462800173,455,448,
Annabelle Wentzel,15,16,152.14,148.14,4.0,2.6291573550677008,442,270,
Caroline Largen,15,16,147.45,145.53,1.9199999999999875,1.302136317395719,147,150,
Laney Weiland,15,16,149.87,148.26,1.6100000000000136,1.0742643624474635,282,277,
Emmy Therrien,15,16,147.49,144.16,3.3300000000000125,2.2577801884873634,149,106,
Ellen Garritson,15,16,145.05,144.0,1.0500000000000114,0.7238883143743615,87,99,
Taylor Cureton,15,16,146.01,145.97,0.03999999999999204,0.02739538387781114,107,170,
Aly Yokoyama,15,16,150.49,146.74,3.75,2.491859924247458,311,205,
Bonita Zuo,15,16,150.97,149.39,1.5800000000000125,1.0465655428230858,348,360,
Emily Wu,15,16,149.53,150.94,-1.4099999999999966,-0.9429545910519606,261,461,
Ella Ackerman,15,16,151.86,146.73,5.130000000000024,3.3781114184117103,418,204,
Anna Doherty,15,16,148.12,149.65,-1.5300000000000011,-1.0329462597893606,181,382,
Annabelle Swiney,15,16,152.9,145.88,7.02000000000001,4.591236102027476,496,165,
Arianna Zelen,15,16,149.66,147.38,2.280000000000001,1.5234531604971278,269,233,
Lexie Ward,15,16,144.06,149.88,-5.819999999999993,-4.039983340274881,62,394,
Stephanie Oiesen,15,16,149.02,150.77,-1.75,-1.1743390148973292,231,447,
Aliana Marakovic,15,16,141.12,140.65,0.46999999999999886,0.33304988662131435,26,37,
Shayne Patrick,15,16,146.76,146.94,-0.18000000000000682,-0.12264922322159093,132,218,
Julia Shafer,15,16,149.31,144.54,4.77000000000001,3.1946955997588975,246,114,
Lena Syers,15,16,146.11,143.66,2.450000000000017,1.676818835124233,108,88,
Annie Jia,15,16,141.78,140.07999999999998,1.700000000000017,1.1990407673861032,35,30,
Llew Ladomirak,15,16,150.99,145.55,5.439999999999998,3.6028876084508887,350,152,
Mia Jacobs,15,16,151.27,148.81,2.460000000000008,1.6262312421498035,374,315,
Claire Francis,15,16,152.75,146.35,6.400000000000006,4.189852700491002,481,188,
Samantha Chan,15,16,148.07,146.5,1.5699999999999932,1.0603093131626888,180,198,
Davina Huang,15,16,142.69,142.03,0.6599999999999966,0.46254117317260957,43,60,
Quin Mahler-Moreno,15,16,150.53,149.64,0.8900000000000148,0.5912442702451437,314,381,
Marie Mason,15,16,150.82999999999998,150.06,0.7699999999999818,0.5105085195252813,331,409,
Cora Webber,15,16,150.53,149.07,1.460000000000008,0.9699063309639328,314,330,
Sadie Hartig,15,16,150.71,146.56,4.150000000000006,2.7536328047243086,328,200,
Caroline Cancelmo,15,16,147.55,145.63,1.920000000000016,1.3012538122670387,151,154,
Elle Scott,15,16,137.39,134.72,2.6699999999999875,1.9433728801222707,7,5,
Kennedy Anne Deveaux,15,16,151.69,145.63,6.060000000000002,3.9949897817918143,407,154,
Lina Wordelman,15,16,146.2,148.32,-2.1200000000000045,-1.4500683994528076,110,286,
Erica Jaffe,15,16,141.72,144.07,-2.3499999999999943,-1.6581992661586185,34,103,
Anna Bream,15,16,147.0,148.44,-1.4399999999999977,-0.9795918367346923,140,295,
Sofia Luper,15,16,142.34,144.22,-1.8799999999999955,-1.3207812280455216,39,107,
Sarah Rodrigues,15,16,144.32,140.79,3.530000000000001,2.4459534368070965,70,40,
Lyla Elaydi,15,16,149.52,143.57999999999998,5.940000000000026,3.972712680577866,259,84,
Ella Jablonski,15,16,140.91,145.64,-4.72999999999999,-3.3567525370803986,25,156,
