name,age_from,age_to,time_from,time_to,improvement_seconds,improvement_percentage,rank_from,rank_to,foreign
William Aiken,15,16,62.19,62.72,-0.5300000000000011,-0.8522270461489003,175,437,
Thai Koehnle,15,16,63.96,61.73,2.230000000000004,3.4865540963102,351,306,
Ian Frazer,15,16,61.1,59.15,1.9500000000000028,3.191489361702132,99,73,
David Kovacs,15,16,59.33,58.25,1.0799999999999983,1.820326984662057,31,35,
Luke Sandberg,15,16,64.12,59.7,4.420000000000002,6.893325015595759,386,107,
Billy Connor,15,16,63.12,62.23,0.8900000000000006,1.4100126742712304,249,365,
Xander Taylor,15,16,63.92,61.85,2.0700000000000003,3.2384230287859825,346,322,
Andrew Chou,15,16,58.6,57.67,0.9299999999999997,1.587030716723549,11,13,
Ben Chumley,15,16,64.3,61.81,2.489999999999995,3.872472783825809,407,316,
Micah Moore,15,16,63.85,62.68,1.1700000000000017,1.8324197337509815,336,434,
Max Buff,15,16,62.75,59.2,3.549999999999997,5.657370517928283,215,78,
Matt Waechter,15,16,62.75,60.61,2.1400000000000006,3.4103585657370523,215,187,
Keoni Li,15,16,63.77,61.14,2.6300000000000026,4.124196330562965,331,233,
Owen Pelzek,15,16,64.62,63.06,1.5600000000000023,2.4141132776230303,456,489,
Ethan Ekk,15,16,58.07,56.69,1.3800000000000026,2.3764422249009858,7,5,Yes
Greyson Young,15,16,61.84,61.69,0.15000000000000568,0.24256144890039727,145,304,
Shane Tebeest,15,16,61.7,61.67,0.030000000000001137,0.04862236628849455,134,300,
Reid Wilkerson,15,16,64.01,60.8,3.210000000000008,5.014841431026414,367,204,
Seth Cannon,15,16,60.28,62.33,-2.049999999999997,-3.4007962840079577,66,380,
Kayden Hedrick,15,16,64.68,62.68,2.000000000000007,3.092145949288817,468,434,
Nash Hale,15,16,63.65,62.3,1.3500000000000014,2.1209740769835057,315,377,
Ethan Kosin,15,16,58.82,57.6,1.2199999999999989,2.074124447466846,19,12,
Sam Lorenz,15,16,58.7,56.87,1.8300000000000054,3.1175468483816102,16,6,
Henry Guo,15,16,62.82,58.55,4.270000000000003,6.7971983444762865,223,46,
Quinn Caputo,15,16,61.99,59.77,2.219999999999999,3.581222777867396,156,111,
Andy Roose,15,16,59.53,58.23,1.3000000000000043,2.1837728876196945,38,33,
Clark Coyle,15,16,64.45,59.99,4.460000000000001,6.92009309542281,433,133,
Cadel Saszik,15,16,64.46,60.39,4.069999999999993,6.313993174061423,435,166,
Drake Shiell,15,16,64.35,61.56,2.789999999999992,4.335664335664323,417,282,
Noah Mooney,15,16,64.28,61.61,2.6700000000000017,4.153702551337899,404,290,
Arthur Wei,15,16,61.67,61.73,-0.05999999999999517,-0.09729203826819388,132,306,
Karl Burghardt,15,16,62.71,63.09,-0.38000000000000256,-0.6059639610907391,211,496,
Gabriel Vidotti,15,16,63.64,60.09,3.549999999999997,5.578252671275923,312,138,Yes
Noah Mudadu,15,16,62.42,61.0,1.4200000000000017,2.2749118872156386,196,221,Yes
Hayden Sunman,15,16,62.49,61.92,0.5700000000000003,0.9121459433509366,200,332,
Josh Crook,15,16,64.17,62.55,1.6200000000000045,2.5245441795231485,392,413,
Hayden Price,15,16,62.63,61.28,1.3500000000000014,2.1555165256266986,208,248,
Elek Zettle,15,16,62.77,61.91,0.8600000000000065,1.3700812490043117,218,329,
Daniel Bittner,15,16,62.6,61.85,0.75,1.1980830670926517,207,322,
Connor Kelly,15,16,61.5,60.36,1.1400000000000006,1.8536585365853668,121,161,
Jackson Merkel,15,16,61.09,57.8,3.2900000000000063,5.385496807988225,98,17,
Luke Amerson,15,16,60.53,59.45,1.0799999999999983,1.784239220221375,77,89,
Aidan Cole,15,16,62.06,59.9,2.1600000000000037,3.480502739284569,164,123,
Kenny You,15,16,61.82,60.47,1.3500000000000014,2.183759301197026,144,175,
Blake Nelson,15,16,62.23,59.51,2.719999999999999,4.370882211152176,177,98,
Dean Ko,15,16,61.66,61.55,0.10999999999999943,0.17839766461238962,131,280,
Tommy Johanneman,15,16,62.86,61.55,1.3100000000000023,2.083996181991731,229,280,
Liem Funk,15,16,61.73,60.95,0.779999999999994,1.2635671472541619,137,218,
Cash Strickland,15,16,61.77,61.44,0.3300000000000054,0.5342399222923837,139,265,
Derek Hitchens,15,16,57.5,58.6,-1.1000000000000014,-1.9130434782608718,4,48,
Terry Lee,15,16,63.73,59.5,4.229999999999997,6.637376431821744,323,96,
Liam Hickey,15,16,64.59,60.65,3.940000000000005,6.100015482272805,450,190,
Daneel Polakoff,15,16,62.46,62.14,0.3200000000000003,0.5123278898495042,199,354,
Dane Goodman,15,16,62.58,60.33,2.25,3.5953978906999042,205,157,
Jordan Mowad,15,16,60.46,59.46,1.0,1.6539861065167052,70,90,Yes
Paddy Chapman,15,16,60.5,60.19,0.3100000000000023,0.5123966942148798,74,148,
Peter Shih,15,16,63.13,62.67,0.46000000000000085,0.7286551560272467,250,432,
Jack Higgins,15,16,61.9,62.28,-0.38000000000000256,-0.6138933764135744,149,371,
David Melnychuk,15,16,62.34,58.45,3.8900000000000006,6.239974334295797,190,42,
Cole Tangeman,15,16,64.29,61.11,3.180000000000007,4.946336910872619,405,231,
Andrew Perdomo,15,16,61.39,61.68,-0.28999999999999915,-0.47238964000651434,114,301,
Misha Kojanov,15,16,60.92,59.17,1.75,2.8726198292843073,92,75,
Jeremiah Creasey,15,16,63.65,63.02,0.6299999999999955,0.9897879025922947,315,483,
Lucas Hubbard,15,16,63.15,61.96,1.1899999999999977,1.8844022169437809,252,335,
Owen Cather,15,16,60.67,59.92,0.75,1.2361958134168451,83,126,
Aaron Mendoza,15,16,59.19,58.34,0.8499999999999943,1.4360533873965102,27,39,
Dylan Ferguson,15,16,60.87,58.89,1.9799999999999969,3.252833908329221,88,60,
Tyler Turgeon,15,16,62.1,59.0,3.1000000000000014,4.9919484702093415,168,65,
Jax Steider,15,16,64.17,60.9,3.270000000000003,5.0958391771856055,392,212,
Kenneth Christian Devis,15,16,63.05,61.62,1.4299999999999997,2.2680412371134016,240,293,
Campbell McKean,15,16,59.43,58.32,1.1099999999999994,1.8677435638566373,34,38,
Carter Souliere,15,16,63.32,62.84,0.4799999999999969,0.7580543272267797,272,462,
Nathan Szobota,15,16,59.04,59.03,0.00999999999999801,0.016937669376690397,24,68,
Eric Lambert,15,16,59.14,59.46,-0.3200000000000003,-0.5410889414947587,26,90,
Kyle Wang,15,16,63.96,63.11,0.8500000000000014,1.3289555972482823,351,499,
Holden Thomas,15,16,61.37,62.21,-0.8400000000000034,-1.3687469447612897,113,362,
Jack Raimy,15,16,63.39,58.77,4.619999999999997,7.288215806909603,282,56,
Cameron Bucci,15,16,62.82,60.94,1.8800000000000026,2.9926774912448306,223,217,
Sean Green,15,16,58.46,58.93,-0.46999999999999886,-0.8039685254875109,9,63,
Grant Murphy,15,16,60.08,58.92,1.1599999999999966,1.930758988015973,58,62,
