name,age_from,age_to,time_from,time_to,improvement_seconds,improvement_percentage,rank_from,rank_to,foreign
Cameron Petitt,16,17,1003.01,986.15,16.860000000000014,1.6809403694878429,106,86,
Keegan Elgie,16,17,1046.18,995.2,50.98000000000002,4.872966411133841,280,106,
Kai Liang,16,17,1022.95,1009.46,13.490000000000009,1.318735031037686,170,153,
Ethan Chan,16,17,999.47,1028.12,-28.649999999999864,-2.866519255205245,92,225,
Reese Haycraft,16,17,1053.52,1073.67,-20.15000000000009,-1.912635735439298,321,389,
Gavin Huey,16,17,1055.45,1028.76,26.690000000000055,2.52877919370885,331,229,
TJ Hayes,16,17,1063.24,1003.94,59.299999999999955,5.57729205071291,365,137,
Tristan McCain,16,17,972.84,957.69,15.149999999999977,1.5572961638090517,34,27,
Ansh Anand,16,17,1053.5,1042.45,11.049999999999955,1.0488846701471244,320,282,
Ben Boyd,16,17,1031.35,1025.1,6.25,0.6060018422456005,205,211,
Bryce Ruder,16,17,1006.88,1012.04,-5.159999999999968,-0.5124741776577117,116,162,
Karson Leavitt,16,17,1032.05,1028.09,3.9600000000000364,0.38370234000291037,210,224,
Benjamin Hames,16,17,1086.28,1033.53,52.75,4.856022388334499,461,245,
Matthew Amodio,16,17,1008.41,990.5,17.909999999999968,1.776063307583222,123,93,
Noah Cheng,16,17,1056.58,1048.15,8.429999999999836,0.797857237502114,337,307,
Logan Calhoun,16,17,990.0,978.57,11.42999999999995,1.1545454545454494,68,71,
Jackson White,16,17,1087.4,1078.41,8.990000000000009,0.8267426889828957,465,405,
Evan Hayes,16,17,1059.61,1074.69,-15.080000000000155,-1.4231651267919476,350,393,
Colton White,16,17,1063.16,1055.96,7.2000000000000455,0.6772263817299413,364,332,
Owen Nye,16,17,1003.63,1007.54,-3.909999999999968,-0.3895858035331714,107,144,
Jacob Pins,16,17,947.49,954.31,-6.819999999999936,-0.7197965150027902,11,23,
Owen Currie,16,17,1061.69,1028.32,33.37000000000012,3.143102035434083,356,226,
Alex Pasquini,16,17,1070.99,1081.45,-10.460000000000036,-0.9766664487997121,399,421,
Dylan Blietz,16,17,1037.27,1043.13,-5.860000000000127,-0.5649445178208304,230,286,
Will Glaser,16,17,1036.03,1044.43,-8.400000000000091,-0.8107873324131629,223,294,
Braedon Ando,16,17,998.16,962.12,36.039999999999964,3.6106435841949147,86,30,
Grant Schwalm,16,17,1070.32,1024.68,45.63999999999987,4.264145302339475,395,208,
Jaime Taylor,16,17,1046.91,1034.01,12.900000000000091,1.23219761010976,289,248,
Aidan Siers,16,17,962.34,975.15,-12.809999999999945,-1.3311303697237926,23,61,
Max Tucker,16,17,1018.04,1037.28,-19.24000000000001,-1.8899060940631027,155,262,
Daniel Gonzalez Jimenez,16,17,1007.32,1025.52,-18.199999999999932,-1.80677441130921,120,212,Yes
Andrew Caruso,16,17,1050.9,1015.96,34.940000000000055,3.324769245408702,309,175,
Stefanos Salas Salas,16,17,1017.84,1063.15,-45.31000000000006,-4.451583745971868,154,358,
Luke Waldrep,16,17,1014.38,971.87,42.50999999999999,4.190737199077268,145,53,
Lincoln Council,16,17,1008.9,971.93,36.97000000000003,3.664386956090795,125,54,
Braiden Alexander,16,17,1046.75,1026.4,20.34999999999991,1.9441127298781855,287,216,
Matt Cinque,16,17,987.37,966.03,21.340000000000032,2.161297183426682,64,40,
Zane Ricker,16,17,1047.83,1049.73,-1.900000000000091,-0.18132712367465056,291,311,
Bucky Gettys,16,17,937.44,917.16,20.280000000000086,2.1633384536610434,5,4,
Jackson Dekuiper,16,17,1082.35,1107.39,-25.04000000000019,-2.313484547512375,440,488,
Anderson Bishop,16,17,1019.96,1012.67,7.290000000000077,0.7147339111337775,163,164,
Nathan Wardlow,16,17,1058.88,1041.88,17.0,1.605469930492596,345,280,
Zach Rothman,16,17,1038.95,1081.3,-42.34999999999991,-4.076230809952347,241,419,
Max Likins,16,17,1013.79,1013.22,0.5699999999999363,0.05622466191222406,142,166,
Spencer Campbell,16,17,1059.69,1110.09,-50.399999999999864,-4.756107918353467,351,497,
Liam Sneller,16,17,1038.91,1044.92,-6.009999999999991,-0.5784909183663639,240,298,
Glen Tanner,16,17,1031.5,1069.28,-37.77999999999997,-3.6626272418807537,206,375,
Carson Wall,16,17,1081.73,1107.13,-25.40000000000009,-2.3480905586421836,436,487,
Ryan Albert,16,17,1071.96,1064.38,7.579999999999927,0.7071159371618275,405,360,
Kellen Booth,16,17,1080.57,1031.68,48.88999999999987,4.524463940327778,433,238,
Ian Noffsinger,16,17,1075.76,1040.47,35.289999999999964,3.280471480627646,418,272,
Max Enes,16,17,1009.57,998.18,11.3900000000001,1.1282030963677703,131,114,
Jack Humbert,16,17,1057.45,1044.65,12.799999999999955,1.2104591233628024,339,296,
Alex Parent,16,17,955.79,968.36,-12.57000000000005,-1.3151424476087896,15,47,
