name,age_from,age_to,time_from,time_to,improvement_seconds,improvement_percentage,rank_from,rank_to,foreign
Allen Pringle,17,18,155.32,153.51,1.8100000000000023,1.1653360803502462,495,262,
Alston Qin,17,18,143.12,143.84,-0.7199999999999989,-0.5030743432084955,90,88,Yes
Aiden Moy,17,18,142.76,139.07999999999998,3.680000000000007,2.577752871952933,85,27,
Preston Wolf,17,18,150.53,151.87,-1.3400000000000034,-0.8901880023915522,299,241,
Eli Waller,17,18,154.56,151.34,3.219999999999999,2.0833333333333326,474,225,
Andrej Gibson,17,18,153.3,158.82,-5.519999999999982,-3.600782778864958,413,380,
Gannon Flynn,17,18,146.69,148.51,-1.8199999999999932,-1.240711704956025,178,168,
Spencer Ridge,17,18,147.26,146.89,0.37000000000000455,0.25125628140703826,188,140,
Kevin Saenz,17,18,151.72,154.56,-2.8400000000000034,-1.8718692327972604,344,285,
Maston Ballew,17,18,142.43,138.76,3.670000000000016,2.5767043459945347,76,23,
Finnley Conklin,17,18,138.65,141.15,-2.5,-1.803101334294987,22,46,
Ian Frazer,17,18,145.62,147.38,-1.759999999999991,-1.2086251888476796,151,154,
Sawyer Lehman,17,18,142.78,141.55,1.2299999999999898,0.8614651912032426,82,53,
Ian Combs,17,18,149.03,148.0,1.0300000000000011,0.6911360128833128,247,162,
Peyton Harrison,17,18,152.91,142.37,10.539999999999992,6.892943561572161,388,69,
Noah Reeves,17,18,140.38,136.73,3.6500000000000057,2.600085482262435,43,10,
Karson Leavitt,17,18,147.53,151.56,-4.030000000000001,-2.731647800447367,200,232,
Salvatore Lanzafame,17,18,141.67000000000002,146.31,-4.639999999999986,-3.2752170537163736,70,129,Yes
Garrett Molitor,17,18,145.73,147.7,-1.9699999999999989,-1.3518150003430995,154,159,
Lloyd Gomez,17,18,148.97,146.65,2.319999999999993,1.5573605423910808,246,135,
Billy Connor,17,18,147.84,147.59,0.25,0.1691017316017316,211,157,
Leon Zhang,17,18,149.65,151.35,-1.6999999999999886,-1.1359839625793442,273,226,
Aiden Rhee,17,18,144.22,142.07999999999998,2.140000000000015,1.4838441270281617,121,63,
Lincoln Bennett,17,18,151.32,154.77,-3.450000000000017,-2.279936558287085,280,288,
Griffin Tomsheck,17,18,153.55,150.42000000000002,3.1299999999999955,2.0384239661348067,426,206,
Drew Gaerthofner,17,18,137.13,137.51,-0.37999999999999545,-0.27710931233136105,16,14,
Ryder Hicks,17,18,138.14,136.91,1.2299999999999898,0.8904010424207253,19,11,
Frank Nguyen,17,18,142.28,143.61,-1.3300000000000125,-0.9347764970480831,79,82,
Andrew Nathe,17,18,147.91,150.57999999999998,-2.6699999999999875,-1.8051517814887348,215,212,
Keian Lam,17,18,138.47,138.22,0.25,0.18054452227919404,20,18,
Henry Botten,17,18,153.48,160.17000000000002,-6.690000000000026,-4.358874120406584,421,402,
Matthew Doty,17,18,141.71,148.68,-6.969999999999999,-4.9184955190177115,71,173,
Owen Currie,17,18,150.34,148.91,1.4300000000000068,0.951177331382205,294,180,
Jamal Deek,17,18,152.42000000000002,157.63,-5.2099999999999795,-3.4181865896863792,366,352,
Jack Gessner,17,18,144.48,152.57999999999998,-8.099999999999994,-5.6063122923588,126,254,
Chris Winalski,17,18,143.32999999999998,151.81,-8.480000000000018,-5.916416660852591,100,239,
Braynsly Dirksz,17,18,146.47,140.79,5.680000000000007,3.877927220591252,172,43,Yes
Cameron Frazier,17,18,145.07,148.67000000000002,-3.6000000000000227,-2.481560625904751,147,172,
cooper Golling,17,18,152.37,152.4,-0.030000000000001137,-0.01968891514077649,364,248,
Viktor Zheng,17,18,151.59,147.14,4.450000000000017,2.9355498383798513,337,146,
