Rank	Swim Time	Name	Foreign	Age	Event	LSC	Team	Meet	Time Standard
1	16:32.43	Ching Gan	Yes	18	1500 FR LCM	IN	Indiana University	2022 World Champs	2022 Summer Nationals (LCM)
2	16:40.61	Summer Smith		18	1500 FR LCM	SE	University Of Tennessee	2022 SE Tennessee LC Invitational	2023 Summer Nationals (LCM)
3	16:47.33	Sophia Karras		18	1500 FR LCM	MR	Long Island Aquatic Club	2022 MR TYR Senior LC Championships	2023 Summer Nationals (LCM)
4	16:52.31	Blair Stoneburg		18	1500 FR LCM	FL	Treasure Coast Aquatics	Mel Zajac Jr. International 20	2022 Winter US Open (LCM)
5	16:55.06	Emma Hastings		18	1500 FR LCM	NC	East Carolina Aquatics	2022 NC ESSZ Summer Sectionals	2022 Winter US Open (LCM)
6	16:58.94	Caroline Benda		18	1500 FR LCM	KY	Kentucky Aquatics	2022 NC ESSZ Summer Sectionals	2022 Winter US Open (LCM)
7	17:00.41	Lucy Malys		18	1500 FR LCM	MI	OLY Swimming	2022 IN NCSA Summer Swimming Championships2	2022 Winter US Open (LCM)
8	17:00.47	Hayley Clark		18	1500 FR LCM	NC	North Carolina Aquatic Club	2022 Speedo Junior National Ch	2022 Winter US Open (LCM)
9	17:17.58	Liv Dorshorst		18	1500 FR LCM	IL	Barrington Swim Club	2022 MN USAS Speedo Meet	2022 Winter Juniors (SCY)
10	17:18.44	Gena Jorgenson		18	1500 FR LCM	SD	Aberdeen Swim Club	2022 MN Futures Championships Minnesota	2022 Winter Juniors (SCY)
11	17:19.59	Emily Bucaro		18	1500 FR LCM	IL	Barrington Swim Club	2022 Speedo Junior National Ch	2022 Winter Juniors (SCY)
12	17:20.80	Sydney Craft		18	1500 FR LCM	PV	Nation's Capital Swim Club	2022 IN NCSA Summer Swimming Championships	2022 Winter Juniors (SCY)
13	17:21.61	Olivia Porter		18	1500 FR LCM	CA	Sandpipers Of Nevada	2022 SN Finals - Western Zone Senior Ch	2022 Winter Juniors (SCY)
14	17:21.85	Summer Eaker		18	1500 FR LCM	SE	University Of Tennessee	2022 SE Tennessee LC Invitational	2022 Futures (LCM)
15	17:22.02	Karen Austin		18	1500 FR LCM	MI	Atlantis Swimming	2022 IN NCSA Summer Swimming Championships2	2023 Futures (LCM)
16	17:23.37	Mackenzie Brandt		18	1500 FR LCM	MA	Suburban Seahawks Club	2022 NJ BAC Memorial Day Invitational	2022 Futures (LCM)
17	17:23.73	Hannah Jones		18	1500 FR LCM	CA	Team Rebel Aquatics	2022 CA CA-NV Speedo Sectionals at CANY	2023 Futures (LCM)
18	17:25.18	Sydney Mullin		18	1500 FR LCM	MA	Jersey Wahoos	2022 MA Swimming Meet	2023 Futures (LCM)
19	17:25.46	Madeleine Dunn		18	1500 FR LCM	ST	Nitro Swimming	2022 ST TXLA Speedo Southern Sectionals	2023 Futures (LCM)
20	17:28.40	Allison Brown		18	1500 FR LCM	GA	Chattahoochee Gold Swim Club	2022 Futures - Cary	2023 Futures (LCM)
21	17:29.22	Olivia Kim		18	1500 FR LCM	PC	Pleasanton Seahawks	2022 PC LCM Far Westerns	2023 Futures (LCM)
22	17:31.62	Maya Clise		18	1500 FR LCM	PN	King Aquatic Club	2022 Futures - Santa Clara	2023 Futures (LCM)
23	17:32.56	Lizzie Mackowiak		18	1500 FR LCM	CA	SOCAL Aquatics Association	2022 PC SCSC Futures West	2023 Futures (LCM)
24	17:32.58	Zoe Bresnahan		18	1500 FR LCM	MN	Edina Swim Club	2022 MN UOFM Gopher Open	2022 Futures (LCM)
