Rank	Swim Time	Name	Foreign	Age	Event	LSC	Team	Meet	Time Standard
1	4:32.67	Katie Grimes		16	400 IM LCM	CA	Sandpipers Of Nevada	2022 World Champs	2023 Summer Nationals (LCM)
2	4:39.65	Leah Hayes		16	400 IM LCM	IL	Fox Valley Park District Riptides	2022 Phillips 66 International Team Trials	2022 Summer Nationals (LCM)
3	4:44.11	Ella Jansen	Yes	16	400 IM LCM	FL	Unattached	2021 Toyota US Open Championship	2022 Summer Nationals (LCM)
4	4:46.37	Bella Sims		16	400 IM LCM	CA	Sandpipers Of Nevada	2022 CA RMDA Road to 2022 LCM Finals	2023 Summer Nationals (LCM)
5	4:48.05	Camden Doane		16	400 IM LCM	PN	King Aquatic Club	2022 Speedo Junior National Ch	2023 Summer Nationals (LCM)
6	4:48.53	Carli Cronk		16	400 IM LCM	ST	Alamo Area Aquatic Association	2022 ST TXLA Speedo Southern Sectionals	2022 Summer Nationals (LCM)
7	4:48.55	Campbell Chase		16	400 IM LCM	NT	COR Swimming	2022 IN NCSA Summer Swimming Championship	2023 Summer Nationals (LCM)
8	4:48.72	Sofia Plaza		16	400 IM LCM	NC	SwimMAC Carolina	2022 Speedo Junior National Ch	2023 Summer Nationals (LCM)
9	4:49.15	Gracie Weyant		16	400 IM LCM	FL	Sarasota Sharks	2022 Phillips 66 International Team Trials	2022 Summer Nationals (LCM)
10	4:50.22	Lainey Mullins		16	400 IM LCM	MA	Suburban Seahawks Club	2022 MA Swimming Meet	2023 Summer Nationals (LCM)
11	4:50.28	Emily Brown		16	400 IM LCM	OHO	Dublin Community Swim Team	2022 Speedo Junior National Ch	2023 Summer Nationals (LCM)
12	4:50.42	Emily Thompson		16	400 IM LCM	NJ	Greater Somerset County YMCA Storm	2022 Speedo Junior National Ch	2023 Summer Nationals (LCM)
13	4:50.92	Bailey O'Regan	Yes	16	400 IM LCM	FL	Sarasota Sharks	2022 FG Piranhas Senior Invitational	2022 Summer Nationals (LCM)
14	4:51.36	Abby O'Sullivan		16	400 IM LCM	CA	Unattached	2022 CA MVN Fran Crippen SMOC	2022 Summer Nationals (LCM)
15	4:52.25	Asia Kozan		16	400 IM LCM	CA	Unattached	2022 CA So Cal Invite	2022 Summer Nationals (LCM)
16	4:53.42	Payton Foster		16	400 IM LCM	CT	Chelsea Piers Aquatic Club	2022 IN NCSA Summer Swimming Championship	2022 Winter US Open (LCM)
17	4:54.24	Kate Hurst		16	400 IM LCM	NJ	Scarlet Aquatics	2022 NI EZ Speedo Sectional (LCM) Buffalo	2022 Winter US Open (LCM)
18	4:54.48	Anna Moesch		16	400 IM LCM	NJ	Greater Somerset County YMCA Storm	2022 NJ EEX JS Mace Memorial Summer Sizzle	2022 Winter US Open (LCM)
19	4:55.49	Emma Sayers		16	400 IM LCM	AZ	Unattached	2022 OR Speedo Sectionals - Mt Hood	2022 Winter US Open (LCM)
20	4:56.41	Hayden Penny		16	400 IM LCM	SC	Y-Spartaquatics Swim Club	2022 Speedo Junior National Ch	2023 Summer Juniors (LCM)
21	4:56.54	Addison Sauickie		16	400 IM LCM	FL	Sarasota Sharks	2022 FL Shark Open	2023 Summer Juniors (LCM)
22	4:57.05	Julia Barto		16	400 IM LCM	CT	Cheshire Y Sea Dog Swim Club	2022 FL ISCA Summer Senior Blast	2023 Summer Juniors (LCM)
23	4:57.74	Ivy Monk		16	400 IM LCM	NC	SwimMAC Carolina	2022 IN Spring Speedo Sectionals	2022 Winter Juniors (SCY)
24	4:58.08	Amelie Ogilby		16	400 IM LCM	CO	Team Sopris Swimming	2022 SN Finals - Western Zone Senior Ch	2022 Winter Juniors (SCY)
25	4:58.26	Gemma Undercofler		16	400 IM LCM	MA	Suburban Seahawks Club	2022 IN NCSA Summer Swimming Championship	2022 Winter Juniors (SCY)
25	4:58.26	Olivia Swalley		16	400 IM LCM	IA	Central Iowa Aquatics	2022 IN NAT Indy Spring Cup	2022 Winter Juniors (SCY)
27	4:58.63	Elle Noecker		16	400 IM LCM	NI	Town Wreckers Swim Team	2022 Speedo Junior National Ch	2022 Winter Juniors (SCY)
28	4:58.68	Kaylee McDonald		16	400 IM LCM	NC	SwimMAC Carolina	2022 NC SwimMAC Martha McKee Meet	2022 Winter Juniors (SCY)
29	4:59.33	Bridget McGann		16	400 IM LCM	IL	Academy Bullets Swim Club	2022 Speedo Junior National Ch	2022 Winter Juniors (SCY)
30	4:59.54	Paige Thome		16	400 IM LCM	NC	SwimMAC Carolina	2022 NC ESSZ Summer Sectionals	2022 Winter Juniors (SCY)
31	4:59.65	Katya Ivanov		16	400 IM LCM	NC	TAC Titans	2022 NC Futures Championships Cary	2022 Winter Juniors (SCY)
32	4:59.76	Ella Smoker		16	400 IM LCM	GU	Cypress Fairbanks Swim Club	2022 ST TXLA Speedo Southern Sectionals	2022 Winter Juniors (SCY)
33	5:00.00	Kate Christian		16	400 IM LCM	ST	Longhorn Aquatics	2022 ST TXLA Speedo Southern Sectionals	2022 Winter Juniors (SCY)
34	5:00.14	Ana Hazlehurst		16	400 IM LCM	MD	North Baltimore Aquatic Club	2022 Speedo Junior National Ch	2022 Winter Juniors (SCY)
35	5:00.22	Lillian Tichenor		16	400 IM LCM	LA	Christus Louisiana Aquatic Club	2022 LA Senior LC State Championships	2022 Winter Juniors (SCY)
36	5:00.26	Sydney Wilson		16	400 IM LCM	OR	Multnomah Athletic Club	2022 TYR Pro Swim Series - Mis	2022 Winter Juniors (SCY)
37	5:00.31	Grace Tuchi		16	400 IM LCM	NC	SwimMAC Carolina	2022 NC LC SR CHAMPS	2023 Futures (LCM)
38	5:00.32	Ava Muzzy		16	400 IM LCM	VA	Virginia Gators	2022 VA LC Senior Champs	2023 Futures (LCM)
39	5:00.78	Grey Davis		16	400 IM LCM	VA	Cavalier Aquatics/Piedmont Family YMCA	2022 VA EZ LC Speedo Super Sectional	2022 Futures (LCM)
40	5:01.05	Alexa Reyna		16	400 IM LCM	MR	Badger Swim Club,Inc.	2022 NJ SCAR Memorial Day	2022 Futures (LCM)
41	5:01.33	Addison Reese		16	400 IM LCM	FL	Laker Swim	2022 Futures - Cary	2023 Futures (LCM)
42	5:01.45	Evlin Riederer	Yes	16	400 IM LCM	GU	The Woodlands Swim Team	2022 Futures - College Station	2023 Futures (LCM)
43	5:01.65	Julia Huffmaster		16	400 IM LCM	MT	Bozeman Barracudas Swim Team	2022 OR Speedo Sectionals - Mt Hood	2023 Futures (LCM)
44	5:01.82	Chloe Diner		16	400 IM LCM	IL	Academy Bullets Swim Club	2022 IN NCSA Summer Swimming Championship	2023 Futures (LCM)
45	5:01.85	Lauren Bernardo		16	400 IM LCM	NC	SwimMAC Carolina	2022 NC ESSZ Summer Sectionals	2022 Futures (LCM)
46	5:01.89	Sydney Starnes		16	400 IM LCM	GA	SwimAtlanta	2022 GA LC Senior State Championship	2023 Futures (LCM)
47	5:01.97	Katie Yee		16	400 IM LCM	MR	Long Island Aquatic Club	2022 NJ SCAR Memorial Day	2022 Futures (LCM)
48	5:02.04	Lila Heffernan		16	400 IM LCM	PC	North Bay Aquatics	2022 SN Summer Sanders LCM SR+	2023 Futures (LCM)
49	5:02.18	Kaitlyn Gresik		16	400 IM LCM	IL	Academy Bullets Swim Club	2022 IN NCSA Summer Swimming Championships	2023 Futures (LCM)
50	5:02.27	Reese Cole		16	400 IM LCM	GU	South Shore Sails	2022 Futures Championships College Station	2023 Futures (LCM)
51	5:02.41	Riley Fried		16	400 IM LCM	MR	Long Island Aquatic Club	2022 IN NCSA Summer Swimming Championships	2023 Futures (LCM)
52	5:02.52	Dana Li		16	400 IM LCM	NE	Commonwealth Swimming	2022 NI EZ Speedo Sectional (LCM) Buffalo	2022 Futures (LCM)
53	5:02.54	Alexandra Stern		16	400 IM LCM	FL	Indian River Aquatics	2022 FL Summer Senior Championships	2023 Futures (LCM)
54	5:02.72	Charlotte Burnham		16	400 IM LCM	CO	Univ of Denver Hilltoppers	2022 Speedo Junior National Ch	2023 Futures (LCM)
55	5:02.82	Tess Lankford		16	400 IM LCM	MD	Loyola Blakefield Aquatics	2022 Futures - Geneva	2023 Futures (LCM)
56	5:03.03	Alyssa Street		16	400 IM LCM	IN	Carmel Swim Club	2022 Speedo Junior National Ch	2023 Futures (LCM)
57	5:03.08	Alexa Wong		16	400 IM LCM	CC	Tule Nation Tritons	2022 PC SCSC Futures West	2023 Futures (LCM)
58	5:03.15	Emmakate Zanoli		16	400 IM LCM	MI	OLY Swimming	2022 IN NCSA Summer Swimming Championships2	2023 Futures (LCM)
59	5:03.30	Abby Druhan		16	400 IM LCM	NC	SwimMAC Carolina	2022 IN Spring Speedo Sectionals	2022 Futures (LCM)
60	5:03.38	Enya Linson		16	400 IM LCM	IL	St Charles Swim Team	2022 IL LCM Senior Championships	2023 Futures (LCM)
61	5:03.40	Audrey Crawford		16	400 IM LCM	IN	Southeastern Swim Club	2022 Speedo Junior National Ch	2023 Futures (LCM)
62	5:03.56	Kassidy Kitchel		16	400 IM LCM	GU	Dads Club Swim Team	2022 IN NCSA Summer Swimming Championships2	2023 Futures (LCM)
63	5:03.71	Maya Foley		16	400 IM LCM	FL	Southwest Stars Swim Club	2022 FL Summer Senior Championships	2023 Futures (LCM)
64	5:03.73	Jenna Gogel		16	400 IM LCM	AR	Northwest Arkansas Aquatics	2022 IN NCSA Summer Swimming Championships	2023 Futures (LCM)
65	5:03.78	Billie Sherratt		16	400 IM LCM	NJ	Fanwood-Scotch Plains YMCA	2022 NC AP LC YMCA Nationals	2023 Futures (LCM)
