Rank	Swim Time	Name	Foreign	Age	Event	LSC	Team	Meet	Time Standard
1	54.15	Nick Simons		18	100 BK LCM	OR	Lake Oswego Swim Club	2022 Phillips 66 Summer Nationals	2023 Summer Nationals (LCM)
2	54.41	Will Modglin		18	100 BK LCM	IN	Zionsville Swim Club	2022 Speedo Junior National Ch	2023 Summer Nationals (LCM)
3	54.51	Josh Zuchowski		18	100 BK LCM	FG	Flood Aquatics Swim Team	2022 Jr Pan Pacific Swimming Championships	2023 Summer Nationals (LCM)
4	54.90	Tommy Janton		18	100 BK LCM	MA	Western YMCA Wahoos	2022 NC AP LC YMCA Nationals	2023 Summer Nationals (LCM)
5	54.96r	Inbar Danziger	Yes	18	100 BK LCM	NC	Unattached	European Junior Swimming Championships	2022 Summer Nationals (LCM)
6	55.03	Owen McDonald		18	100 BK LCM	GA	Dynamo Swim Club	2022 Phillips 66 International Team Trials	2023 Summer Nationals (LCM)
7	55.38	Diego Camacho Salgado	Yes	18	100 BK LCM	SI	Unattached	1st Junior Pan American Games	2022 Summer Nationals (LCM)
8	55.58	Joe Hayburn		18	100 BK LCM	MD	Annapolis Swim Club	2022 Phillips 66 International Team Trials	2023 Summer Nationals (LCM)
9	55.73	Quintin McCarty		18	100 BK LCM	CO	Pikes Peak Athletics	2022 Phillips 66 Summer Nationals	2023 Summer Nationals (LCM)
10	55.86	Kai Van Westering	Yes	18	100 BK LCM	US	Unattached	2022 Phillips 66 Summer Nationals	2023 Summer Nationals (LCM)
11	55.87	Jacque Wenger		18	100 BK LCM	SI	Coronado Swim Association Team Elite	2022 Speedo Junior National Ch	2023 Summer Nationals (LCM)
12	56.02	Idris Muhammad		18	100 BK LCM	GA	Dynamo Swim Club	2022 Speedo Junior National Ch	2022 Winter US Open (LCM)
13	56.13r	Jack Wilkening		18	100 BK LCM	MI	Club Wolverine	2022 NC Futures Championships Cary	2022 Winter US Open (LCM)
14	56.20	Eli Stoll		18	100 BK LCM	OHO	Greater Columbus Swim Tm Of Oh	2022 Speedo Junior National Ch	2022 Winter US Open (LCM)
15	56.29	Cam Abaqueta		18	100 BK LCM	NC	SwimMAC Carolina	2022 NC ESSZ Summer Sectionals	2022 Summer Nationals (LCM)
16	56.30r	Michael Long		18	100 BK LCM	WI	Elmbrook Swim Club	2022 Speedo Junior National Ch	2022 Winter US Open (LCM)
17	56.46	Charlie Crosby		18	100 BK LCM	MN	Hurricanes Swim Team	2022 Futures - Minneapolis	2022 Winter US Open (LCM)
18	56.51	Grant Bochenski		18	100 BK LCM	MV	U. of Missouri	2022 MV UMIZ International	2022 Summer Nationals (LCM)
19	56.63	Carl Bloebaum		18	100 BK LCM	OHO	Mason Manta Rays	2022 OH Tim Meyers LC Senior Champs	2022 Winter US Open (LCM)
20	56.68	Teddy Cross		18	100 BK LCM	VA	Cavalier Aquatics/Piedmont Family YMCA	2022 Speedo Junior National Ch	2022 Winter US Open (LCM)
21	56.69	Griffin O'Leary		18	100 BK LCM	IL	Barrington Swim Club	2022 MN USAS Speedo Meet	2022 Winter US Open (LCM)
21	56.69	Lance Norris		18	100 BK LCM	NC	TAC Titans	2022 NC TAC Spring Invitational	2022 Winter US Open (LCM)
23	56.70	Charlie Crush		18	100 BK LCM	KY	Lakeside Swim Team	2022 IN NCSA Summer Swimming Championships	2022 Winter US Open (LCM)
24	56.76	Sam Brown		18	100 BK LCM	AD	Unattached	2022 Futures - Geneva	2022 Winter US Open (LCM)
25	56.82	Braeden Haughey		18	100 BK LCM	NC	TAC Titans	2022 Futures - Cary	2022 Winter US Open (LCM)
26	56.91	Tate Bacon		18	100 BK LCM	NC	TAC Titans	2022 NC TAC Spring Invitational	2022 Winter US Open (LCM)
27	56.98	Baylor Nelson		18	100 BK LCM	NC	SwimMAC Carolina	Mel Zajac Jr. International 20	2022 Winter US Open (LCM)
28	57.16	Alec Filipovic		18	100 BK LCM	IL	St Charles Swim Team	2022 IL LCM Senior Championships	2022 Winter US Open (LCM)
29	57.23	Jack Harvey	Yes	18	100 BK LCM	MA	Unattached	2022 FG Piranhas Senior Invitational	2022 Winter US Open (LCM)
30	57.35	Lewis Treggiden	Yes	18	100 BK LCM	SE	Auburn University	2022 SE LC Championships	2022 Winter US Open (LCM)
31	57.46	Brandon Miller		18	100 BK LCM	NC	North Carolina Aquatic Club	2022 NC ESSZ Summer Sectionals	2022 Winter US Open (LCM)
32	57.51	Billy Oates		18	100 BK LCM	AZ	Jim Click Team Elite, Inc	2022 CA Los Angeles Invitational	2022 Winter US Open (LCM)
33	57.59	Braden Beagle		18	100 BK LCM	CA	Rose Bowl Aquatics	2022 Speedo Junior National Ch	2022 Winter US Open (LCM)
34	57.60	Eli Brinkman		18	100 BK LCM	GA	Chattahoochee Gold Swim Club	2022 Futures - Cary	2022 Winter US Open (LCM)
35	57.62r	Jackson Millard		18	100 BK LCM	KY	Kentucky Aquatics	2022 IN NCSA Summer Swimming Championships2	2022 Winter US Open (LCM)
35	57.62	Tommy Roder		18	100 BK LCM	PC	Orinda Aquatics	2022 SN Summer CA-NV Sectional-CC	2022 Winter US Open (LCM)
35	57.62r	Eli Rollen		18	100 BK LCM	FL	Rocoa Rockets	2022 NC SFAC AAU Junior Olympics	2022 Winter US Open (LCM)
38	57.65r	Ronald Dalmacio		18	100 BK LCM	CA	Rose Bowl Aquatics	2022 Speedo Junior National Ch	2022 Winter US Open (LCM)
39	57.67	Lee Naber		18	100 BK LCM	OZ	CSP Tideriders	2022 IN NCSA Summer Swimming Championship	2022 Winter US Open (LCM)
39	57.67	Joey Kling		18	100 BK LCM	CA	SOCAL Aquatics Association	2022 CA Speedo Grand Challenge	2022 Winter US Open (LCM)
41	57.69	Jakson Winn		18	100 BK LCM	PN	Olympic Cascade Aquatics	2022 PN Senior Long Course Champs	2022 Winter US Open (LCM)
42	57.72	Cade Duncan		18	100 BK LCM	GU	Dads Club Swim Team	2022 IN NCSA Summer Swimming Championships2	2022 Winter US Open (LCM)
43	57.73	Luigi Franco	Yes	18	100 BK LCM	FL	Unattached	2022 Speedo Junior National Ch	2022 Winter US Open (LCM)
44	57.79	Brendan Studdert		18	100 BK LCM	GU	Blue Tide Aquatics	2022 Speedo Junior National Ch	2022 Winter US Open (LCM)
45	57.87	Aaron Seymour		18	100 BK LCM	GA	Georgia Coastal Aquatic Team	2022 GA Bulldog Summer Invite	2022 Winter US Open (LCM)
46	57.89	Dylan Burau		18	100 BK LCM	IL	Wheaton Swim Club, Inc.	2022 IN NCSA Summer Swimming Championship	2022 Winter US Open (LCM)
47	57.90	Ryan Weaver		18	100 BK LCM	NC	Carolina Aquatic Team	2022 IN NCSA Summer Swimming Championships	2022 Winter US Open (LCM)
48	57.91	Mason Schroeder		18	100 BK LCM	MW	iNspire Swim Team	2022 MV Region VIII Speedo Summer Meet	2022 Winter US Open (LCM)
49	57.94r	Andy Kelly		18	100 BK LCM	IL	NASA Wildcat Aquatics	2022 Futures - Minneapolis	2022 Winter US Open (LCM)
50	57.95	Will Hayon		18	100 BK LCM	WI	Mid Wisconsin Wave Makers	2022 MN USAS Speedo Meet	2022 Winter US Open (LCM)
51	57.96	Collin McKenzie		18	100 BK LCM	PV	Arlington Aquatic Club	2022 IN NCSA Summer Swimming Championships2	2022 Winter US Open (LCM)
52	57.98	Randy Keener		18	100 BK LCM	WV	Mountain State Storm	2022 LE Futures Championships Geneva	2022 Winter US Open (LCM)
53	57.99	Clayton Whetstine		18	100 BK LCM	VA	Coast Guard Blue Dolphins	2022 IN NCSA Summer Swimming Championships2	2022 Winter US Open (LCM)
53	57.99	Sean Rogers		18	100 BK LCM	CT	Chelsea Piers Aquatic Club	2022 IN NCSA Summer Swimming Championships2	2022 Winter US Open (LCM)
53	57.99	Nils Bognar		18	100 BK LCM	SC	Team Greenville	2022 Speedo Junior National Ch	2022 Winter US Open (LCM)
56	58.05	Lamar Taylor	Yes	18	100 BK LCM	US	Unattached	1st Junior Pan American Games	2021 Winter US Open (LCM)
57	58.06r	Kenta Chiyo	Yes	18	100 BK LCM	CA	Golden West Swim Club	2022 Speedo Junior National Ch	2023 Summer Juniors (LCM)
58	58.08	Aiden Carstensen		18	100 BK LCM	IA	Iowa Flyers Swim Club	2022 IA Long Course Championships	2023 Summer Juniors (LCM)
59	58.09	Matt Duren		18	100 BK LCM	VA	Quest Swimming	2022 VA LC Senior Champs	2023 Summer Juniors (LCM)
60	58.17	Connor Foote		18	100 BK LCM	ST	Streamline Aquatics	2022 Speedo Junior National Ch	2023 Summer Juniors (LCM)
61	58.20	Gavin Lindley		18	100 BK LCM	AR	Northwest Arkansas Aquatics	2022 IN NCSA Summer Swimming Championship	2023 Summer Juniors (LCM)
62	58.21	Sam Powe		18	100 BK LCM	SE	McCallie / GPS Aquatics	2022 SE Richard Quick Invitational	2022 Summer Juniors (LCM)
63	58.22	Luke Leonidas		18	100 BK LCM	MN	Minnesota Flyers	2022 Futures - Minneapolis	2023 Summer Juniors (LCM)
64	58.26	Jack Burke		18	100 BK LCM	IL	Hinsdale Swim Club	2022 MN USAS Speedo Meet	2023 Summer Juniors (LCM)
65	58.28	Zack West		18	100 BK LCM	HI	Aulea Swim Club	2022 PC SCSC Futures West	2023 Summer Juniors (LCM)
66	58.29r	Ian Steffen		18	100 BK LCM	IA	Linn-Mar Swim Team	2022 IA Long Course Championships	2023 Summer Juniors (LCM)
67	58.31r	Sean Sullivan		18	100 BK LCM	IN	Carmel Swim Club	2022 Speedo Junior National Ch	2023 Summer Juniors (LCM)
68	58.35	Korin Aldam-Tajima		18	100 BK LCM	US	Unattached	2021 McDonald's Queensland Championships	2022 Summer Juniors (LCM)
69	58.36	Luka Samsonov		18	100 BK LCM	NT	Metroplex Aquatics	2022-NT American Long Course Meet	2022 Summer Juniors (LCM)
70	58.38	Jack Vanhowe		18	100 BK LCM	MI	Utica Shelby Swim Club	2022 NC Futures Championships Cary	2023 Summer Juniors (LCM)
71	58.42	Reed Wallace		18	100 BK LCM	IA	Central Iowa Aquatics	2022 IA Long Course Championships	2023 Summer Juniors (LCM)
72	58.44	James Pan		18	100 BK LCM	MN	Aquajets Swim Team	2022 MN USAS Speedo Meet	2023 Summer Juniors (LCM)
73	58.47	Zach Stump		18	100 BK LCM	OHO	Westerville Aquatic Club	2022 IN NAT Indy Spring Cup	2022 Summer Juniors (LCM)
73	58.47	Andrew Leong		18	100 BK LCM	CA	SOCAL Aquatics Association	2022 CA Los Angeles Invitational	2023 Summer Juniors (LCM)
75	58.49r	Noah Rabb		18	100 BK LCM	MN	Aquajets Swim Team	2022 MN USAS Speedo Meet	2022 Summer Juniors (LCM)
76	58.59r	McKennzey McDonald		18	100 BK LCM	SE	Wake Aquatics	2022 SE LC Championships	2023 Summer Juniors (LCM)
76	58.59r	Max Kruglov		18	100 BK LCM	NI	STAR Swimming	2022 Futures - Geneva	2023 Summer Juniors (LCM)
76	58.59	Caden Fritz		18	100 BK LCM	SE	Baylor Swim Club	2022 Speedo Junior National Ch	2023 Summer Juniors (LCM)
79	58.60	Tate Anderson		18	100 BK LCM	NC	Raleigh Swimming Association	2022 NC LC SR CHAMPS	2023 Summer Juniors (LCM)
80	58.63	Cooper Cook		18	100 BK LCM	GA	Dynamo Swim Club	2022 GA Speedo Atlanta Classic	2022 Summer Juniors (LCM)
81	58.67	Andres Dupont Cabrera	Yes	18	100 BK LCM	FL	Bolles School Sharks	2022 FL SZ South Sectionals Championships	2022 Summer Juniors (LCM)
82	58.70	Tommy Park		18	100 BK LCM	CA	Unattached	2022 CA MVN Fran Crippen SMOC	2022 Summer Juniors (LCM)
82	58.70	Robby Griswold		18	100 BK LCM	PC	De Anza Cupertino Aquatics	2022 SN Summer CA-NV Sectional-CC	2023 Summer Juniors (LCM)
84	58.75	Kellan Pattison		18	100 BK LCM	AZ	Scottsdale Aquatic Club	2022 Speedo Junior National Ch	2023 Summer Juniors (LCM)
85	58.76	Garrett Crist		18	100 BK LCM	IN	Center Grove Aquatic Club	2022 IN Spring Speedo Sectionals	2022 Summer Juniors (LCM)
86	58.78	Robert Tars		18	100 BK LCM	NC	Greensboro Community YMCA	2022 FL RAFC Last Splash Invitational	2023 Summer Juniors (LCM)
87	58.79r	Matthew Bittner		18	100 BK LCM	GU	Swim Streamline at Northampton	2022 GU TWST Senior Champs	2023 Summer Juniors (LCM)
87	58.79r	David Ponce		18	100 BK LCM	CT	Stamford Sailfish Aquatic Club	2022 LE Futures Championships Geneva	2023 Summer Juniors (LCM)
89	58.80	Ganesh Sivaramakrishnan		18	100 BK LCM	AM	Team Pittsburgh Elite Aquatics	2022 Speedo Junior National Ch	2022 Winter Juniors (SCY)
90	58.84	Colin Bade		18	100 BK LCM	IL	Lyons Aquatics	2022 IN Spring Speedo Sectionals	2022 Winter Juniors (SCY)
