Rank	Swim Time	Name	Foreign	Age	Event	LSC	Team	Meet	Time Standard
1	1:03.95	Finnley Conklin		15	100 BR LCM	WI	Oregon Community Swim Club	2022 Speedo Junior National Ch	2022 Winter US Open (LCM)
2	1:04.12	Giulian Martin		15	100 BR LCM	FG	Hurricane Aquatics	2022 Speedo Junior National Ch	2022 Winter US Open (LCM)
3	1:04.34	Cole Stevenson		15	100 BR LCM	IN	Concord Swim Club	2022 IN Spring Speedo Sectionals	2022 Winter US Open (LCM)
4	1:04.42	Tyler Tannenberger		15	100 BR LCM	GU	Swim Streamline at Northampton	2022 GU GULF Duel in the Pool	2022 Winter US Open (LCM)
5	1:04.49	Xavier Ruiz	Yes	15	100 BR LCM	CT	Ridgefield Aquatic Club	2022 TYR Pro Swim Series - San	2022 Winter US Open (LCM)
6	1:04.61	Noah Cakir		15	100 BR LCM	MR	Team Suffolk	2022 IN NCSA Summer Swimming Championships	2022 Winter US Open (LCM)
7	1:04.97	Jack Armour		15	100 BR LCM	NT	Texas Ford Aquatics	2022 Speedo Junior National Ch	2023 Summer Juniors (LCM)
8	1:05.09	John McNamara McNamara		15	100 BR LCM	FL	Bolles School Sharks	2022 NC Futures Championships Cary	2023 Summer Juniors (LCM)
9	1:05.23	Daniel King		15	100 BR LCM	ST	Alamo Area Aquatic Association	2022 ST TXLA Speedo Southern Sectionals	2023 Summer Juniors (LCM)
10	1:05.35	Keian Lam		15	100 BR LCM	IL	Fox Valley Swim Team	2022 MN USAS Speedo Meet	2023 Summer Juniors (LCM)
11	1:05.72	Trevor Boodt		15	100 BR LCM	CO	Highlands Ranch Aquatics	2022 Futures Championships College Station	2023 Summer Juniors (LCM)
12	1:05.73	Eldad Zamir		15	100 BR LCM	FL	Bolles School Sharks	2022 FL BSS TYR June Classic	2022 Summer Juniors (LCM)
13	1:05.80	Gannon Flynn		15	100 BR LCM	ST	Nitro Swimming	2022 ST TXLA Speedo Southern Sectionals	2023 Summer Juniors (LCM)
14	1:06.10	Jordan Willis		15	100 BR LCM	NC	SwimMAC Carolina	2022 Speedo Junior National Ch	2022 Winter Juniors (SCY)
15	1:06.11	Jonah Medvinsky		15	100 BR LCM	PN	Seattle Metropolitan Aquatic Club	2022 PN Senior Long Course Champs	2022 Winter Juniors (SCY)
15	1:06.11	David Kushnirsky		15	100 BR LCM	MR	Long Island Aquatic Club	2022 IN NCSA Summer Swimming Championships2	2022 Winter Juniors (SCY)
17	1:06.27	Jason Zhao		15	100 BR LCM	OHO	Mason Manta Rays	2022 NC SGSA Eastern Invitational	2022 Winter Juniors (SCY)
18	1:06.33	Stuart Timmerman		15	100 BR LCM	IL	NASA Wildcat Aquatics	2022 WI LAKE Western Great Lake Meet	2022 Winter Juniors (SCY)
19	1:06.44	Julian Callender		15	100 BR LCM	WI	Madison Aquatic Club	2022 Futures - Minneapolis	2022 Winter Juniors (SCY)
20	1:06.51	Nathan Wu		15	100 BR LCM	CA	Unattached	2022 CA MVN Fran Crippen SMOC	2022 Winter Juniors (SCY)
21	1:06.61	Carter Lancaster		15	100 BR LCM	FL	Bolles School Sharks	2022 FL BSS May Senior Meet	2022 Futures (LCM)
22	1:06.67	Oleksandr Zholob		15	100 BR LCM	MA	Unattached	2022 LE Futures Championships Geneva	2023 Futures (LCM)
23	1:06.69	Coleman Kimmel		15	100 BR LCM	SE	Unattached	2022 WV Southern Zone Senior Champs	2023 Futures (LCM)
24	1:06.75	Maximus Williamson		15	100 BR LCM	NT	Unattached	2022 Futures Championships College Station	2023 Futures (LCM)
25	1:06.77	Danzhel Tuliao		15	100 BR LCM	FL	Patriot Aquatics	2022 FL PA Long Course Invite	2022 Futures (LCM)
25	1:06.77	Cota Clise		15	100 BR LCM	PN	King Aquatic Club	2022 PN Senior Long Course Champs	2023 Futures (LCM)
27	1:06.82	Steven Ma		15	100 BR LCM	ST	Nitro Swimming	2022 ST TXLA 11& Over End of Splash	2022 Futures (LCM)
28	1:06.88	Brock Russell		15	100 BR LCM	SD	Sioux Falls Swim Team	2022 SD Long Course Championship	2023 Futures (LCM)
29	1:06.91	Spencer Ridge		15	100 BR LCM	VA	NOVA of Virginia Aquatics, Inc	2022 VA LC Senior Champs	2022 Futures (LCM)
30	1:06.96	Owen Howell		15	100 BR LCM	AM	Fox Chapel Killer Whales	2022 Futures - Geneva	2023 Futures (LCM)
