Rank	Swim Time	Name	Foreign	Age	Event	LSC	Team	Meet	Time Standard
1	2:01.44	Nate Germonprez		17	200 IM LCM	MW	iNspire Swim Team	2022 Speedo Junior National Ch	2023 Summer Nationals (LCM)
2	2:02.15	Diego Nosack		17	200 IM LCM	OR	Tualatin Hills Swim Club	2022 Speedo Junior National Ch	2023 Summer Nationals (LCM)
3	2:02.41	Ilya Kharun	Yes	17	200 IM LCM	CA	Sandpipers Of Nevada	2022 Phillips 66 Summer Nationals	2023 Summer Nationals (LCM)
4	2:02.68	Spencer Aurnou-Rhees		17	200 IM LCM	OHO	New Albany Aquatic Club	2022 Phillips 66 International Team Trials	2022 Summer Nationals (LCM)
5	2:03.12	Drew Hitchcock		17	200 IM LCM	SE	Baylor Swim Club	2022 Speedo Junior National Ch	2023 Summer Nationals (LCM)
6	2:03.54	Caleb Maldari		17	200 IM LCM	NC	SwimMAC Carolina	2022 Phillips 66 Summer Nationals	2022 Winter US Open (LCM)
7	2:04.20	Keller Morgan		17	200 IM LCM	CA	Evolution Racing Club	2022 CA SCS/BUEN June Age Group	2022 Summer Nationals (LCM)
8	2:04.42	Chase Mueller		17	200 IM LCM	CO	Foothills Swim Team	2022 Speedo Junior National Ch	2022 Winter US Open (LCM)
9	2:04.44	Will Scholtz		17	200 IM LCM	KY	Lakeside Swim Team	2022 IN NCSA Summer Swimming Championships2	2022 Winter US Open (LCM)
10	2:04.65	Will Heck		17	200 IM LCM	FL	Bolles School Sharks	2022 NC Futures Championships Cary	2022 Winter US Open (LCM)
11	2:04.91	Toby Barnett		17	200 IM LCM	PV	Rockville Montgomery Swim Club	2022 ISR MACCABIAH OPEN & JUNIOR	2022 Winter US Open (LCM)
12	2:04.92	Charlie Egeland		17	200 IM LCM	MN	Aquajets Swim Team	2022 Phillips 66 Summer Nationals	2022 Winter US Open (LCM)
13	2:05.23	Rex Maurer		17	200 IM LCM	CA	Unattached	2022 WI LAKE Western Great Lake Meet	2022 Winter US Open (LCM)
14	2:05.28	Josh Parent		17	200 IM LCM	NE	Bluefish Swim Club	2022 LE Futures Championships Geneva	2022 Winter US Open (LCM)
15	2:05.34	Keaton Jones		17	200 IM LCM	AZ	Swim Neptune	2022 OR Speedo Sectionals - Mt Hood	2022 Winter US Open (LCM)
16	2:05.39	Will Modglin		17	200 IM LCM	IN	Zionsville Swim Club	2022 IN Spring Speedo Sectionals	2022 Winter US Open (LCM)
17	2:05.48	Arthur Balva		17	200 IM LCM	PC	Palo Alto Stanford Aquatics	2022 PC SCSC Futures West	2022 Winter US Open (LCM)
18	2:05.57	Christian Lee		17	200 IM LCM	MR	Badger Swim Club,Inc.	2022 Speedo Junior National Ch	2022 Winter US Open (LCM)
19	2:05.80	Mathew Iverson		17	200 IM LCM	AZ	Scottsdale Aquatic Club	2022 Speedo Junior National Ch	2022 Winter US Open (LCM)
20	2:05.88	Tommy Hagar		17	200 IM LCM	NE	Commonwealth Swimming	2022 Phillips 66 Summer Nationals	2022 Winter US Open (LCM)
21	2:05.97	Mitchell Schott		17	200 IM LCM	CA	Irvine Novaquatics	2022 CA Los Angeles Invitational	2022 Winter US Open (LCM)
22	2:06.02	Noah Sech		17	200 IM LCM	CA	Mission Viejo Nadadores	2022 Phillips 66 Summer Nationals	2022 Winter US Open (LCM)
23	2:06.14	Aidan Paro		17	200 IM LCM	FL	Bolles School Sharks	2022 Futures - Cary	2022 Winter US Open (LCM)
24	2:06.22	Dario Martin		17	200 IM LCM	FG	Olympus Swimming Club	2022 NC Futures Championships Cary	2022 Winter US Open (LCM)
25	2:06.26	Roberto Bonilla Flores	Yes	17	200 IM LCM	GU	The Woodlands Swim Team	1st Junior Pan American Games	2021 Winter US Open (LCM)
25	2:06.26	Jacob Wimberly		17	200 IM LCM	NT	Texas Ford Aquatics	2022 Speedo Junior National Ch	2022 Winter US Open (LCM)
27	2:06.31	Raymond Prosinski		17	200 IM LCM	FL	Loggerhead Aquatics	2022 Speedo Junior National Ch	2022 Winter US Open (LCM)
28	2:06.48	Sam White		17	200 IM LCM	CO	Front Range Barracudas	2022 SN Finals - Western Zone Senior Ch	2022 Winter US Open (LCM)
29	2:06.55	Matthew Lucky		17	200 IM LCM	NC	Unattached	2021 Toyota US Open Championship	2022 Winter US Open (LCM)
30	2:06.67	Colin Geer		17	200 IM LCM	CA	Golden West Swim Club	2022 Speedo Junior National Ch	2022 Winter US Open (LCM)
31	2:06.77	Dylan Smiley		17	200 IM LCM	FG	Miami Country Day Aquatics	2022 NC Futures Championships Cary	2022 Winter US Open (LCM)
32	2:06.81	Zach Larrick		17	200 IM LCM	CA	Rose Bowl Aquatics	2022 Speedo Junior National Ch	2022 Winter US Open (LCM)
33	2:06.82	Luca Oliva		17	200 IM LCM	FL	Blue Dolfins	2022 Futures - Cary	2022 Winter US Open (LCM)
34	2:06.99	Ryan Merani		17	200 IM LCM	MD	North Baltimore Aquatic Club	2022 VA NOVA LC Winter Invitational	2022 Summer Juniors (LCM)
35	2:07.01	Rian Herrmann		17	200 IM LCM	CT	ZEUS Swim Team	2022 FL ISCA Summer Senior Blast	2023 Summer Juniors (LCM)
36	2:07.08	Daniel Eichel	Yes	17	200 IM LCM	NC	Unattached	European Junior Swimming Championships	2022 Summer Juniors (LCM)
37	2:07.22	Liam Custer		17	200 IM LCM	FL	Sarasota Sharks	2022 FG Piranhas Senior Invitational	2022 Summer Juniors (LCM)
38	2:07.25	Lance Johnson		17	200 IM LCM	WI	Unattached	2022 IN NAT Indy Spring Cup	2022 Summer Juniors (LCM)
39	2:07.37	Alex Karahalis		17	200 IM LCM	MA	Western YMCA Wahoos	2022 NC AP LC YMCA Nationals	2023 Summer Juniors (LCM)
40	2:07.44	Luke Logue		17	200 IM LCM	MN	Aquajets Swim Team	2022 Speedo Junior National Ch	2023 Summer Juniors (LCM)
41	2:07.45	Benjamin Sosnowski		17	200 IM LCM	PC	Quicksilver Swimming	2022 PC SCSC Futures West	2023 Summer Juniors (LCM)
42	2:07.53	John Watson		17	200 IM LCM	MW	Greater Omaha Aquatics Leopardsharks	2022 Speedo Junior National Ch	2023 Summer Juniors (LCM)
43	2:07.61	Camden Taylor		17	200 IM LCM	IL	YMCA of Rock River Valley Stingrays	2022 IL LCM Senior Championships	2023 Summer Juniors (LCM)
44	2:07.64	Colin Whelehan		17	200 IM LCM	NC	TAC Titans	2022 NC Futures Championships Cary	2023 Summer Juniors (LCM)
45	2:07.67	Joshua Fisher		17	200 IM LCM	VA	Poseidon Swimming Inc	2022 VA LC Senior Champs	2022 Summer Juniors (LCM)
46	2:07.78	Connor Carlile		17	200 IM LCM	IN	Fishers Area Swimming Tigers	2022 Speedo Junior National Ch	2023 Summer Juniors (LCM)
47	2:07.80	Mason Kajfosz		17	200 IM LCM	CO	Highlands Ranch Aquatics	2022 Futures - College Station	2023 Summer Juniors (LCM)
48	2:07.81	Amadeusz Knop		17	200 IM LCM	FL	Sarasota Sharks	2022 FG Piranhas Senior Invitational	2022 Summer Juniors (LCM)
49	2:07.84	Nigel Forbes	Yes	17	200 IM LCM	FL	Unattached	2022 Futures - Cary	2023 Summer Juniors (LCM)
50	2:07.86	Kalen Anbar		17	200 IM LCM	CT	New Canaan YMCA Caimans	2022 Speedo Junior National Ch	2023 Summer Juniors (LCM)
50	2:07.86	Jack Butera		17	200 IM LCM	NE	Gator Swim Club	2022 Speedo Junior National Ch	2023 Summer Juniors (LCM)
52	2:07.96	Josh Noll		17	200 IM LCM	IL	Peoria Area Water Wizards	2022 IL LCM Senior Championships	2023 Summer Juniors (LCM)
53	2:08.03	Arie Ioselevich		17	200 IM LCM	MR	Trident Aquatic Club	2022 TT Speedo Junior National Ch	2023 Summer Juniors (LCM)
