Rank	Swim Time	Name	Foreign	Age	Event	LSC	Team	Meet	Time Standard
1	1:07.98	Piper Enge		17	100 BR LCM	PN	Bellevue Club Swim Team	2023 Speedo Junior National Championships	2024 Olympic Trials
2	1:08.66	Lucy Thomas		17	100 BR LCM	WI	Elmbrook Swim Club	2023 IA Speedo Section Summer Champs CZ North	2024 Olympic Trials
3	1:08.81	Mary Elizabeth Cespedes		17	100 BR LCM	IN	Valparaiso Swim Club	2023 Speedo Junior National Championships	2024 Olympic Trials
4	1:09.73	Dani Karnaugh		17	100 BR LCM	NJ	Scarlet Aquatics	2023 IN CZ East Spring Speedo Sectional	2024 Olympic Trials
5	1:09.81	Bridget McGann		17	100 BR LCM	IL	Academy Bullets Swim Club	2023 IN NCSA Summer Swimming Championships	2024 Olympic Trials
6	1:09.93	Hannah Marinovich		17	100 BR LCM	CC	Clovis Swim Club	2023 Speedo Junior National Championships	2024 Olympic Trials
7	1:10.80	Charlotte Headland		17	100 BR LCM	MD	Monocacy Aquatic Club	2023 Futures Championships - Richmond, VA - CAP REACHED	2024 Summer Nationals (LCM)
8	1:10.90	Katie Christopherson		17	100 BR LCM	GA	SwimAtlanta	2023 GA Speedo Atlanta Classic	2023 Winter US Open (LCM)
9	1:10.95	Mia Nappi		17	100 BR LCM	OR	Corvallis Aquatic Team	2023 Futures - Sacramento, CA	2024 Summer Nationals (LCM)
10	1:11.08	Emily Santos	Yes	17	100 BR LCM	FL	Montverde Aquatic Club	2023 TYR PSS Knoxville	2023 Winter US Open (LCM)
11	1:11.15	Georgia Kahler		17	100 BR LCM	KY	Lakeside Swim Team	2023 IN NCSA Summer Swimming Championships	2023 Winter US Open (LCM)
12	1:11.25	Chloe Diner		17	100 BR LCM	IL	Academy Bullets Swim Club	2023 IN NCSA Summer Swimming Championships	2023 Winter US Open (LCM)
13	1:11.29	Evelyn Entrekin		17	100 BR LCM	GA	Dynamo Swim Club	2023 GA Speedo Atlanta Classic	2023 Winter US Open (LCM)
14	1:11.33	Levenia Sim	Yes	17	100 BR LCM	SE	TNT Swimming	2023 IN NCSA Summer Swimming Championships	2023 Winter US Open (LCM)
15	1:11.44	Kayla Duran		17	100 BR LCM	IL	Chicago Wolfpack Aquatic Club	2023 IN NCSA Summer Swimming Championships	2023 Winter US Open (LCM)
16	1:11.73	Gracie Weyant		17	100 BR LCM	FL	Sarasota Sharks	2023 FL Southern Zone South Sectional Championships	2023 Winter US Open (LCM)
17	1:11.93	Caroline Larsen		17	100 BR LCM	MN	Foxjets Swim Team	2023 Speedo Junior National Championships	2023 Winter US Open (LCM)
18	1:11.97	Meghan Sharma		17	100 BR LCM	NJ	Greater Somerset County YMCA Storm	2023 NC YMCA Long Course Nationals	2023 Winter US Open (LCM)
19	1:12.43	Olivia Stewart		17	100 BR LCM	GA	Aiken-Augusta Swim League	2023 GA Long Course Senior State	2024 Summer Juniors (LCM)
20	1:12.46	Jenna Gogel		17	100 BR LCM	AR	Northwest Arkansas Aquatics	2023 IN NCSA Summer Swimming Championships	2024 Summer Juniors (LCM)
21	1:12.49	Elle Noecker		17	100 BR LCM	NI	Town Wreckers Swim Team	2023 NI STAR Niagara LSC Long Course Championships	2024 Summer Juniors (LCM)
22	1:12.52	Avery Stein		17	100 BR LCM	IN	Fishers Area Swimming Tigers	2023 Speedo Junior National Championships	2024 Summer Juniors (LCM)
23	1:12.56	Stella Chapman		17	100 BR LCM	MI	Club Wolverine	2023 Speedo Junior National Championships Time Trials	2024 Summer Juniors (LCM)
23	1:12.56	Ella Smoker		17	100 BR LCM	GU	The Woodlands Swim Team	2023 ST TXLA Speedo SZ LC Sectional Championships	2023 Summer Juniors (LCM)
25	1:12.61	Vivian Wilson		17	100 BR LCM	IN	Carmel Swim Club	2023 IN CZ East Spring Speedo Sectional	2023 Summer Juniors (LCM)
26	1:12.62	Joy Felner		17	100 BR LCM	AZ	Scottsdale Aquatic Club	2023 Speedo Junior National Championships Time Trials	2024 Summer Juniors (LCM)
27	1:12.63	Mac Thomas		17	100 BR LCM	WI	Southeastern Aquatics	2023 WI 13 & OVER LONG COURSE STATE CHAMPIONSHIPS	2024 Summer Juniors (LCM)
28	1:12.68	Ashlyn Hernandez		17	100 BR LCM	SI	Pacific Swim	2023 CA Los Angeles Invite	2023 Summer Juniors (LCM)
29	1:12.75	Emma Sayers		17	100 BR LCM	AZ	Scottsdale Aquatic Club	2023 Speedo Junior National Championships	2024 Summer Juniors (LCM)
29	1:12.75	Addison Reese		17	100 BR LCM	FL	Laker Swim	2023 FL Summer Solstice Invitational	2023 Summer Juniors (LCM)
31	1:12.81	Nell Cagle		17	100 BR LCM	SC	South Carolina Swim Club	2023 Futures Championships - San Antonio, TX - Cap Reached	2024 Summer Juniors (LCM)
32	1:12.85	Ana Hazlehurst		17	100 BR LCM	MD	North Baltimore Aquatic Club	2023 Speedo Junior National Championships	2024 Summer Juniors (LCM)
33	1:12.88	Aleena Stukus		17	100 BR LCM	PV	Machine Aquatics	2023 IN NCSA Summer Swimming Championships	2024 Summer Juniors (LCM)
34	1:12.89	Campbell Chase		17	100 BR LCM	NT	COR Swimming	2023 NT RACE A/BB LC Swim Meet	2024 Summer Juniors (LCM)
35	1:12.90	Reese Winer		17	100 BR LCM	IA	Ames Cyclone Aquatics Club	2023 IA Long Course Championship Meet	2024 Summer Juniors (LCM)
36	1:12.92	Kate Baranova		17	100 BR LCM	FL	Berkeley Aquatics	2023 Speedo Junior National Championships	2024 Summer Juniors (LCM)
37	1:12.95	Elsie Delacruz		17	100 BR LCM	CA	Swim Torrance	2023 CA Los Angeles Invite	2024 Summer Juniors (LCM)
38	1:13.02	Audrey Cohen		17	100 BR LCM	ME	Unattached	2023 Speedo Junior National Championships	2024 Summer Juniors (LCM)
39	1:13.03	Esther Park		17	100 BR LCM	MA	Penn Charter Aquatic Club	2023 MA Long Course Senior Championships	2023 Summer Juniors (LCM)
39	1:13.03	Danika Varda		17	100 BR LCM	MT	Bozeman Barracudas Swim Team	2023 Speedo Junior National Championships	2024 Summer Juniors (LCM)
41	1:13.04	Lily Christianson		17	100 BR LCM	IN	Irish Aquatics	2023 IN CZ East Spring Speedo Sectional	2023 Summer Juniors (LCM)
42	1:13.08	Kinley Wigle		17	100 BR LCM	OR	Bend Swim Club	2023 OR SUN COUNTRY OPEN	2023 Summer Juniors (LCM)
43	1:13.14	Gabbie Primiano		17	100 BR LCM	AZ	Life Time Arizona Swim Team	2023 Speedo Junior National Championships	2024 Summer Juniors (LCM)
44	1:13.15	Kaelia Hughes		17	100 BR LCM	CA	Mission Viejo Nadadores	2023 Speedo Junior National Championships	2024 Summer Juniors (LCM)
45	1:13.16	Reese Cole		17	100 BR LCM	GU	South Shore Sails	2023 ST TXLA Speedo SZ LC Sectional Championships	2023 Summer Juniors (LCM)
46	1:13.29	Rylee McColley		17	100 BR LCM	MT	Bozeman Barracudas Swim Team	2023 SR Speedo LC Sectionals	2024 Summer Juniors (LCM)
47	1:13.37	Gabi Augustyn		17	100 BR LCM	WI	YMCA of the Chippewa Valley Barracudas	2023 Speedo Junior National Championships Time Trials	2023 Winter Juniors (SCY)
48	1:13.41	Olivia Swalley		17	100 BR LCM	IA	Central Iowa Aquatics	2023 IA Speedo Section Summer Champs CZ North	2023 Winter Juniors (SCY)
49	1:13.43	Bilu Bianchi		17	100 BR LCM	FL	West Florida Lightning Aquatic	2023 FL The Lightning Invitational	2023 Winter Juniors (SCY)
50	1:13.45	Ava Jurkiewicz		17	100 BR LCM	MI	Club Wolverine	2023 MI Michigan Swimming Ultra LCM Championship Meet	2023 Winter Juniors (SCY)
51	1:13.47	Katy Zboinski		17	100 BR LCM	PC	Lakeridge Swim Team	2023 Futures - Sacramento, CA	2023 Winter Juniors (SCY)
52	1:13.49	Alyssa Jackson		17	100 BR LCM	NC	TAC Titans	2023 Futures - Ocala	2023 Winter Juniors (SCY)
53	1:13.51	Sofia Plaza		17	100 BR LCM	NC	SwimMAC Carolina	2023 IN CZ East Spring Speedo Sectional	2023 Winter Juniors (SCY)
54	1:13.52	Olivia Roumph		17	100 BR LCM	CO	Univ of Denver Hilltoppers	2023 TYR PSS Knoxville	2023 Winter Juniors (SCY)
55	1:13.53	Emily Constable		17	100 BR LCM	NJ	Fanwood-Scotch Plains YMCA	2023 NC YMCA Long Course Nationals	2023 Winter Juniors (SCY)
