Rank	Swim Time	Name	Foreign	Age	Event	LSC	Team	Meet	Time Standard
1	2:00.85	Sam Marsteiner		15	200 FL LCM	NC	New Wave Swim Team	2023 Speedo Junior National Championships	2024 Summer Nationals (LCM)
2	2:01.75	Brandon Ha		15	200 FL LCM	SN	DART Swimming	2023 Speedo Junior National Championships Time Trials	2023 Winter US Open (LCM)
3	2:02.25	Rowan Cox		15	200 FL LCM	ST	Longhorn Aquatics	2023 Speedo Junior National Championships	2023 Winter US Open (LCM)
4	2:02.76	Liam Smith		15	200 FL LCM	MI	Greater Kalamazoo Crocs	2023 MI Michigan Swimming Ultra LCM Championship Meet	2023 Winter US Open (LCM)
5	2:03.46	Caleb Kattau		15	200 FL LCM	CA	Sandpipers Of Nevada	2023 CC Arena Western Zone Senior Championships	2024 Summer Juniors (LCM)
6	2:03.50	Baylor Stanton		15	200 FL LCM	GA	Gwinnett Aquatics	2023 Speedo Junior National Championships	2024 Summer Juniors (LCM)
7	2:04.24	Noah Cakir		15	200 FL LCM	MR	Team Suffolk	2023 MR LIAC Speedo LI Challenge	2023 Summer Juniors (LCM)
8	2:04.36	Michael Gumino		15	200 FL LCM	FL	Bolles School Sharks	2023 Futures - Ocala	2024 Summer Juniors (LCM)
9	2:04.51	Xavier Ventura	Yes	15	200 FL LCM	FG	Coral Springs Swim Club	2023 FL Southern Zone South Sectional Championships	2023 Summer Juniors (LCM)
10	2:04.98	Blake Hill		15	200 FL LCM	PC	Crow Canyon Sharks	2023 PC CROW Long Course Senior Open T/F	2024 Summer Juniors (LCM)
11	2:05.11	JD Thumann		15	200 FL LCM	OK	Sooner Swim Club	2023 MV CSC Region VIII Sectional Championships	2023 Winter Juniors (SCY)
12	2:05.21	Aiden Hammer		15	200 FL LCM	PN	King Aquatic Club	2023 SR Speedo LC Sectionals	2023 Winter Juniors (SCY)
13	2:05.24	Ian Platts-Mills		15	200 FL LCM	NC	North Carolina Aquatic Club	2023 IN NCSA Summer Swimming Championships	2023 Winter Juniors (SCY)
14	2:05.58	Boone Wilcox		15	200 FL LCM	KY	Lakeside Swim Team	2023 IN NCSA Summer Swimming Championships	2023 Winter Juniors (SCY)
15	2:05.59	Max Stewart		15	200 FL LCM	CA	Irvine Novaquatics	2023 Speedo Junior National Championships	2023 Winter Juniors (SCY)
16	2:05.63	Tim Wu		15	200 FL LCM	PC	Pleasanton Seahawks	2023 Speedo Junior National Championships	2023 Winter Juniors (SCY)
17	2:05.65	Nick Sifferman		15	200 FL LCM	PC	Santa Clara Swim Club	2023 Futures - Sacramento, CA	2023 Winter Juniors (SCY)
18	2:06.08	Anthony Pineiro	Yes	15	200 FL LCM	FG	Eagle Aquatics	2023 Futures - Ocala	2023 Winter Juniors (SCY)
19	2:06.32	Brody LePine		15	200 FL LCM	WI	Schroeder YMCA Swim Team	2023 WI LAKE WESTERN GREAT LAKES INVITE LCM	2023 Winter Juniors (SCY)
20	2:06.36	Lucas Jue		15	200 FL LCM	CA	Lakewood Aquatics	2023 CA CA-NV Summer Sectionals	2023 Winter Juniors (SCY)
21	2:06.38	Bogdan Zverev	Yes	15	200 FL LCM	FL	Sarasota Sharks	2023 Futures - Ocala	2023 Winter Juniors (SCY)
22	2:06.47	ROBERTO ZARATE	Yes	15	200 FL LCM	FL	Southwest Stars Swim Club	2023 FL Summer Senior Championships	2024 Futures (LCM)
23	2:06.76	Enzo Balbuena		15	200 FL LCM	PC	Santa Clara Swim Club	2023 Futures - Sacramento, CA	2024 Futures (LCM)
24	2:06.78	Velizar Filipov		15	200 FL LCM	IL	FMC Aquatic	2023 IA Speedo Section Summer Champs CZ North	2023 Futures (LCM)
25	2:07.09	Tymoteusz Jozwiak	Yes	15	200 FL LCM	CA	Mission Viejo Nadadores	2023 Speedo Junior National Championships	2024 Futures (LCM)
26	2:07.34	Paul Mullen		15	200 FL LCM	PV	Nation's Capital Swim Club	2023 Futures Championships - Richmond, VA - CAP REACHED	2024 Futures (LCM)
27	2:07.55	Avrum Xagorarakis		15	200 FL LCM	CA	Unattached	2023 CA TYR Fran Crippen Swim Meet of Champions at MVN	2023 Futures (LCM)
28	2:07.59	owyn Keiderling		15	200 FL LCM	NJ	Scarlet Aquatics	2023 NJ LC GOLD Championships	2024 Futures (LCM)
29	2:07.75	Eru Kim		15	200 FL LCM	CA	Rose Bowl Aquatics	2023 CA Los Angeles Invite	2023 Futures (LCM)
30	2:07.81	Brady Julian		15	200 FL LCM	VA	NOVA of Virginia Aquatics, Inc	2023 IN NCSA Summer Swimming Championships	2024 Futures (LCM)
31	2:07.82	Trevor Green		15	200 FL LCM	MR	Three Village Swim Club	2023 MR TYR Senior Mets LCM Championship	2023 Futures (LCM)
32	2:07.86	Parker Macho		15	200 FL LCM	IA	Iowa Flyers Swim Club	2023 Futures Championships - West Fargo, ND	2024 Futures (LCM)
33	2:08.03	Maxwell Stanislaus		15	200 FL LCM	NT	Lakeside Aquatic Club	2023 Speedo Junior National Championships Time Trials	2024 Futures (LCM)
34	2:08.06	Sean Green		15	200 FL LCM	MR	Long Island Aquatic Club	2023 NJ SCAR TYR LC Winter Invite	2023 Futures (LCM)
35	2:08.10	Ethan Silver		15	200 FL LCM	MR	Long Island Aquatic Club	2023 MR LIAC Spring Suit Up Time Trial	2023 Futures (LCM)
36	2:08.16	William Zhang		15	200 FL LCM	NT	Lakeside Aquatic Club	2023 WV 23023 Summer Senior Showdown	2024 Futures (LCM)
37	2:08.26	Brian Qian		15	200 FL LCM	IN	Carmel Swim Club	2023 IN Senior State LCM Championships	2024 Futures (LCM)
38	2:08.37	Aaron Jia		15	200 FL LCM	PV	Nation's Capital Swim Club	2023 Futures Championships - Richmond, VA - CAP REACHED	2024 Futures (LCM)
39	2:08.44	Chase Grisi		15	200 FL LCM	OHO	M.E. Lyons/Anderson Barracudas	2023 NC YMCA Long Course Nationals	2024 Futures (LCM)
