Rank	Swim Time	Name	Foreign	Age	Event	LSC	Team	Meet	Time Standard
1	1:46.94	Henry McFadden		17	200 FR LCM	MA	Jersey Wahoos	2023 Phillips 66 National Championships	2024 Olympic Trials
2	1:48.73	Cooper Lucas		17	200 FR LCM	NT	Lakeside Aquatic Club	2023 Phillips 66 National Championships	2024 Olympic Trials
3	1:49.53	Daniel Diehl		17	200 FR LCM	MD	YMCA of Cumberland	2023 NC YMCA Long Course Nationals	2024 Olympic Trials
4	1:50.62	Logan Robinson		17	200 FR LCM	SE	Greater Pensacola Aquatic Club	2023 Speedo Junior National Championships	2024 Summer Nationals (LCM)
5	1:50.80	Alex Miao	Yes	17	200 FR LCM	GU	Dads Club Swim Team	2023 IN NCSA Summer Swimming Championships	2024 Summer Nationals (LCM)
6	1:50.89	Gregg Enoch		17	200 FR LCM	IN	Carmel Swim Club	2023 Speedo Junior National Championships	2024 Summer Nationals (LCM)
7	1:51.17	Andrew Jin	Yes	17	200 FR LCM	PN	Bellevue Club Swim Team	2023 Speedo Junior National Championships	2024 Summer Nationals (LCM)
8	1:51.53	Ian Pickles		17	200 FR LCM	AZ	Swim Neptune	2023 AZ SUN Sun Devil Open	2023 Winter US Open (LCM)
9	1:51.67	Cooper McDonald		17	200 FR LCM	GA	Dynamo Swim Club	2023 Futures - Ocala	2023 Winter US Open (LCM)
10	1:51.84	Jack Haywood		17	200 FR LCM	NC	SwimMAC Carolina	2023 Speedo Junior National Championships	2023 Winter US Open (LCM)
11	1:51.94	Johnny Crush		17	200 FR LCM	KY	Lakeside Swim Team	2023 IN NCSA Summer Swimming Championships	2023 Winter US Open (LCM)
12	1:51.95	Noah Dyer		17	200 FR LCM	PV	Machine Aquatics	2023 IN NCSA Summer Swimming Championships	2023 Winter US Open (LCM)
13	1:52.07	Matt Marsteiner		17	200 FR LCM	NC	New Wave Swim Team	2023 NC TAC Titans Triangle Classic	2023 Winter US Open (LCM)
14	1:52.09	Dillon Wright		17	200 FR LCM	CA	Sandpipers Of Nevada	2023 Futures - Sacramento, CA	2023 Winter US Open (LCM)
15	1:52.18	William Savarese		17	200 FR LCM	NT	COR Swimming	2023 IN NCSA Summer Swimming Championships	2023 Winter US Open (LCM)
16	1:52.53	Luke Whitlock		17	200 FR LCM	IN	Fishers Area Swimming Tigers	2023 Speedo Junior National Championships	2024 Summer Juniors (LCM)
17	1:52.54	Daniel Li		17	200 FR LCM	ST	Longhorn Aquatics	2023 TYR PSS Knoxville	2023 Summer Juniors (LCM)
18	1:52.62	Jeremy Kelly		17	200 FR LCM	ST	Nitro Swimming	2023 Speedo Junior National Championships	2024 Summer Juniors (LCM)
19	1:52.68	Alex Ayers		17	200 FR LCM	NC	SwimMAC Carolina	2023 IN CZ East Spring Speedo Sectional	2023 Summer Juniors (LCM)
19	1:52.68	Jacob Wimberly		17	200 FR LCM	NT	Texas Ford Aquatics	2023 TYR Pro Swim Series Westmont	2023 Summer Juniors (LCM)
19	1:52.68	Raphael Sibuet	Yes	17	200 FR LCM	NE	Unattached	2023 Speedo Junior National Championships	2024 Summer Juniors (LCM)
22	1:52.73	David King		17	200 FR LCM	VA	Cavalier Aquatics/Piedmont Family YMCA	2023 VA LC Senior Champs	2024 Summer Juniors (LCM)
23	1:52.77	Jones Lambert		17	200 FR LCM	WT	Lubbock Swim Club	2023 Speedo Junior National Championships	2024 Summer Juniors (LCM)
24	1:53.01	Jack Sullivan		17	200 FR LCM	WI	Schroeder YMCA Swim Team	2023 Speedo Junior National Championships	2024 Summer Juniors (LCM)
25	1:53.03r	Sean Atkinson		17	200 FR LCM	MR	Long Island Aquatic Club	2023 Speedo Junior National Championships	2024 Summer Juniors (LCM)
26	1:53.08	Jacob Pins		17	200 FR LCM	IA	Des Moines Swimming Federation	2023 IA Speedo Section Summer Champs CZ North	2023 Summer Juniors (LCM)
27	1:53.11r	Charlie Franz		17	200 FR LCM	SN	Sierra Marlins Swim Team	2023 Speedo Junior National Championships	2024 Summer Juniors (LCM)
